ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9711c35d-f3f3-40e9-8568-c95f13c874ce,1,,,3890547,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131141, 'name': 'Fynn Arkenberg'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 8538, 'name': 'Waldemar Anton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 13125, 'name': 'Iver Tobias Rørvik Fossum'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 21311, 'name': 'Noah-Joel Sarenren-Bazee'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 37}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8551, 'name': 'Felix Klaus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,80bd8977-e86c-4c27-b8e5-7ec8b75e5cb3,2,,,3890547,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 8403, 'name': 'Nadiem Amiri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 8387, 'name': 'Mark Uth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2d340a5d-797f-4d69-8b9e-d814813820ef,3,,,3890547,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['e2728315-bf86-4d3a-b9bf-8334b33edeae'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2728315-bf86-4d3a-b9bf-8334b33edeae,4,,,3890547,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['2d340a5d-797f-4d69-8b9e-d814813820ef'],0,,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,10fd2ab8-eaa7-4328-bb4d-fb3675f6043e,1687,,,3890547,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Hoffenheim,175,['922108ae-f931-4646-9a83-91c9780092d0'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,922108ae-f931-4646-9a83-91c9780092d0,1688,,,3890547,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Hoffenheim,175,['10fd2ab8-eaa7-4328-bb4d-fb3675f6043e'],0,,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.503494,,,,,,,,,,,,,1f5aa1d3-86e0-4aed-a6dd-4c34e34c9c0d,5,,"[61.0, 40.1]",3890547,0,,,,,2.7492526,,Right Foot,,,,"[58.1, 41.3]",,Ground Pass,,3.138471,,,,Artur Sobiech,11845.0,,,,,Kick Off,1,From Kick Off,Hiroshi Kiyotake,38524.0,Center Attacking Midfield,2,Hannover 96,178,['a5dee5de-79da-49b9-92b0-ebb5b39a0711'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.240,Pass,
,,,,,,,,,,,,,,,,1.25388,,,,,,,,,,,,,5de513ad-8c11-4632-b4c0-0c74596f737a,7,,"[57.6, 39.9]",3890547,0,,,,,-2.204589,,Right Foot,,,,"[51.5, 31.6]",,Ground Pass,,10.300486,,,,Manuel Schmiedebach,8543.0,,,,,,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['a572d603-22b9-442e-a286-99f826d9cebe'],1,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:01.744,Pass,
,,,,,,,,,,,,,,,,3.284417,,,,,,,,,,,,,2b1ad822-b3df-4471-a48c-b05e84dc7e03,10,,"[52.2, 36.1]",3890547,0,,,,,0.55642325,,Right Foot,,,,"[97.7, 64.4]",,High Pass,,53.58302,,Incomplete,,Noah-Joel Sarenren-Bazee,21311.0,,,,,,1,From Kick Off,Manuel Schmiedebach,8543.0,Left Defensive Midfield,2,Hannover 96,178,"['52520fc6-36f1-42a0-ab9a-6545ae6007bc', '823dab30-154b-4431-8e2a-c44398e88d28']",4,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:04.002,Pass,
,,,,,,,,,,,,,,,,1.565984,,,,,,,,,,,,,52520fc6-36f1-42a0-ab9a-6545ae6007bc,12,,"[22.4, 15.7]",3890547,0,,,,,1.6559557,,Right Foot,,,,"[21.7, 23.9]",,Low Pass,,8.229824,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Jeremy Toljan,8392.0,Left Back,2,Hannover 96,178,"['2b1ad822-b3df-4471-a48c-b05e84dc7e03', '51b7ee90-e6e7-4023-88dc-b3a0ed12362d']",7,,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:07.287,Pass,
