50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b3092b7f-40ab-48bf-a2ae-5accc59d95e0,1,,,3890436,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12551, 'name': 'Max Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 37}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,faf8b865-d1b5-4a05-9612-f90a6d539681,2,,,3890436,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 12302, 'name': 'Dong-Won Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7e17c605-2d12-464d-a034-f551a7c6a26f,3,,,3890436,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['191ef584-bfef-4c17-8501-4ec586a34f32'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,191ef584-bfef-4c17-8501-4ec586a34f32,4,,,3890436,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['7e17c605-2d12-464d-a034-f551a7c6a26f'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,30db1446-cf2f-42f0-8bc2-c7fa49691866,1511,,,3890436,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,101,Augsburg,172,['41e4ebd4-0bc0-427c-9006-c2ffb58409d5'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,41e4ebd4-0bc0-427c-9006-c2ffb58409d5,1512,,,3890436,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,101,Augsburg,172,['30db1446-cf2f-42f0-8bc2-c7fa49691866'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.852026,,,,,,,,,,,,,,,,7a118fae-65a8-4fc1-abe7-a1516ca16289,5,,"[60.0, 40.0]",3890436,0,,True,,,1.5707964,,Right Foot,,,"[60.0, 42.5]",Ground Pass,2.5,,,,Pascal Groß,3097.0,,,,,,Kick Off,1,From Kick Off,Moritz Hartmann,40464.0,Center Forward,2,Ingolstadt,189,['5ceda0e6-13a0-432b-b9f3-2b2a0462e018'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.240,Pass,
,,,,,,,,,,,,,,,,,,2.144014,,,,,,,,,,,,,,,,fe7b9189-7202-4067-8458-22b2d1d9d931,7,,"[60.6, 42.3]",3890436,0,,,,,-1.4147158,,Right Foot,,,"[66.8, 2.9]",High Pass,39.884834,,,,Mathew Leckie,5481.0,,,,,,,1,From Kick Off,Pascal Groß,3097.0,Right Center Midfield,2,Ingolstadt,189,['ccf42eda-3406-4e61-b85d-a7688cf13b61'],1,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:01.731,Pass,
,,,,,,,,,,,,,,,,,,3.629153,,,,,,,,,,,,,,,,435719e5-57c8-4f7a-89a5-62a4d716fdd9,14,,"[92.0, 9.6]",3890436,0,,,,,0.06775328,,Right Foot,,,"[120.0, 11.5]",Ground Pass,28.06439,,Out,,Max Christiansen,12551.0,,,,,,,1,From Kick Off,Mathew Leckie,5481.0,Left Wing,2,Ingolstadt,189,['b9b35439-1f92-46f5-87d1-9095249a19f4'],8,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:08.107,Pass,
,,,,,,,,,,,,,,,,,,1.741834,,,,,,,,,,,,,,,,e1652dac-f847-47b1-817b-7a3b576a3a96,16,,"[7.0, 36.1]",3890436,0,,,,,-1.3101939,,Right Foot,,,"[11.8, 18.1]",Ground Pass,18.62901,,,,Ragnar Klavan,4174.0,,,,,,Goal Kick,1,From Goal Kick,Marwin Hitz,8314.0,Goalkeeper,3,Augsburg,172,['a4bc00f4-163f-4965-a19d-618db0e9656e'],22,,,,,,,,,,,,,,,,,Augsburg,172,00:00:22.277,Pass,
