50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c4e44252-5d93-4482-90e6-0f56bc994a19,1,,,3890259,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 5244, 'name': 'Medhi Amine El Mouttaqi Benatia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8218, 'name': 'Arjen Robben'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e3491e02-f2a3-4a56-a311-0a42f3f5ce94,2,,,3890259,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 8316, 'name': 'Dennis Diekmeier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 8323, 'name': 'Gideon Jung'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 8321, 'name': 'Sven Schipplock'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0f72ea64-f4b5-4c2c-90b2-041a08b6d1c5,3,,,3890259,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['237928b5-fc61-4172-ac62-2b00bb2d82f0'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,237928b5-fc61-4172-ac62-2b00bb2d82f0,4,,,3890259,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['0f72ea64-f4b5-4c2c-90b2-041a08b6d1c5'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,41648737-48a8-4fe7-aa6b-66f12fe1a0b7,1775,,,3890259,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Hamburger SV,171,['26ad9341-09ce-4cdf-85da-b3304c117da6'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,26ad9341-09ce-4cdf-85da-b3304c117da6,1776,,,3890259,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Hamburger SV,171,['41648737-48a8-4fe7-aa6b-66f12fe1a0b7'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.077561,,,,,,,,,,,e83e4a98-efe5-4760-81e8-ef1efc83d748,5,,"[60.0, 40.0]",3890259,0,,,,,-2.7975132,,Right Foot,,,,"[36.0, 31.4]",,Ground Pass,,25.494312,,,,Emir Spahić,26791.0,,,,,Kick Off,1,From Kick Off,Sven Schipplock,8321.0,Center Forward,2,Hamburger SV,171,['b99996cc-ac75-4900-b5f8-8a8e479e389e'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.755,Pass,
,,,,,,,,,,,,,,,,,1.713823,,,,,,,,,,,3b3f2aec-46ab-4eed-9434-3e81e62fb3f6,9,,"[36.0, 28.4]",3890259,0,,,,,1.7461205,,Right Foot,,,,"[32.9, 45.9]",,Ground Pass,,17.772451,,,,Johan Danon Djourou-Gbadjere,6359.0,,,,,,1,From Kick Off,Emir Spahić,26791.0,Left Center Back,2,Hamburger SV,171,"['6b490b73-0acc-4e25-9653-3715ae270b69', '78a30f3b-7235-4bfb-882d-93fea2a89412']",3,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:03.226,Pass,True
,,,,,,,,,,,,,,,,,2.422064,,,,,,,,,,,f023701e-983a-426f-9f1e-c8f1b14d29f0,13,,"[36.0, 48.9]",3890259,0,,,,,-0.04957766,,Right Foot,,,,"[88.4, 46.3]",,High Pass,,52.464462,,Incomplete,,Ivo Iličević,24740.0,,,,,,1,From Kick Off,Johan Danon Djourou-Gbadjere,6359.0,Right Center Back,2,Hamburger SV,171,"['63dd449c-ec9a-4bc6-9fc4-c6c088a08e0d', 'e89d37e8-36cb-4a1b-bc42-edc8166d33e4']",5,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:05.951,Pass,
,,,,,,,,,,,,,,,,,1.237673,,,,,,,,,,,acd4c158-1618-417b-8aab-ebeba7b61a7b,19,,"[75.0, 46.6]",3890259,0,,,,,1.5343162,,Right Foot,,,,"[75.5, 60.3]",,Ground Pass,,13.709121,,Incomplete,,Dennis Diekmeier,8316.0,,,,,,1,From Kick Off,Lewis Harry Holtby,8891.0,Left Center Midfield,2,Hamburger SV,171,"['304d98c3-2386-431e-a4ce-85cd32fa6273', 'b711e096-cd9f-4d72-9780-23ca88626128']",11,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:11.102,Pass,
