50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,94cc4ac7-ab6d-4b61-95c4-615a951c81f2,1,,,3890437,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 31}, {'player': {'id': 30847, 'name': 'Jiloan Hamad'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 8311, 'name': 'Jonathan Schmid'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d66b25d8-1a6a-4480-867c-b4c57f407783,2,,,3890437,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 35}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,900ae9f6-4b28-46d7-8132-e6dcdadfcdd7,3,,,3890437,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['f7832abe-3cf8-451e-939c-6d906658e065'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f7832abe-3cf8-451e-939c-6d906658e065,4,,,3890437,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['900ae9f6-4b28-46d7-8132-e6dcdadfcdd7'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0b039e3d-7085-4242-869e-df3e06336570,1696,,,3890437,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Darmstadt 98,872,['8a479d48-f6dc-4ed7-8fad-a2e2c4d4f627'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8a479d48-f6dc-4ed7-8fad-a2e2c4d4f627,1697,,,3890437,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Darmstadt 98,872,['0b039e3d-7085-4242-869e-df3e06336570'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.500588,,,,,,,,,,,,,,5040aaf9-9885-4c13-963c-580cd6c5c2db,5,,"[61.0, 40.1]",3890437,0,,,,1.3191063,,Right Foot,,,,"[61.9, 43.6]",,Ground Pass,,3.6138623,,,,Jiloan Hamad,30847.0,,,,,Kick Off,1,From Kick Off,Andrej Kramarić,5460.0,Center Forward,2,Hoffenheim,175,['aa62ecec-aa1d-4979-97ed-3f53bd37dc3f'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.633,Pass,
,,,,,,,,,,,,,,,,,2.028615,,,,,,,,,,,,,,7333b7fd-27ec-4368-a57a-b84a933b8d16,7,,"[61.9, 43.4]",3890437,0,,,,-2.8318896,,Right Foot,,,,"[31.9, 33.8]",,Ground Pass,,31.498571,,,,Niklas Süle,6322.0,,,,,,1,From Kick Off,Jiloan Hamad,30847.0,Center Attacking Midfield,2,Hoffenheim,175,['34f21b99-a556-488a-b67f-08be2f844098'],1,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:01.133,Pass,
,,,,,,,,,,,,,,,,,1.843148,,,,,,,,,,,,,,e4cff052-878e-4588-b8f6-09bc2c0574fc,10,,"[31.9, 34.8]",3890437,0,,,,1.5536306,,Right Foot,,,,"[32.3, 58.1]",,Ground Pass,,23.303432,,,,Ermin Bičakčić,9396.0,,,,,,1,From Kick Off,Niklas Süle,6322.0,Left Center Back,2,Hoffenheim,175,['55e310ea-2340-4e12-9644-65c17eff9ed3'],3,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:03.323,Pass,
,,,,,,,,,,,,,,,,,2.316665,,,,,,,,,,,,,,6a0d4c7a-1171-4267-ba0b-19f496b63963,13,,"[40.9, 59.6]",3890437,0,,,,-1.6175941,,Right Foot,,,,"[39.2, 23.3]",,Ground Pass,,36.339787,,,,Niklas Süle,6322.0,,,,,,1,From Kick Off,Ermin Bičakčić,9396.0,Right Center Back,2,Hoffenheim,175,['62edfdec-19f8-4a7e-8ff5-e319605505d4'],9,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:09.093,Pass,
,,,,,,,,,,,,,,,,,1.21223,,,,,,,,,,,,,,399054bb-738c-402c-aed7-44c52794e396,16,,"[40.3, 22.0]",3890437,0,,,,-1.2430578,,Right Foot,,,,"[45.4, 7.0]",,Ground Pass,,15.843295,,,,Jeremy Toljan,8392.0,,,,,,1,From Kick Off,Niklas Süle,6322.0,Left Center Back,2,Hoffenheim,175,['fc5ad5a2-fca7-4ae6-9488-fe11a350328c'],12,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:12.666,Pass,
,,,,,,,,,,,,,,,,,1.084186,,,,,,,,,,,,,,9dde9020-0940-4fb3-bbba-c4928beb49f8,19,,"[45.4, 8.7]",3890437,0,,,,2.383215,,Right Foot,,,,"[32.1, 21.3]",,Ground Pass,,18.320753,,,,Niklas Süle,6322.0,,,,,,1,From Kick Off,Jeremy Toljan,8392.0,Left Back,2,Hoffenheim,175,['93d19491-7de3-46a6-bc30-a65fdd779bc5'],15,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:15.295,Pass,
,,,,,,,,,,,,,,,,,2.376696,,,,,,,,,,,,,,f4fa6b20-bec4-4ba4-b38e-7998d25de669,23,,"[26.6, 24.8]",3890437,0,,,,1.5503389,,Right Foot,,,,"[27.4, 63.9]",,Ground Pass,,39.108185,,,,Ermin Bičakčić,9396.0,,,,,,1,From Kick Off,Niklas Süle,6322.0,Left Center Back,2,Hoffenheim,175,['dbe56ac3-c01b-4819-a31d-c25b2e226f15'],17,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:17.690,Pass,
,,,,,,,,,,,,,,,,,2.248433,,,,,,,,,,,,,,3b38efd8-6ab9-4f15-9ac0-f71b671e3ae3,26,,"[51.2, 66.3]",3890437,0,,,,-0.48552197,,Right Foot,,,,"[94.6, 43.4]",,High Pass,,49.07107,,Incomplete,,Jiloan Hamad,30847.0,,,,,,1,From Kick Off,Ermin Bičakčić,9396.0,Right Center Back,2,Hoffenheim,175,"['664edec1-9f39-40e5-8a23-7654cd56ae11', 'c4bc0cb0-1962-4549-bcd4-d3f505333f35']",23,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:23.739,Pass,
,,,,,,,,,,,,,,,,,1.124801,,,,,,,,,,,,,,664edec1-9f39-40e5-8a23-7654cd56ae11,28,,"[25.5, 36.7]",3890437,0,,,,-0.7374001,,Head,,,,"[37.5, 25.8]",,Low Pass,,16.211416,,,,Jérôme Gondorf,8388.0,,,,,Recovery,1,Regular Play,Aytac Sulu,9217.0,Right Center Back,3,Darmstadt 98,872,"['3b38efd8-6ab9-4f15-9ac0-f71b671e3ae3', '57ea604b-24a5-462f-85be-2e5f2c0da640']",25,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:25.988,Pass,
,,,,,,,,,,,,,,,,,0.454869,,,,,,,,,,,,,,d1650d07-44f9-4580-88ac-41f2dac6ebde,32,,"[36.9, 24.3]",3890437,0,,,,3.0155046,,Left Foot,,,,"[29.8, 25.2]",,Ground Pass,,7.156815,,Incomplete,,Luca Caldirola,9404.0,,,,,,1,Regular Play,Jérôme Gondorf,8388.0,Left Defensive Midfield,3,Darmstadt 98,872,"['8c170138-9f61-494e-b59c-e3362ab4efc2', '9380f64a-771c-4c55-a5e4-4e20068be737', 'd6ad59cc-459e-430f-a644-2c34729c2292']",28,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:28.182,Pass,True
,,,,,,,,,,,,,,,,,1.741155,,,,,,,,,,,,,,654f9fbd-57a0-45f5-8837-b29207ff8bfd,35,,"[23.2, 0.1]",3890437,0,,,,0.2688405,,,,,,"[42.8, 5.5]",,High Pass,,20.330273,,Incomplete,,Konstantin Rausch,11134.0,,,,,Throw-in,1,From Throw In,Luca Caldirola,9404.0,Left Back,4,Darmstadt 98,872,"['16e24281-41d5-4c5b-bb98-8817c5d45ac8', '80149b4b-7d85-4d63-87ad-66291624727e']",44,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:44.572,Pass,
,,,,,,,,,,,,,,,,,1.673504,,,,,,,,,,,,,,16e24281-41d5-4c5b-bb98-8817c5d45ac8,37,,"[77.3, 74.6]",3890437,0,,,,-0.7631796,,Head,,,,"[86.5, 65.8]",,High Pass,,12.731065,,Incomplete,,Jiloan Hamad,30847.0,,,,,Recovery,1,From Throw In,Pavel Kadeřábek,9397.0,Right Back,4,Darmstadt 98,872,"['373bfc6b-0e71-4e0b-b595-46e68c4bfa82', '47d369d5-69f0-4482-a1b9-db85134fab98', '654f9fbd-57a0-45f5-8837-b29207ff8bfd']",46,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:46.314,Pass,
