50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6146d142-a01a-4de6-a243-e9c423aa9f45,1,,,3890384,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c231909a-6bd7-438a-a46e-c9d2d9852d57,2,,,3890384,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40470, 'name': 'Georg Niedermeier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 44}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,77195707-659b-476e-897b-0059569294ab,3,,,3890384,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['21f54b4a-ec90-44d2-9c02-36d05db69291'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,21f54b4a-ec90-44d2-9c02-36d05db69291,4,,,3890384,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['77195707-659b-476e-897b-0059569294ab'],0,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f2b12a75-a09d-4ab2-b80b-f6b0bf08d81c,1968,,,3890384,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Borussia Dortmund,180,['3315e261-8f25-4628-95a0-89b462625022'],0,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3315e261-8f25-4628-95a0-89b462625022,1969,,,3890384,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Borussia Dortmund,180,['f2b12a75-a09d-4ab2-b80b-f6b0bf08d81c'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.606896,,,,,,,,,,,bcc99675-e8df-43a1-ad25-00055d67676e,5,,"[61.0, 40.1]",3890384,0,True,,,1.6030432,,Right Foot,,,,"[60.9, 43.2]",,Ground Pass,,3.1016126,,,,Pierre-Emerick Aubameyang,3712.0,,,,,Kick Off,1,From Kick Off,Shinji Kagawa,5684.0,Left Center Midfield,2,Borussia Dortmund,180,['b263b3a8-e9a0-4b81-b25c-b1b3b0e88eea'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.448,Pass,
,,,,,,,,,,,,,,,,,,,0.867769,,,,,,,,,,,efc7a580-26f1-46dc-bad3-1d95bad1e7ef,7,,"[62.5, 43.0]",3890384,0,,,,-3.016377,,Right Foot,,,,"[48.2, 41.2]",,Ground Pass,,14.412842,,,,İlkay Gündoğan,10287.0,,,,,,1,From Kick Off,Pierre-Emerick Aubameyang,3712.0,Center Forward,2,Borussia Dortmund,180,['2e25af65-874f-4131-9fd9-1ee7001ae1a4'],1,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:01.055,Pass,
,,,,,,,,,,,,,,,,,,,2.15269,,,,,,,,,,,3f9ea90d-01c2-43a3-b30d-3184e3acf384,10,,"[48.6, 42.4]",3890384,0,,,,1.9771297,,Right Foot,,,,"[37.8, 67.5]",,Ground Pass,,27.324898,,,,Sokratis Papastathopoulos,8244.0,,,,,,1,From Kick Off,İlkay Gündoğan,10287.0,Center Defensive Midfield,2,Borussia Dortmund,180,['4fc5ff44-a28d-444b-880c-82f0829b440f'],3,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:03.547,Pass,
,,,,,,,,,,,,,,,,,,,1.679458,,,,,,,,,,,b3e404f1-8f9d-40fc-be1d-1d083b4f5595,13,,"[41.4, 66.7]",3890384,0,,,,-1.1450843,,Right Foot,,,,"[52.6, 42.0]",,Ground Pass,,27.120657,,,,İlkay Gündoğan,10287.0,,,,,,1,From Kick Off,Sokratis Papastathopoulos,8244.0,Right Center Back,2,Borussia Dortmund,180,['1e5e4db2-3882-4e99-a128-a2b6a11e6bf7'],7,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:07.784,Pass,
