50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d58e272a-4a83-40b2-b9d9-067eeeeaa845,1,,,,3890271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 8824, 'name': 'Marco Höger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8512, 'name': 'Franco Matías Di Santo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c3b627bd-1467-4293-bf62-09c4139fd5f0,2,,,,3890271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 40481, 'name': 'Dominik Stroh-Engel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed9fd94b-821c-476e-86fe-b1504b15ed7a,3,,,,3890271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['2126107f-4941-42b4-a591-f5924bbda7a7'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2126107f-4941-42b4-a591-f5924bbda7a7,4,,,,3890271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['ed9fd94b-821c-476e-86fe-b1504b15ed7a'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ab60083b-2435-4a07-aba4-fbb893f29871,1542,,,,3890271,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,81,Schalke 04,181,['c70c68f9-9c6b-4d33-a004-8ebcbb11e120'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c70c68f9-9c6b-4d33-a004-8ebcbb11e120,1543,,,,3890271,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,81,Schalke 04,181,['ab60083b-2435-4a07-aba4-fbb893f29871'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,6a67eb06-4002-4725-b9cf-12ad95e65c58,5,,,"[60.0, 40.0]",3890271,0,,,,,1.5232133,,Left Foot,,,,"[60.1, 42.1]",,Ground Pass,,2.1023796,,,,Franco Matías Di Santo,8512.0,,,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Left Center Forward,2,Schalke 04,181,['f1fc34a7-c78c-405f-8e6d-af3d037837b2'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.843,Pass,
,,,,,,,,,,,,,,,,1.17316,,,,,,,,,,,,,fbbe0555-4238-4449-b324-e28804bc1143,8,,,"[60.1, 42.1]",3890271,0,,,,,-2.5602124,,Right Foot,,,,"[49.6, 35.2]",,Ground Pass,,12.564235,,,,Marco Höger,8824.0,,,,,,,1,From Kick Off,Franco Matías Di Santo,8512.0,Right Center Forward,2,Schalke 04,181,['ed9c8eae-031d-4c11-a064-5f6df10491c3'],1,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:01.123,Pass,
,,,,,,,,,,,,,,,,1.770286,,,,,,,,,,,,,ada1a226-cf87-4a7b-8679-ff4143496f41,11,,,"[45.9, 34.7]",3890271,0,,,,,1.7671292,,Right Foot,,,,"[42.3, 52.8]",,Ground Pass,,18.454538,,,,Uilson de Souza Paula Júnior,30312.0,,,,,,,1,From Kick Off,Marco Höger,8824.0,Right Defensive Midfield,2,Schalke 04,181,['309bc245-70ff-4844-8a2d-49bd46cc60ba'],3,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:03.512,Pass,
,,,,,,,,,,,,,,,,3.234815,,,,,,,,,,,,,31a0b9a4-96b8-4d44-b10a-ab714ee348b3,14,,,"[42.5, 48.3]",3890271,0,,,,,-2.2936413,,Right Foot,,,,"[20.8, 23.7]",,Ground Pass,,32.8032,,,,Roman Neustädter,16534.0,,,,,,,1,From Kick Off,Uilson de Souza Paula Júnior,30312.0,Right Back,2,Schalke 04,181,['8a9c904b-8257-46a9-8bf3-660163edfaea'],6,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:06.211,Pass,
