bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6439b908-ee37-484c-82f5-4127b2f090a2,1,,,3890440,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8900, 'name': 'Mërgim Mavraj'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 7993, 'name': 'Filip Mladenović'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 25}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8231, 'name': 'Yannick Gerhardt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 8822, 'name': 'Simon Zoller'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c97ad113-ce74-42c5-9501-abc06bcc8593,2,,,3890440,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20950, 'name': 'Yanni Regäsel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6317, 'name': 'Marco Jhonfai Fabián De La Mora'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 23268, 'name': 'Alexander Meier'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2e17f417-4200-4912-996f-d7727c4ffcd2,3,,,3890440,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['06ba7acf-9996-4ca4-8ff2-f3d4eda8a4a5'],0,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,06ba7acf-9996-4ca4-8ff2-f3d4eda8a4a5,4,,,3890440,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['2e17f417-4200-4912-996f-d7727c4ffcd2'],0,,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f3ec316-8082-4cf0-bbf5-6777a8404cc7,1833,,,3890440,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Eintracht Frankfurt,184,['5b652155-19c8-4a4c-8b39-5f9d216bbc64'],0,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b652155-19c8-4a4c-8b39-5f9d216bbc64,1834,,,3890440,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Eintracht Frankfurt,184,['6f3ec316-8082-4cf0-bbf5-6777a8404cc7'],0,,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.636479,,,,,,,,,,,,,9be4da73-c4d1-46d6-a658-6d5cff24f3b5,5,,"[60.0, 40.0]",3890440,0,True,,,2.1112158,,Right Foot,,"[59.1, 41.5]",,Ground Pass,1.7492856,,,,Alexander Meier,23268.0,,,,,Kick Off,1,From Kick Off,Marco Jhonfai Fabián De La Mora,6317.0,Left Center Midfield,2,Eintracht Frankfurt,184,['42492d50-7d50-4382-b6d6-68197dfb0bcd'],0,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.538,Pass,
,,,,,,,,,,,,,,,,,1.129636,,,,,,,,,,,,,17f062db-240a-4fa9-8096-1383c31619a5,7,,"[59.0, 40.5]",3890440,0,,,,-2.6618173,,Right Foot,,"[46.7, 34.1]",,Ground Pass,13.865424,,,,Makoto Hasebe,5681.0,,,,,,1,From Kick Off,Alexander Meier,23268.0,Center Forward,2,Eintracht Frankfurt,184,['c41e8206-8a13-4712-a9ec-e5f92813df0a'],1,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:01.191,Pass,
,,,,,,,,,,,,,,,,,1.42317,,,,,,,,,,,,,a2b3ab16-cb5a-47a5-87cb-9274515dd7f2,10,,"[46.4, 32.3]",3890440,0,,,,-1.8726065,,Right Foot,,"[39.8, 11.1]",,Ground Pass,22.203604,,,,Bastian Oczipka,8504.0,,,,,,1,From Kick Off,Makoto Hasebe,5681.0,Center Defensive Midfield,2,Eintracht Frankfurt,184,['b95fa571-f890-48d2-aeb5-384452cc458b'],3,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:03.415,Pass,
,,,,,,,,,,,,,,,,,1.504296,,,,,,,,,,,,,0c62ce88-25d4-4dae-b2b9-8b5c769bcbea,13,,"[39.8, 11.1]",3890440,0,,,,1.6539376,,Left Foot,,"[39.1, 19.5]",,Ground Pass,8.429116,,,,Makoto Hasebe,5681.0,,,,,,1,From Kick Off,Bastian Oczipka,8504.0,Left Back,2,Eintracht Frankfurt,184,['14727975-d117-4409-a8c1-c03e8f86a3d7'],6,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:06.120,Pass,
