50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,851e8444-d457-4ad9-9bd4-d3025f1330b2,1,,,3890269,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 8316, 'name': 'Dennis Diekmeier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8323, 'name': 'Gideon Jung'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8321, 'name': 'Sven Schipplock'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a333bf61-9c2b-4cc7-8c0a-6aee5868ce5d,2,,,3890269,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4683, 'name': 'Adam Hloušek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 33}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5e59c456-87a2-4511-a3f9-f321f0dd1783,3,,,3890269,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['b0f648a2-a94c-4656-89c4-43909f44d4c2'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b0f648a2-a94c-4656-89c4-43909f44d4c2,4,,,3890269,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['5e59c456-87a2-4511-a3f9-f321f0dd1783'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,55f3248d-5989-4646-b814-ca5d22f291a9,1553,,,3890269,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,VfB Stuttgart,174,['a3ba0984-4a55-46b1-9510-bf263ea09c7f'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3ba0984-4a55-46b1-9510-bf263ea09c7f,1554,,,3890269,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,VfB Stuttgart,174,['55f3248d-5989-4646-b814-ca5d22f291a9'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,21b51313-f252-4ae9-a519-752b760b6033,5,,"[61.0, 40.1]",3890269,0,,,,1.9936502,,Right Foot,,,"[60.1, 42.1]",,Ground Pass,2.1931713,,,Sven Schipplock,8321.0,,,,,Kick Off,1,From Kick Off,Lewis Harry Holtby,8891.0,Center Attacking Midfield,2,Hamburger SV,171,['8d39a344-53cf-4546-8893-d42cba1c080b'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.829,Pass,
,,,,,,,,,,,,,,,,1.4136,,,,,,,,,,,,,0850d9ae-8466-4535-96c6-b36286c9ef06,7,,"[60.1, 42.1]",3890269,0,,,,-2.7599885,,Right Foot,,,"[44.4, 35.8]",,Ground Pass,16.916855,,,Emir Spahić,26791.0,,,,,,1,From Kick Off,Sven Schipplock,8321.0,Center Forward,2,Hamburger SV,171,['dcdcd1ec-6f49-4f04-b950-db868a7a4db4'],1,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:01.309,Pass,
,,,,,,,,,,,,,,,,2.65576,,,,,,,,,,,,,d4d70892-e39d-4677-823b-0811b74318c5,10,,"[38.4, 36.2]",3890269,0,,,,0.5033093,,Right Foot,,,"[87.8, 63.4]",,High Pass,56.39326,Incomplete,,Michael Gregoritsch,8309.0,,,,,,1,From Kick Off,Emir Spahić,26791.0,Left Center Back,2,Hamburger SV,171,"['d1092538-0eac-4149-8bb2-5a34df2411f0', 'f424b733-6e80-46cb-8a42-1b83100863bd']",3,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:03.955,Pass,
,,,,,,,,,,,,,,,,2.682,,,,,,,,,,,,,fdc7d683-ce45-40e5-9e9f-b16b3f53f247,14,,"[73.4, 68.4]",3890269,0,,,True,1.4252805,,,,,"[75.1, 80.0]",,Low Pass,11.723907,Out,,Michael Gregoritsch,8309.0,,,,,Recovery,1,From Kick Off,Albin Ekdal,5624.0,Right Defensive Midfield,2,Hamburger SV,171,"['1c635e4a-1708-49ee-a158-b823ebe65881', '2a3e6df7-cfce-4cc2-8dcc-ed8f67416e36']",8,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:08.261,Pass,True
