50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9249e6b4-84d6-428c-a85a-6522de691fdb,1550,,,"[77.9, 66.6]",3890285,44,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Håvard Nordtveit,8395.0,Right Defensive Midfield,96,Borussia Mönchengladbach,185,['b85993b0-65f0-4141-9646-5826065012f0'],34,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:44:34.958,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d04c4288-c115-4e7a-b6ad-1643ad7eb5d5,1637,,,"[114.8, 73.0]",3890285,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Anthony Ujah,12624.0,Left Center Forward,100,Werder Bremen,176,"['788d53eb-16a7-4883-aa30-aa5ee33f7988', 'a13056f3-0b24-48a1-b27a-6da303f8ebf4']",44,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:44.465,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0ff88424-b104-4581-af9d-c3a9a940f1c5,1668,,,"[81.1, 41.0]",3890285,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Thorgan Hazard,5632.0,Right Midfield,102,Borussia Mönchengladbach,185,['459957c3-899d-483b-9a76-7e027353224d'],49,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:01:49.126,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f370aba5-ff03-494c-a144-734b112a9a0b,2119,,,"[113.3, 71.6]",3890285,59,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Clemens Fritz,20010.0,Right Center Midfield,125,Werder Bremen,176,['12c72180-e30b-4dbf-9c68-9114c1ea0724'],53,,,,,,,,,,,,,,,,,Werder Bremen,176,00:14:53.009,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d8829bd0-a916-4166-bd90-32d80cb798b1,2590,,,"[88.8, 26.3]",3890285,74,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Raffael Caetano de Araújo,8810.0,Left Center Forward,150,Borussia Mönchengladbach,185,['da0c0b92-d1a6-4d6b-a2ef-9c263fc90a86'],15,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:29:15.671,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bf073114-f6b8-4020-9416-000acbb1c7ae,2608,,,"[77.2, 65.0]",3890285,74,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Clemens Fritz,20010.0,Right Center Midfield,152,Werder Bremen,176,['6a0a49c3-a32b-418b-abd1-8c0e0b4efa10'],53,,,,,,,,,,,,,,,,,Werder Bremen,176,00:29:53.838,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,50ab718a-9331-4e00-a265-24fb28574999,2618,,,"[89.3, 73.9]",3890285,75,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,153,Werder Bremen,176,['4fb435f5-3bb2-4ea9-90da-5f0850b3b18a'],9,,,,,,,,,,,,,,,,,Werder Bremen,176,00:30:09.042,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,05eb9f8b-bdfd-4887-ad33-2a65d02372bd,2651,,,"[107.8, 66.6]",3890285,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lars Edi Stindl,8806.0,Right Midfield,155,Borussia Mönchengladbach,185,['e9bd54db-3019-46b3-9a09-85de2995174c'],30,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:31:30.046,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6727e038-86fe-48b1-8c69-5b200939c8e1,2814,,,"[85.5, 27.2]",3890285,80,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Oscar Wendt,8809.0,Left Back,163,Borussia Mönchengladbach,185,"['02f2eb3a-fa09-4379-b772-494829ffa4b9', '04798930-052b-4d98-934a-586860fbdb4a']",5,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:35:05.606,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b5b4dea6-5723-4b96-94b4-078d1f0515d3,3107,,,"[116.0, 75.8]",3890285,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Clemens Fritz,20010.0,Right Center Midfield,178,Werder Bremen,176,['d8c47471-fc4e-4d49-8db1-ff359cc0c9cd'],53,,,,,,,,,,,,,,,,,Werder Bremen,176,00:45:53.035,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9f95bc92-c0e8-4704-b056-3b50409ddf61,3134,,,"[114.8, 75.8]",3890285,91,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Clemens Fritz,20010.0,Right Center Midfield,180,Werder Bremen,176,"['b11a8579-822e-4cdc-94f8-a61dc9a09639', 'be70f837-1c56-4b9e-aa92-225cb0586660']",42,,,,,,,,,,,,,,,,,Werder Bremen,176,00:46:42.264,Dispossessed,True
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ef364ff6-8890-4650-897e-f1c985b80b41,3193,,,"[11.0, 75.7]",3890285,94,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Roel Brouwers,400654.0,Right Center Back,185,Werder Bremen,176,"['24126a3c-1432-4de0-bce7-d7c443328e44', '801ae721-a069-40e5-93db-cbe59679aca8']",4,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:49:04.289,Dispossessed,True
,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,,,b3c0af72-ee05-4105-8a4b-f28cd10b7bfb,78,,,"[7.5, 3.7]",3890285,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marvin Schulz,29245.0,Left Center Back,3,Werder Bremen,176,['eae021b1-14e2-427b-a492-d97ba02fcc93'],31,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:01:31.398,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,3594412f-7e33-45ac-8999-f26091aa1ed8,81,,,"[110.2, 52.2]",3890285,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Anthony Ujah,12624.0,Left Center Forward,4,Werder Bremen,176,['f866a9eb-e13b-4cbb-a2ef-e85e978495a9'],46,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:46.611,Duel,True
