50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90a93b9b-0ac6-491b-b59f-ad762ccbc851,1,,,3890542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 24324, 'name': 'Gustavo Adrián Ramos Vásquez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41f81438-1b01-42b9-9c28-9e68349a9f8c,2,,,3890542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 31}, {'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 10594, 'name': 'Bas Dost'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed4a8d1e-5e24-410a-9a8c-f7f1eaf837c7,3,,,3890542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['cd6ea97d-2abc-4258-95a7-bd5c89ad4f34'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cd6ea97d-2abc-4258-95a7-bd5c89ad4f34,4,,,3890542,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['ed4a8d1e-5e24-410a-9a8c-f7f1eaf837c7'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd34cb1f-9cf3-4bbd-af3e-7b0a94cab1cd,1972,,,3890542,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Borussia Dortmund,180,['3447ad6e-5070-4c74-9f8e-03dae1ff32c7'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3447ad6e-5070-4c74-9f8e-03dae1ff32c7,1973,,,3890542,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Borussia Dortmund,180,['dd34cb1f-9cf3-4bbd-af3e-7b0a94cab1cd'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.421309,,,,,,,,,,,,,ff977fc5-4bde-4b67-acec-322cc49c6e71,5,,"[61.0, 40.1]",3890542,0,,,,,1.8925469,,Right Foot,,,,"[59.7, 44.0]",,Ground Pass,4.110961,,,,Maximilian Arnold,8235.0,,,,,,Kick Off,1,From Kick Off,Bas Dost,10594.0,Center Forward,2,Wolfsburg,179,['06d21dbc-a7ec-442b-9937-fc2f06eba88b'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.123,Pass,
,,,,,,,,,,,,,,,,,1.04664,,,,,,,,,,,,,3622f996-a363-45e5-b949-e1082e06d0ad,8,,"[59.4, 41.8]",3890542,0,,,,,-2.9063067,,Right Foot,,,,"[44.8, 38.3]",,Ground Pass,15.01366,,,,Luiz Gustavo Dias,3545.0,,,,,,,1,From Kick Off,Maximilian Arnold,8235.0,Center Attacking Midfield,2,Wolfsburg,179,['a07104d4-429a-49e0-b961-460fa76a849d'],1,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:01.026,Pass,
,,,,,,,,,,,,,,,,,1.678064,,,,,,,,,,,,,76c435ad-c8f3-4a53-8b5d-4f2005cbacdb,11,,"[44.0, 35.2]",3890542,0,,,,,-1.5308176,,Left Foot,,,,"[45.0, 10.2]",,Ground Pass,25.019993,,,,Marcel Schäfer,40469.0,,,,,,,1,From Kick Off,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,2,Wolfsburg,179,['da9c452e-e6e8-492b-ba75-24826f8b26c0'],2,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:02.396,Pass,
,,,,,,,,,,,,,,,,,1.020245,,,,,,,,,,,,,78f7908c-8b11-4579-8734-bb9ab60493d0,14,,"[43.8, 6.1]",3890542,0,,,,,2.4149504,,Left Foot,,,,"[26.7, 21.3]",,Ground Pass,22.87903,,,,Robin Knoche,8239.0,,,,,,,1,From Kick Off,Marcel Schäfer,40469.0,Left Back,2,Wolfsburg,179,['7f691b0b-a157-4e7e-9ccd-d7848a152010'],5,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:05.131,Pass,
