50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[23.8, 50.2]",,,,,,,,,,,,3.718643,,,,,,,,,,,,,,f154f3d3-b911-446e-892d-94574635906a,2435,,,"[24.6, 42.9]",3890366,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jan-Ingwer Callsen-Bracker,22826.0,Right Center Back,142,Augsburg,172,"['36cad70c-de1b-4598-8ee3-3b5fdc4a0050', '88975633-e206-4bbe-9822-f0f2d97dd6da']",15,,,,,,,,,,,,,,,,,,Augsburg,172,00:21:15.257,Carry,
,,,,,,"[46.9, 68.0]",,,,,,,,,,,,1.424798,,,,,,,,,,,,,,b8b8fc38-703f-47e1-a1a8-372c604f4cc1,2438,,,"[34.3, 64.6]",3890366,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jan Morávek,9408.0,Right Defensive Midfield,142,Augsburg,172,"['04a97ad8-4912-4ca8-af49-a0bf804395e9', '4bba380f-63a4-449e-b0cb-b557d5aed71d']",20,,,,,,,,,,,,,,,,,,Augsburg,172,00:21:20.797,Carry,
,,,,,,"[66.1, 60.5]",,,,,,,,,,,,0.598406,,,,,,,,,,,,,,ed0b653f-f92b-478b-84c2-2a71ef237dad,2450,,,"[64.9, 62.0]",3890366,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dong-Won Ji,12302.0,Right Center Forward,143,Augsburg,172,"['7c158155-cb3d-4d8f-96ae-2618fde993f7', 'b0ec8dcd-ab95-4c05-8e60-9e20d42179c3', 'd83c0c83-6699-476e-bbfb-c8262f44e2f9']",31,,,,,,,,,,,,,,,,,,Augsburg,172,00:21:31.686,Carry,True
,,,,,,"[44.6, 21.1]",,,,,,,,,,,,0.377847,,,,,,,,,,,,,,3101ea7a-8fc1-4ae4-b9a1-a8c406dd9b43,2455,,,"[42.8, 20.7]",3890366,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alejandro Gálvez Jimena,6924.0,Right Center Back,143,Augsburg,172,"['488acedb-7cf2-454d-b70e-1dde07c21eee', '5ac3c7bc-fc57-4bc0-9b08-b7701b0fb95d', 'a052f5dc-a658-4e1c-85e5-599064994ac2']",33,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:21:33.771,Carry,True
,,,,,,"[77.5, 55.1]",,,,,,,,,,,,0.937745,,,,,,,,,,,,,,35480eb3-d0c0-4e64-8a7f-30e59cfea298,2458,,,"[75.5, 59.0]",3890366,66,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dong-Won Ji,12302.0,Right Center Forward,143,Augsburg,172,"['7d404931-1ec3-402a-a290-155c67b530df', 'ac526c4b-5d7e-4593-a35f-b04583d5dda2', 'ead4d55f-25e1-4b19-aa52-e8193df91c34']",34,,,,,,,,,,,,,,,,,,Augsburg,172,00:21:34.149,Carry,True
,,,,,,"[30.6, 54.9]",,,,,,,,,,,,1.022013,,,,,,,,,,,,,,addb33fc-5d97-4e56-a7a0-2770d452cb7f,2471,,,"[30.0, 51.9]",3890366,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jan-Ingwer Callsen-Bracker,22826.0,Right Center Back,145,Augsburg,172,"['4d5f71c7-e7d1-434b-aac7-49507d62e3da', 'ced9a091-31e9-44cc-95e0-a7e815561cad']",42,,,,,,,,,,,,,,,,,,Augsburg,172,00:22:42.711,Carry,
,,,,,,"[49.0, 66.7]",,,,,,,,,,,,1.342345,,,,,,,,,,,,,,28f6e5e3-25f4-433d-9415-d5183f40c34c,2474,,,"[45.8, 66.0]",3890366,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jan Morávek,9408.0,Right Defensive Midfield,145,Augsburg,172,"['6465765c-bf13-420f-bd5e-9218cf1a1eb1', 'a6fde2c5-d1fc-4b55-b6e8-def80e4c1026']",44,,,,,,,,,,,,,,,,,,Augsburg,172,00:22:44.952,Carry,
,,,,,,"[56.7, 53.2]",,,,,,,,,,,,2.942757,,,,,,,,,,,,,,02803c09-f97c-460f-a485-21076b6b792f,2477,,,"[62.7, 68.6]",3890366,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Alexander Esswein,8574.0,Right Midfield,145,Augsburg,172,"['9a2b4520-f6ca-4ada-b08f-ce4675000180', 'bd889e83-02fe-4fb8-8ab2-9ed0b0432524']",47,,,,,,,,,,,,,,,,,,Augsburg,172,00:22:47.303,Carry,
,,,,,,"[96.3, 58.1]",,,,,,,,,,,,0.096566,,,,,,,,,,,,,,d1461067-ba4f-4c00-b011-ca2c4d7cc139,2489,,,"[96.7, 58.1]",3890366,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Zlatko Junuzović,8762.0,Right Center Midfield,147,Werder Bremen,176,"['0db55773-517c-44f1-a798-73381d7c5a9f', '1963b1cc-8e38-451e-9a3e-7eaf6904a4cc', 'ce918210-8306-40bf-9468-93733d20d097']",28,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:23:28.465,Carry,True
,,,,,,"[111.9, 51.5]",,,,,,,,,,,,0.367017,,,,,,,,,,,,,,9dc36ecd-4182-4f75-82c7-64e1abd9443b,2493,,,"[107.0, 51.1]",3890366,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Fin Bartels,8389.0,Right Midfield,147,Werder Bremen,176,"['3c8a21b5-da74-4770-a2fe-a21612e01158', '4d3e5235-d6f4-4dfa-8e76-f150efd37625', 'b0febe3f-1e37-4660-b393-e2db5da4548e', 'b585e23b-e440-4537-b6ff-f08b2d9eaf8d']",30,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:23:30.185,Carry,True
,,,,,,"[109.3, 49.8]",,,,,,,,,,,,0.924279,,,,,,,,,,,,,,4c05c19f-ad2e-4f1e-9f33-1bc291edc121,2496,,,"[111.9, 51.5]",3890366,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Fin Bartels,8389.0,Right Midfield,147,Werder Bremen,176,"['2691d5e0-64b1-4c37-b0c4-bba7434bfc1c', '3c8a21b5-da74-4770-a2fe-a21612e01158', '4d3e5235-d6f4-4dfa-8e76-f150efd37625', 'b585e23b-e440-4537-b6ff-f08b2d9eaf8d']",30,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:23:30.552,Carry,True
