50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,400b86a5-957f-4839-aea5-42134b456735,1,,,,3890520,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 23341, 'name': 'Alexander Milosevic'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8538, 'name': 'Waldemar Anton'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 21311, 'name': 'Noah-Joel Sarenren-Bazee'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 37}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 26}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4220819f-6f5c-47f4-82dc-3ca94c54131a,2,,,,3890520,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 20499, 'name': 'Martin Stranzl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 39}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24d49cdc-4a31-4b80-bfa8-84370388cf44,3,,,,3890520,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['d3c64a24-66b5-4762-9946-408c1ccb7594'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d3c64a24-66b5-4762-9946-408c1ccb7594,4,,,,3890520,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['24d49cdc-4a31-4b80-bfa8-84370388cf44'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,327bb0e2-449b-44c1-9c2c-b6466f6333ce,1897,,,,3890520,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Borussia Mönchengladbach,185,['c7aa4a4d-5af5-4c2b-802c-b01c9d93feaa'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7aa4a4d-5af5-4c2b-802c-b01c9d93feaa,1898,,,,3890520,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Borussia Mönchengladbach,185,['327bb0e2-449b-44c1-9c2c-b6466f6333ce'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.389118,,,,,,,,,,,,,66dfba5c-5692-481a-af25-757821ad3163,5,,,"[61.0, 40.1]",3890520,0,,,,,0.9272952,,Right Foot,,,,"[63.1, 42.9]",,Ground Pass,,3.5,,,,Artur Sobiech,11845.0,,,,,,Kick Off,1,From Kick Off,Hiroshi Kiyotake,38524.0,Center Attacking Midfield,2,Hannover 96,178,['3d5e3239-ca1e-41a4-8dbf-517b6e16cec3'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.303,Pass,
,,,,,,,,,,,,,,,0.960603,,,,,,,,,,,,,f5a14c36-783d-49d5-833c-662013bf90c2,8,,,"[63.6, 44.4]",3890520,0,,,,,-2.9176881,,Right Foot,,,,"[53.5, 42.1]",,Ground Pass,,10.358571,,,,Manuel Schmiedebach,8543.0,,,,,,,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['e7ab5c68-2563-4622-a7ce-487d7a193b1c'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.732,Pass,
,,,,,,,,,,,,,,,2.910266,,,,,,,,,,,,,3f45b829-270b-447f-a0d1-5045a36a1cff,11,,,"[53.9, 42.7]",3890520,0,,,,,0.43648037,,Right Foot,,,,"[91.2, 60.1]",,High Pass,,41.15884,,Incomplete,,Noah-Joel Sarenren-Bazee,21311.0,,,,,,,1,From Kick Off,Manuel Schmiedebach,8543.0,Left Defensive Midfield,2,Hannover 96,178,"['74bf6723-af04-495d-b129-5826a718f097', 'cf44cdd0-04e7-4bef-b657-941592a5d064']",3,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:03.009,Pass,
,,,,,,,,,,,,,,,1.87676,,,,,,,,,,,,,74bf6723-af04-495d-b129-5826a718f097,14,,,"[28.9, 20.0]",3890520,0,,,,True,0.7853982,,,,,,"[32.4, 23.5]",,High Pass,,4.9497476,,,,Andreas Christensen,3959.0,,,,,,Recovery,1,From Kick Off,Håvard Nordtveit,8395.0,Left Center Back,2,Hannover 96,178,"['3f45b829-270b-447f-a0d1-5045a36a1cff', '4d878322-99a7-4e39-b734-7280e0568aa8', '64e99ce6-3bb7-45e2-8622-328dbc6d7e0d']",5,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:05.919,Pass,True
