50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.164634,,,,,,,,,,,,,,,,,1bc86844-9203-41e0-a496-78ed218378dc,17,,"[17.1, 72.8]",3890265,0,,,,0.1746722,,Right Foot,,,"[20.5, 73.4]",Ground Pass,,3.4525354,Incomplete,,Peter Pekarík,9722.0,,,,,,1,From Kick Off,Sebastian Langkamp,8580.0,Right Center Back,2,Hertha Berlin,173,"['78075c53-dea6-44c8-a87b-aad0144ce7bd', '8e71d2f4-79c0-427f-ae94-b706cf9ce63b']",8,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:08.659,Pass,
,,,,,,,,,,,,,,,,,0.983118,,,,,,,,,,,,,,,,,8273f751-8f33-4265-887f-945709e8ea34,20,,"[26.7, 80.0]",3890265,0,,,,-1.0366137,,,,,"[30.9, 72.9]",Low Pass,,8.249243,,,Per Ciljan Skjelbred,8578.0,,,,,Throw-in,1,From Throw In,Peter Pekarík,9722.0,Right Back,3,Hertha Berlin,173,['ff749543-af9a-4577-b0c7-e9cf7209b50f'],20,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:20.601,Pass,
,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,8fcd948d-7da9-48f7-be1f-9fc4c4312447,24,,"[32.1, 74.9]",3890265,0,,,,2.8480036,,Right Foot,,,"[23.5, 77.5]",Ground Pass,,8.984431,,,Peter Pekarík,9722.0,,,,,,1,From Throw In,Per Ciljan Skjelbred,8578.0,Center Defensive Midfield,3,Hertha Berlin,173,"['81931dde-b118-4fc8-a87c-014058186ea8', 'e1f7b4b1-630e-49b6-9285-376fe568f4f6']",21,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:21.945,Pass,True
,,,,,,,,,,,,,,,,,1.306116,,,,,,,,,,,,,,,,,94f3b00d-36a0-4f6d-a038-98a339f39f41,28,,"[97.8, 0.1]",3890265,0,,,,1.549966,,,,,"[98.0, 9.7]",Low Pass,,9.602083,,,Raúl Marcelo Bobadilla,8807.0,,,,,Throw-in,1,From Throw In,Tobias Werner,400620.0,Left Wing,4,Augsburg,172,['b8348dbc-fd09-41a0-ab77-6f348bff5919'],26,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:26.553,Pass,
,,,,,,,,,,,,,,,,,1.187688,,,,,,,,,,,,,,,,,fb018b32-f282-4328-b20c-d452f13fb100,41,,"[109.0, 18.1]",3890265,0,,,,-1.8525681,,Right Foot,,,"[106.8, 10.5]",Ground Pass,,7.9120164,,,Tobias Werner,400620.0,,,,,,1,From Throw In,Halil Altıntop,40462.0,Center Attacking Midfield,4,Augsburg,172,"['83d2ab88-dc46-47e0-964b-315e2593ab3a', '88b484bb-70ff-43d5-a000-55a07db89d0f']",32,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:32.787,Pass,True
,,,,,,,,,,,,,,,,,2.730733,,,,,,,,,,,,,,,,,0bb41b96-d5e8-4a1f-9c48-32c5f7ba782e,43,,"[106.8, 10.5]",3890265,0,,,,2.339102,,Left Foot,,,"[83.8, 34.3]",High Pass,,33.09743,,,Paul Verhaegh,8237.0,,,,,,1,From Throw In,Tobias Werner,400620.0,Left Wing,4,Augsburg,172,['234156a4-e28c-4b43-a5f1-3550d3db15e1'],33,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:33.974,Pass,
,,,,,,,,,,,,,,,,,1.608275,,,,,,,,,,,,,,,,,a0db5e96-4690-4285-b046-c884074dd8e0,46,,"[83.8, 34.3]",3890265,0,,,,-0.84089667,,Right Foot,,,"[90.6, 26.7]",Ground Pass,,10.198039,Incomplete,,Dominik Kohr,8207.0,,,,,,1,From Throw In,Paul Verhaegh,8237.0,Right Back,4,Augsburg,172,"['4962644b-dedb-4d88-a48e-e5f15996f7ba', '700020f7-e2e8-4cb4-b2fb-fc290532bfaf', 'e2ce5fcb-37f7-48e0-8576-6675e5014bda']",36,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:36.705,Pass,True
,,,,,,,,,,,,,,,,,0.880779,,,,,,,,,,,,,,,,,700020f7-e2e8-4cb4-b2fb-fc290532bfaf,48,,"[29.5, 53.4]",3890265,0,,,,-0.83633447,,Right Foot,,,"[41.6, 40.0]",Ground Pass,,18.05464,,,Valentin Stocker,9721.0,,,,,Recovery,1,Regular Play,Per Ciljan Skjelbred,8578.0,Center Defensive Midfield,5,Hertha Berlin,173,"['a0db5e96-4690-4285-b046-c884074dd8e0', 'b48b0409-9f96-4203-8685-9ca0a92f7c3a']",38,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:38.313,Pass,
,,,,,,,,,,,,,,,,,4.928247,,,,,,,,,,,,,,,,,1a767b90-d022-4d8e-8479-2b138efe752b,51,,"[47.6, 33.5]",3890265,0,,,,0.7957784,,Left Foot,,,"[90.5, 77.3]",High Pass,,61.30946,,,Roy Beerens,15543.0,,True,,,,1,Regular Play,Valentin Stocker,9721.0,Left Midfield,5,Hertha Berlin,173,['ed480460-5e17-4b59-8a3c-f68d5ce1d2f7'],40,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:40.400,Pass,
,,,,,,,,,,,,,,,,,3.231838,,,,,,,,,,,,,,,,,16bdd355-155c-4742-a099-0411b96593cd,54,,"[104.8, 78.1]",3890265,0,,,,-1.4513674,,Right Foot,True,,"[111.4, 23.1]",High Pass,,55.394585,,,Valentin Stocker,9721.0,,True,,,,1,Regular Play,Roy Beerens,15543.0,Right Midfield,5,Hertha Berlin,173,['fde19fa0-fb55-45d7-8fba-fa2838c55831'],47,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:47.061,Pass,
,,,,,,,,,,,,,,,,,0.272888,,,,,,,,,,,,,,,,,621fa327-e1e8-418f-93cd-6b0398fae11e,58,,"[117.6, 19.5]",3890265,0,,,,1.4219064,,Left Foot,,,"[117.9, 21.5]",Ground Pass,,2.0223749,Incomplete,,,,,,,,,1,Regular Play,Valentin Stocker,9721.0,Left Midfield,5,Hertha Berlin,173,"['2f388bbc-8ffc-4653-ae6e-6669a00a27b8', 'c6079eb9-776c-4612-9914-52a66f2e4e38']",52,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:52.030,Pass,True
