50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f5d29b0b-7965-4155-81bf-6b2c1fb26c2a,1,,,3890480,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 8231, 'name': 'Yannick Gerhardt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 7993, 'name': 'Filip Mladenović'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5df84d14-382e-485b-a0e2-a7e042b755ec,2,,,3890480,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 11281, 'name': 'Alessandro Schöpf'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5242, 'name': 'Younès Belhanda'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ca3ad8e1-0614-420a-a4ac-c1c6ddf2d824,3,,,3890480,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['a533f295-0da5-4b34-a0a6-7ca88651c057'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a533f295-0da5-4b34-a0a6-7ca88651c057,4,,,3890480,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['ca3ad8e1-0614-420a-a4ac-c1c6ddf2d824'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2e839e27-3e8a-4866-b4d4-46a6da88b690,1768,,,3890480,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,FC Köln,186,['bb936f2c-0285-42ee-b1a7-f4a6b8643c71'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bb936f2c-0285-42ee-b1a7-f4a6b8643c71,1769,,,3890480,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,FC Köln,186,['2e839e27-3e8a-4866-b4d4-46a6da88b690'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.582667,,,,,,,,,,,,,,,cd88bfb8-6ebf-402d-915f-26da918f7151,5,,"[60.0, 40.0]",3890480,0,,,,,1.6506263,,Right Foot,,,"[59.8, 42.5]",,Ground Pass,,2.5079873,,,,Leonardo Bittencourt,8826.0,,,,,Kick Off,1,From Kick Off,Anthony Modeste,23486.0,Center Forward,2,FC Köln,186,['0019ddfd-f635-497c-a0d7-5e51d02210a6'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.693,Pass,
,,,,,,,,,,,,,,,,,,1.537381,,,,,,,,,,,,,,,b4a76eb8-a729-460c-9d50-bcac7de27510,8,,"[59.5, 39.5]",3890480,0,,,,,-2.7248905,,Right Foot,,,"[47.3, 34.1]",,Ground Pass,,13.341664,,,,Matthias Lehmann,8827.0,,,,,,1,From Kick Off,Leonardo Bittencourt,8826.0,Center Attacking Midfield,2,FC Köln,186,['6851c4bb-30f6-453b-8e88-2a0ff74a0e8a'],1,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:01.293,Pass,
,,,,,,,,,,,,,,,,,,1.702029,,,,,,,,,,,,,,,2780a9d7-9556-4696-873c-6749b8b65ef2,11,,"[43.4, 32.2]",3890480,0,,,,,2.41415,,Left Foot,,,"[27.9, 46.0]",,Ground Pass,,20.753073,,,,Dominik Maroh,11286.0,,,,,,1,From Kick Off,Matthias Lehmann,8827.0,Left Defensive Midfield,2,FC Köln,186,['b2be9a85-ab54-40e0-b132-0d2aee02c0fa'],2,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:02.924,Pass,
,,,,,,,,,,,,,,,,,,2.755937,,,,,,,,,,,,,,,463126d4-6ca6-441a-95b3-1221a0acff7a,14,,"[14.4, 50.3]",3890480,0,,,,,0.32619497,,Right Foot,,,"[48.1, 61.7]",,High Pass,,35.575974,,Incomplete,,Marcel Risse,8823.0,,,,,,1,From Kick Off,Dominik Maroh,11286.0,Right Center Back,2,FC Köln,186,"['7ce0d4f4-f3b0-4f63-a43d-d69d32eaef30', '9433a1d4-d5a1-4630-a9b1-8feaf8134b72']",6,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:06.506,Pass,
