bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.973154,,,,,,,,,,,f9ec7767-5ae2-42c8-b178-d21424faebde,14,,,"[65.1, 48.5]",3890414,0,,,,,0.54257935,,Right Foot,,,,"[71.9, 52.6]",Low Pass,,7.940403,,,Vladimír Darida,8579.0,,,,,Recovery,1,From Kick Off,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,2,Hertha Berlin,173,"['a0da04a4-7773-40c3-ba28-32335e93c707', 'a8cc8278-89df-4282-9d0f-ff277c7ee32e']",6,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:06.803,Pass,
,,,,,,,,,,,,,,,,,0.580704,,,,,,,,,,,2451b529-e6a3-4e5c-852c-c76b9a921aa2,17,,,"[72.4, 52.6]",3890414,0,,,,,2.8430936,,Other,,,,"[68.5, 53.8]",Low Pass,,4.080441,,,Fabian Lustenberger,8965.0,,,,,,1,From Kick Off,Vladimír Darida,8579.0,Center Attacking Midfield,2,Hertha Berlin,173,['f8cdcaf7-8b68-4ae3-946e-04f734cbc08f'],7,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:07.843,Pass,
,,,,,,,,,,,,,,,,,3.651562,,,,,,,,,,,63e57c9b-b929-449f-9998-73d9295c18a3,20,,,"[68.3, 55.3]",3890414,0,,,,,-1.6061246,,Right Foot,,,,"[66.6, 7.2]",High Pass,,48.13003,,,Marvin Plattenhardt,5569.0,,True,,,,1,From Kick Off,Fabian Lustenberger,8965.0,Right Defensive Midfield,2,Hertha Berlin,173,['854859d8-42ae-438c-9726-95b921667244'],8,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:08.503,Pass,
,,,,,,,,,,,,,,,,,1.364204,,,,,,,,,,,273f28b3-f3f7-49fb-9568-002776c9d092,23,,,"[67.0, 7.0]",3890414,0,,,,,2.4227626,,Left Foot,,,,"[61.4, 11.9]",Ground Pass,,7.441102,,,Salomon Armand Magloire Kalou,8575.0,,,,,,1,From Kick Off,Marvin Plattenhardt,5569.0,Left Back,2,Hertha Berlin,173,['33c2dc35-6b2c-4518-a3f9-c2e00d26e769'],12,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:12.195,Pass,
,,,,,,,,,,,,,,,,,2.159396,,,,,,,,,,,3f4cdda5-522a-41d0-84b4-296b7c980460,26,,,"[57.0, 11.9]",3890414,0,,,,,2.780675,,Right Foot,,,,"[36.6, 19.6]",Ground Pass,,21.804815,,,John Anthony Brooks,12327.0,,,,,,1,From Kick Off,Salomon Armand Magloire Kalou,8575.0,Left Wing,2,Hertha Berlin,173,['6a97545f-60f5-4855-923d-6f50812adf7e'],14,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:14.863,Pass,
,,,,,,,,,,,,,,,,,1.822489,,,,,,,,,,,de120cb6-74e3-4ffe-ac15-fa1e44c92f0c,29,,,"[36.2, 25.0]",3890414,0,,,,,1.446065,,Left Foot,,,,"[40.3, 57.7]",Ground Pass,,32.95603,,,Sebastian Langkamp,8580.0,,,,,,1,From Kick Off,John Anthony Brooks,12327.0,Left Center Back,2,Hertha Berlin,173,['584fe49d-8bbe-4de8-9c47-d38a8c25ded3'],18,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:18.900,Pass,
,,,,,,,,,,,,,,,,,1.037769,,,,,,,,,,,cc72258c-d144-4896-bc28-0a4ab6b998ae,32,,,"[40.3, 58.3]",3890414,0,,,,,-0.6886547,,Right Foot,,,,"[53.3, 47.6]",Ground Pass,,16.837162,,,Per Ciljan Skjelbred,8578.0,,,,,,1,From Kick Off,Sebastian Langkamp,8580.0,Right Center Back,2,Hertha Berlin,173,['a0962b35-44f9-4c3d-8169-96d38ab3c5be'],23,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:23.311,Pass,
,,,,,,,,,,,,,,,,,1.378958,,,,,,,,,,,35812b74-e314-4ec2-b334-e614f88596e9,35,,,"[52.9, 48.1]",3890414,0,,,,,2.8592649,,Right Foot,,,,"[39.8, 51.9]",Ground Pass,,13.640015,,,Sebastian Langkamp,8580.0,,,,,,1,From Kick Off,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,2,Hertha Berlin,173,['d20e8fa5-6f1a-41b7-be0a-93a8e0f979cb'],24,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:24.427,Pass,
,,,,,,,,,,,,,,,,,1.138743,,,,,,,,,,,77f01c80-ae71-4574-92e5-0072bb5d6259,38,,,"[39.8, 52.3]",3890414,0,,,,,0.8792394,,Right Foot,,,,"[55.2, 70.9]",Ground Pass,,24.147879,,,Mitchell Weiser,8576.0,,,,,,1,From Kick Off,Sebastian Langkamp,8580.0,Right Center Back,2,Hertha Berlin,173,['69e6de7f-4a35-4345-b2ed-0c221bfbedd4'],27,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:27.278,Pass,
,,,,,,,,,,,,,,,,,1.259755,,,,,,,,,,,f1f86ffb-a8d5-4926-90da-5f76aeff7cf3,41,,,"[55.2, 71.2]",3890414,0,,,,,-0.67604387,,Right Foot,,,,"[73.9, 56.2]",Ground Pass,,23.972692,Incomplete,,Vladimír Darida,8579.0,,,,,,1,From Kick Off,Mitchell Weiser,8576.0,Right Back,2,Hertha Berlin,173,"['092f1d42-31e5-428d-b042-80fc23aa57a5', '39b5e390-2b55-4139-a40a-4cf5524cf044']",29,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:29.548,Pass,
