50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ac69abe-d52c-4306-8337-2818a7c3de37,1,,,3890538,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 8318, 'name': 'Jeffrey Gouweleeuw'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 40462, 'name': 'Halil Altıntop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 400620, 'name': 'Tobias Werner'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1cbb344e-8cdd-47d5-90fc-e2d62bbf149a,2,,,3890538,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 7993, 'name': 'Filip Mladenović'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 8231, 'name': 'Yannick Gerhardt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,375e68b2-a0b6-419b-9306-bdfb917fafd7,3,,,3890538,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['4029c95f-9aba-4927-89c4-75aca81444bd'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4029c95f-9aba-4927-89c4-75aca81444bd,4,,,3890538,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['375e68b2-a0b6-419b-9306-bdfb917fafd7'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6bfbf944-9ae5-4982-b435-65a17ee3ba2f,1754,,,3890538,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,Augsburg,172,['a15b5102-4a90-4394-9ac6-18b9f25a3c69'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a15b5102-4a90-4394-9ac6-18b9f25a3c69,1755,,,3890538,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,Augsburg,172,['6bfbf944-9ae5-4982-b435-65a17ee3ba2f'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.477518,,,,,,,,,,,,,e06271b2-1245-4d66-ae12-51de75e317f2,5,,"[61.0, 40.1]",3890538,0,,,,2.226492,,Left Foot,,,"[60.0, 41.4]",Ground Pass,,1.6401219,,,,Matthias Lehmann,8827.0,,,,,Kick Off,1,From Kick Off,Yannick Gerhardt,8231.0,Left Wing,2,FC Köln,186,['65bf4f0b-7e79-4838-8ed6-a261cb193302'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.267,Pass,
,,,,,,,,,,,,,,,1.645699,,,,,,,,,,,,,8d49a9bf-e2d8-4edb-a7de-c58e80b62dfd,8,,"[57.7, 42.3]",3890538,0,,,,2.9559112,,Right Foot,,,"[39.6, 45.7]",Ground Pass,,18.416569,,,,Dominik Maroh,11286.0,,,,,,1,From Kick Off,Matthias Lehmann,8827.0,Right Defensive Midfield,2,FC Köln,186,['f3dc4524-ae6a-4631-9c4b-192b91a5afc0'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.768,Pass,
,,,,,,,,,,,,,,,3.084617,,,,,,,,,,,,,c2290c00-4404-4a07-b779-280b29e9ae28,11,,"[42.5, 46.4]",3890538,0,,,,-0.5929314,,Right Foot,,,"[84.5, 18.1]",High Pass,,50.644745,,,,Anthony Modeste,23486.0,,,,,,1,From Kick Off,Dominik Maroh,11286.0,Right Center Back,2,FC Köln,186,['fc8d523b-51f0-4f2c-b3d2-34f545cfc065'],3,,,,,,,,,,,,,,,,,FC Köln,186,00:00:03.622,Pass,
,,,,,,,,,,,,,,,2.052998,,,,,,,,,,,,,22732f3f-1d89-4c52-abb1-851ea6fb6fea,14,,"[84.5, 18.1]",3890538,0,,,True,-0.5287728,,,,,"[102.3, 7.7]",High Pass,,20.615528,,,,Yannick Gerhardt,8231.0,,,,,,1,From Kick Off,Anthony Modeste,23486.0,Center Forward,2,FC Köln,186,"['4994736e-4261-47b3-879a-90ec5ab6e7e2', 'ed866e5c-3e96-41c8-89e3-d4200f1513c8']",6,,,,,,,,,,,,,,,,,FC Köln,186,00:00:06.707,Pass,True
,,,,,,,,,,,,,,,1.586123,,,,,,,,,,,,,60aa6398-82cb-4143-9e22-e330114eba7a,18,,"[102.1, 6.6]",3890538,0,,,,3.0430121,,Left Foot,,,"[83.9, 8.4]",Ground Pass,,18.288794,,,,Filip Mladenović,7993.0,,,,,,1,From Kick Off,Yannick Gerhardt,8231.0,Left Wing,2,FC Köln,186,"['22ce56eb-f044-461f-9c74-788ffe6de98b', '7e77d11b-38f6-4bf4-be6c-3be2e97dcb10']",10,,,,,,,,,,,,,,,,,FC Köln,186,00:00:10.052,Pass,True
,,,,,,,,,,,,,,,0.996884,,,,,,,,,,,,,ff45bd98-0f2e-46d9-8dc6-bb74572e5372,21,,"[83.9, 8.4]",3890538,0,,,,2.3361971,,Left Foot,,,"[79.0, 13.5]",Ground Pass,,7.072482,,,,Matthias Lehmann,8827.0,,,,,,1,From Kick Off,Filip Mladenović,7993.0,Left Back,2,FC Köln,186,['626670cd-61df-4097-95e5-90e09228a1c5'],12,,,,,,,,,,,,,,,,,FC Köln,186,00:00:12.194,Pass,
,,,,,,,,,,,,,,,0.984383,,,,,,,,,,,,,a20849a7-9b00-4622-8664-d30c12fa52fb,23,,"[79.0, 13.5]",3890538,0,,,,-0.9473655,,Right Foot,,,"[85.4, 4.6]",Ground Pass,,10.962208,,,,Filip Mladenović,7993.0,,,,,,1,From Kick Off,Matthias Lehmann,8827.0,Right Defensive Midfield,2,FC Köln,186,['8782cbb3-c4e4-48db-9830-355771104a96'],13,,,,,,,,,,,,,,,,,FC Köln,186,00:00:13.191,Pass,
