50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.535962,,,,,,,,,,,,,dc589f13-3138-41ce-a01c-5856197e07a6,2516,,"[56.4, 7.7]",3890444,83,,,,,0.80043465,,Right Foot,,,,"[69.5, 21.2]",,High Pass,,18.811167,,Incomplete,,Felix Platte,22017.0,,,,,,2,From Throw In,Sandro Wagner,9723.0,Right Center Forward,172,Darmstadt 98,872,"['1586b888-0a2d-4c16-8984-a5017a2725c6', '9bd3efd2-57ac-42c2-82a3-c643111c29d8', 'a15241e7-2269-420f-b893-452f7d8d696d']",21,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:38:21.556,Pass,True
,,,,,,,,,,,,,,,,,1.505856,,,,,,,,,,,,,3f007928-bc84-40fa-ac58-9e59fadbe8b6,2521,,"[67.9, 65.1]",3890444,83,,,,True,-1.0053124,,,,,,"[71.2, 59.9]",,High Pass,,6.158734,,Incomplete,,Stefan Kießling,11394.0,,,,,Recovery,2,From Throw In,Hakan Çalhanoğlu,7039.0,Right Attacking Midfield,172,Darmstadt 98,872,"['167b9a44-f7e8-41ef-92c1-6b7e7593618b', '1ffd42b5-af61-44d8-b98e-e5e59c8b76f5', '8a15e665-7b21-495c-baf1-a0b4d75b1f95']",25,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:25.843,Pass,True
,,,,,,,,,,,,,,,,,2.194522,,,,,,,,,,,,,1ffd42b5-af61-44d8-b98e-e5e59c8b76f5,2523,,"[48.9, 20.2]",3890444,83,,,,,0.7544802,,Right Foot,,,,"[73.9, 43.7]",,High Pass,,34.311077,,Incomplete,,Marcel Heller,9401.0,,,,,Recovery,2,From Throw In,Slobodan Rajković,35033.0,Left Center Back,172,Darmstadt 98,872,"['3f007928-bc84-40fa-ac58-9e59fadbe8b6', '46db39cd-252e-4907-bc8b-8be358646ee7', '6382d4e0-2961-4e8b-a380-5f4e44d429bd']",27,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:38:27.349,Pass,
,,,,,,,,,,,,,,,,,1.490983,,,,,,,,,,,,,46db39cd-252e-4907-bc8b-8be358646ee7,2525,,"[46.2, 36.4]",3890444,83,,,,,0.2717341,,Left Foot,,,,"[72.4, 43.7]",,High Pass,,27.197977,,Incomplete,,Admir Mehmedi,8219.0,,,,,Recovery,2,From Throw In,Wendell Nascimento Borges,8212.0,Left Back,172,Darmstadt 98,872,"['1ffd42b5-af61-44d8-b98e-e5e59c8b76f5', 'b617827f-6ff0-4a45-bbfe-dd424e1cb4af', 'e60a0b6b-6ac5-4f41-a51a-85186b2dda8a']",29,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:29.543,Pass,
,,,,,,,,,,,,,,,,,1.81381,,,,,,,,,,,,,b617827f-6ff0-4a45-bbfe-dd424e1cb4af,2527,,"[47.7, 36.4]",3890444,83,,,,,-0.28728145,,Right Foot,,,,"[82.9, 26.0]",,High Pass,,36.704224,,,,Sandro Wagner,9723.0,,,,,Recovery,2,From Throw In,Aytac Sulu,9217.0,Right Center Back,172,Darmstadt 98,872,"['46db39cd-252e-4907-bc8b-8be358646ee7', '6476bcca-fbc1-4afb-a80a-73df282c0146']",31,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:38:31.034,Pass,
,,,,,,,,,,,,,,,,,2.191475,,,,,,,,,,,,,5210c461-e85a-48c8-bd49-cdc242bd9104,2529,,"[82.5, 26.9]",3890444,83,,,,True,-2.8870723,,,,,,"[70.2, 23.7]",,High Pass,,12.709445,,Incomplete,,Peter Niemeyer,40467.0,,,,,,2,From Throw In,Sandro Wagner,9723.0,Right Center Forward,172,Darmstadt 98,872,"['39894472-3f52-4d35-9e59-6f77d750cc2e', '51d06f61-fccb-4e75-91a6-ec769a972913', '7eacd140-452c-4394-95cf-a34b10252fed']",32,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:38:32.848,Pass,True
,,,,,,,,,,,,,,,,,1.668471,,,,,,,,,,,,,7eacd140-452c-4394-95cf-a34b10252fed,2532,,"[49.9, 56.4]",3890444,83,,,,,-0.49710792,,Right Foot,,,,"[68.7, 46.2]",,High Pass,,21.388783,,Incomplete,,Stefan Kießling,11394.0,,,,,Recovery,2,From Throw In,Hakan Çalhanoğlu,7039.0,Right Attacking Midfield,172,Darmstadt 98,872,"['03febbbd-e0a4-42a3-acdf-b1f00d21dc30', '1a1fb019-8fa5-4dbe-b77f-b03f65a65b24', '5210c461-e85a-48c8-bd49-cdc242bd9104']",35,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:35.040,Pass,
,,,,,,,,,,,,,,,,,1.430148,,,,,,,,,,,,,03febbbd-e0a4-42a3-acdf-b1f00d21dc30,2534,,"[51.4, 33.9]",3890444,83,,,,,-0.9592993,,Head,,,,"[57.5, 25.2]",,Low Pass,,10.625442,,Incomplete,,Peter Niemeyer,40467.0,,,,,Recovery,2,From Throw In,Aytac Sulu,9217.0,Right Center Back,172,Darmstadt 98,872,"['4f0a1b00-729f-47ac-8cb9-c3f64d9fbcd0', '7eacd140-452c-4394-95cf-a34b10252fed', '97dc36e3-f3ae-4801-a1dc-0ea5e221b7da']",36,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:38:36.708,Pass,
,,,,,,,,,,,,,,,,,1.721776,,,,,,,,,,,,,4f0a1b00-729f-47ac-8cb9-c3f64d9fbcd0,2536,,"[62.6, 54.9]",3890444,83,,,,,-0.8149753,,Right Foot,,,,"[70.8, 46.2]",,Ground Pass,,11.955334,,,,Stefan Kießling,11394.0,,,,,Recovery,2,Regular Play,Hakan Çalhanoğlu,7039.0,Right Attacking Midfield,173,Bayer Leverkusen,904,"['03febbbd-e0a4-42a3-acdf-b1f00d21dc30', 'cc7a3aa5-1c12-48c3-b8d9-4b18fa121597']",38,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:38:38.138,Pass,
,,,,,,,,,,,,,,,,,2.651141,,,,,,,,,,,,,d1878a25-3183-4d9a-8f01-622e5c0ca30b,2542,,"[62.9, 36.6]",3890444,84,,,,,-0.7997056,,Right Foot,,,,"[93.9, 4.7]",,High Pass,,44.481567,,Incomplete,,Kevin Kampl,8222.0,,,,,Free Kick,2,From Free Kick,Ömer Toprak,8573.0,Left Center Back,174,Bayer Leverkusen,904,"['891494df-36f4-4e14-947c-2ca90df38a53', '9ec8859d-4ca1-4dca-8382-9a57d388e635']",22,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:22.046,Pass,
