bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ace6af14-0317-4232-929d-6101194ed080,1,,,3890360,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,053a2851-c01f-42ff-9d00-2a0e225575b3,2,,,3890360,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 27341, 'name': 'Marcelo Alfonso Díaz Rojas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 8321, 'name': 'Sven Schipplock'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0a740e8a-5a3e-4383-80bb-7dc0f890310f,3,,,3890360,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['4a424566-a30d-496b-9f58-7b2b87442e34'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4a424566-a30d-496b-9f58-7b2b87442e34,4,,,3890360,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['0a740e8a-5a3e-4383-80bb-7dc0f890310f'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ed927c34-711d-44ed-8ca0-6310519558ac,1479,,,3890360,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Hamburger SV,171,['8bf4bb0b-dc8a-491b-9523-fc0fb5453ee1'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8bf4bb0b-dc8a-491b-9523-fc0fb5453ee1,1480,,,3890360,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Hamburger SV,171,['ed927c34-711d-44ed-8ca0-6310519558ac'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.401128,,,,,,,,,,,,,,,e45c4d5a-5724-41dc-80e3-3efe9ccba0a8,5,,"[61.0, 40.1]",3890360,0,,,,,1.7619808,,Right Foot,,,,"[60.4, 43.2]",,Ground Pass,,3.1575308,,,,,Pierre-Michel Lasogga,8895.0,,,,Kick Off,1,From Kick Off,Lewis Harry Holtby,8891.0,Left Defensive Midfield,2,Hamburger SV,171,['70a6b62d-cdb3-4756-bc7d-2c37abaad72e'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.837,Pass,
,,,,,,,,,,,,,,,1.535267,,,,,,,,,,,,,,,28c5a014-6be7-41ac-96ef-fbf7c7116d99,8,,"[60.4, 43.2]",3890360,0,,,,,3.067863,,Right Foot,,,,"[42.8, 44.5]",,Ground Pass,,17.647945,,,,,Marcelo Alfonso Díaz Rojas,27341.0,,,,,1,From Kick Off,Pierre-Michel Lasogga,8895.0,Right Center Forward,2,Hamburger SV,171,['c474f4e9-353f-4d9b-8414-155c37958f1f'],1,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:01.278,Pass,
,,,,,,,,,,,,,,,3.193692,,,,,,,,,,,,,,,e8109e6c-286e-4e60-8dba-83a72ae7dcef,10,,"[42.8, 44.5]",3890360,0,,,,,-0.39194754,,Right Foot,,,,"[87.8, 25.9]",,High Pass,,48.692505,,,Incomplete,,Sven Schipplock,8321.0,,,,,1,From Kick Off,Marcelo Alfonso Díaz Rojas,27341.0,Right Defensive Midfield,2,Hamburger SV,171,"['45c8687a-3268-4920-b599-5b9b04c17716', 'c471da91-a0ac-43a1-b2ab-c5ca2c46db5f']",2,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:02.813,Pass,
,,,,,,,,,,,,,,,1.177463,,,,,,,,,,,,,,,c471da91-a0ac-43a1-b2ab-c5ca2c46db5f,12,,"[32.3, 54.2]",3890360,0,,,,True,-0.0685945,,,,,,"[45.4, 53.3]",,High Pass,,13.130879,,,Incomplete,,Jan Rosenthal,40477.0,,,,Recovery,1,From Kick Off,Peter Niemeyer,40467.0,Right Defensive Midfield,2,Hamburger SV,171,"['13af666f-4a76-4e9b-aea1-62831fcc8958', '72f86b2b-a46e-4c90-ac8b-900ced980999', 'a1d545f4-a1c9-4aca-ba8e-26120006c594', 'e8109e6c-286e-4e60-8dba-83a72ae7dcef']",6,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:06.007,Pass,True
