50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.309439,,,,,,,,,,,,,7dc17cae-b5c6-4a8c-8eb3-095a0464c254,22,,"[96.2, 77.7]",3890260,0,,,,-1.1071488,,Right Foot,True,,,"[111.9, 46.3]",,High Pass,,35.106266,,Incomplete,,Fabian Lukas Schär,5537.0,,,,,Free Kick,1,From Free Kick,Jonathan Schmid,8311.0,Right Center Midfield,3,Hoffenheim,175,"['35fa48f8-584d-4a20-9d43-ba39190fc4e7', '64ea2b7c-280e-46c0-a07e-bc0fd8ca91e2']",43,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:43.213,Pass,
,,,,,,,,,,,,,,,,,1.583643,,,,,,,,,,,,,dd6e5dad-5a34-4d63-828d-953a410db0be,31,,"[101.6, 0.1]",3890260,1,,,,0.25080383,,,,,,"[113.7, 3.2]",,Low Pass,,12.490797,,,,Steven Zuber,5548.0,,,,,Throw-in,1,From Throw In,Jin-Su Kim,40538.0,Left Back,4,Hoffenheim,175,['4a34213b-cf64-47c6-b5f6-95e089b28203'],2,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:01:02.175,Pass,
,,,,,,,,,,,,,,,,,0.024512,,,,,,,,,,,,,787a5ea4-95f8-4f25-8e40-9ca7c491b218,36,,"[114.2, 9.9]",3890260,1,,,,1.6997072,,Left Foot,,,,"[113.5, 15.3]",,Low Pass,,5.4451814,,Incomplete,,Kevin Volland,8215.0,,,,,,1,From Throw In,Steven Zuber,5548.0,Center Attacking Midfield,4,Hoffenheim,175,"['2e81644e-8fc0-4054-a840-bb5416e9b7f3', 'b8dc07a6-1ac8-4a57-964e-4bb52531cfd1']",4,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:01:04.360,Pass,
,,,,,,,,,,,,,,,,,1.306088,,,,,,,,,,,,,dabb2e92-2ba0-4045-ab59-7061b5f39980,41,,"[9.2, 48.7]",3890260,1,,,,0.15431878,,Keeper Arm,,,,"[27.2, 51.5]",,Ground Pass,,18.216476,,,,Christoph Kramer,8805.0,,,,,,1,Regular Play,Bernd Leno,15581.0,Goalkeeper,5,Bayer Leverkusen,904,['7b463093-dc7b-4d86-bb2d-fb6564b12bf6'],8,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:08.083,Pass,
,,,,,,,,,,,,,,,,,0.980717,,,,,,,,,,,,,3b6b885e-3bd1-4870-b0c7-f21354a6754f,44,,"[27.0, 51.5]",3890260,1,,,,-2.6546934,,Right Foot,,,,"[16.8, 46.1]",,Ground Pass,,11.54123,,,,Kyriakos Papadopoulos,8313.0,,,,,,1,Regular Play,Christoph Kramer,8805.0,Left Defensive Midfield,5,Bayer Leverkusen,904,['da84aecb-6c60-412d-ba71-0607b2919161'],9,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:09.429,Pass,
,,,,,,,,,,,,,,,,,2.885368,,,,,,,,,,,,,b68faf5f-a18a-4bbd-a1a9-8dff250966b0,47,,"[15.4, 46.3]",3890260,1,,,,0.52260303,,Right Foot,,,,"[49.6, 66.0]",,High Pass,,39.46809,,Incomplete,,Hakan Çalhanoğlu,7039.0,,,,,,1,Regular Play,Kyriakos Papadopoulos,8313.0,Left Center Back,5,Bayer Leverkusen,904,"['bb83a7eb-e649-4c28-8c19-4aa7e93e436c', 'bd687bbe-4aa1-4bdd-88d2-dc5422e55056']",10,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:10.450,Pass,
,,,,,,,,,,,,,,,,,2.205541,,,,,,,,,,,,,3fd9b3bf-2506-40e6-9269-0056520ffdac,50,,"[32.6, 66.0]",3890260,1,,,,-0.5434776,,Head,,,,"[51.8, 54.4]",,High Pass,,22.43212,,Incomplete,,Hakan Çalhanoğlu,7039.0,,,,,Recovery,1,Regular Play,Roberto Hilbert,8918.0,Right Back,5,Bayer Leverkusen,904,"['33773698-ef6d-4ce3-bd5c-2638638fa98e', '89f6a596-5a3f-411e-b3d8-540a65bbf19e']",15,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:15.191,Pass,
,,,,,,,,,,,,,,,,,1.059224,,,,,,,,,,,,,5fcb4f0f-b377-475f-8da1-0869030a1968,55,,"[57.4, 53.5]",3890260,1,,,True,-3.1278949,,,,,,"[50.1, 53.4]",,High Pass,,7.300685,,,,Hakan Çalhanoğlu,7039.0,,,,,Recovery,1,Regular Play,Stefan Kießling,11394.0,Center Forward,5,Bayer Leverkusen,904,"['18c6eef7-f3e7-4dbd-abbd-00520812e338', '6ce06f42-ae9d-42bf-87d8-237a5e394484']",19,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:19.315,Pass,True
,,,,,,,,,,,,,,,,,0.655596,,,,,,,,,,,,,dd988708-e808-4904-9a9a-e53464b9667e,59,,"[49.2, 50.4]",3890260,1,,,,0.877445,,Right Foot,,,,"[55.1, 57.5]",,Ground Pass,,9.231468,,Incomplete,,Lars Bender,8969.0,,,,,,1,Regular Play,Hakan Çalhanoğlu,7039.0,Center Attacking Midfield,5,Bayer Leverkusen,904,"['1d904535-5abd-40f9-9571-e29c8e8f83cb', 'e32a00c3-f7ce-42a3-b27f-718a8cd01221', 'e9ecf443-7fa1-46e6-842c-f3f3741390f1']",20,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:20.497,Pass,True
,,,,,,,,,,,,,,,,,2.119857,,,,,,,,,,,,,1d904535-5abd-40f9-9571-e29c8e8f83cb,61,,"[65.0, 22.6]",3890260,1,,,,0.6465709,,Left Foot,,,,"[85.8, 38.3]",,High Pass,,26.060123,,Incomplete,,Kevin Kuranyi,19836.0,,,,,Recovery,1,Regular Play,Pirmin Schwegler,8556.0,Center Defensive Midfield,5,Bayer Leverkusen,904,"['1e3bdd86-1704-49e8-bed1-b2082c484f1f', 'caa34553-bdac-46c4-96bb-845218de5dce', 'dd988708-e808-4904-9a9a-e53464b9667e']",21,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:01:21.153,Pass,
,,,,,,,,,,,,,,,,,1.422707,,,,,,,,,,,,,caa34553-bdac-46c4-96bb-845218de5dce,63,,"[34.3, 41.8]",3890260,1,,,,0.6676656,,Head,,,,"[49.9, 54.1]",,High Pass,,19.865799,,Unknown,,Lars Bender,8969.0,,,,,Recovery,1,Regular Play,Kyriakos Papadopoulos,8313.0,Left Center Back,5,Bayer Leverkusen,904,"['1d904535-5abd-40f9-9571-e29c8e8f83cb', 'b5a4c881-9f8e-424a-a50e-485991295eff']",23,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:01:23.272,Pass,
,,,,,,,,,,,,,,,,,1.223996,,,,,,,,,,,,,07b04420-1e00-427f-92db-d5b61ab25d00,65,,"[71.1, 25.5]",3890260,1,,,,2.577509,,Head,,,,"[66.2, 28.6]",,High Pass,,5.7982755,,Unknown,,Pirmin Schwegler,8556.0,,,,,Recovery,1,Regular Play,Eugen Polanski,8404.0,Left Center Midfield,5,Bayer Leverkusen,904,['ba4aa886-1e98-4d2e-896a-37c2e3c1a9af'],24,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:01:24.802,Pass,
,,,,,,,,,,,,,,,,,2.350389,,,,,,,,,,,,,213beee0-5136-4e79-aad3-bc633c51fbe2,69,,"[55.3, 51.5]",3890260,2,,,,-0.32547262,,Right Foot,,,,"[103.6, 35.2]",,High Pass,,50.97627,,Incomplete,,Heung-Min Son,3083.0,,,,,Free Kick,1,From Free Kick,Christoph Kramer,8805.0,Left Defensive Midfield,6,Bayer Leverkusen,904,"['d4c80dcb-7c81-4f5e-9805-ca6ecbb0fdad', 'e3c0ea4e-a362-4486-8eaf-53b73a486b70']",26,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:26.980,Pass,
,,,,,,,,,,,,,,,,,1.867492,,,,,,,,,,,,,d4c80dcb-7c81-4f5e-9805-ca6ecbb0fdad,71,,"[16.5, 44.9]",3890260,2,,,,-0.06139814,,Head,,,,"[40.9, 43.4]",,High Pass,,24.446064,,,,Kevin Volland,8215.0,,,,,Recovery,1,From Free Kick,Fabian Lukas Schär,5537.0,Right Center Back,6,Bayer Leverkusen,904,"['213beee0-5136-4e79-aad3-bc633c51fbe2', 'e06d26ef-9977-42ab-a76e-827fb3f44c8b']",29,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:02:29.330,Pass,
,,,,,,,,,,,,,,,,,1.690966,,,,,,,,,,,,,b301f507-7aee-4644-824b-1a3bb4032907,73,,"[40.2, 44.2]",3890260,2,,,,-1.3324255,,Head,,,,"[42.8, 33.5]",,High Pass,,11.011357,,Incomplete,,Kevin Kuranyi,19836.0,,,,,,1,From Free Kick,Kevin Volland,8215.0,Left Center Forward,6,Bayer Leverkusen,904,"['3c1f5128-4825-4497-a268-8b36d3eb9a80', 'b729471a-0f39-4228-a07f-f1edc36731d2']",31,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:02:31.252,Pass,
,,,,,,,,,,,,,,,,,1.95875,,,,,,,,,,,,,b729471a-0f39-4228-a07f-f1edc36731d2,75,,"[77.3, 46.6]",3890260,2,,,,-0.77968395,,Head,,,,"[86.1, 37.9]",,High Pass,,12.374571,,,,Stefan Kießling,11394.0,,,,,Recovery,1,From Free Kick,Lars Bender,8969.0,Right Defensive Midfield,6,Bayer Leverkusen,904,"['b301f507-7aee-4644-824b-1a3bb4032907', 'dae66a8b-85d4-4a2a-9c9d-3d1ec992d757']",32,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:32.943,Pass,
,,,,,,,,,,,,,,,,,0.200575,,,,,,,,,,,,,7140cb8c-7196-49e0-91c2-48e11f17dcf5,79,,"[87.5, 37.8]",3890260,2,,,,-2.5065658,,Left Foot,,,,"[85.6, 36.4]",,Low Pass,,2.3600848,,Incomplete,,Wendell Nascimento Borges,8212.0,,,,,,1,From Free Kick,Stefan Kießling,11394.0,Center Forward,6,Bayer Leverkusen,904,"['656134b4-fe33-4b9d-bfc7-6ac843edeaf4', 'e4a14f09-7cc5-4020-9258-d44fe8491493']",36,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:36.249,Pass,
,,,,,,,,,,,,,,,,,1.802248,,,,,,,,,,,,,82bf6820-31bf-4cc6-80e4-092744e8f20d,82,,"[67.9, 39.9]",3890260,2,,,,-1.2768912,,Right Foot,,,,"[78.1, 6.2]",,High Pass,,35.2098,,,,Wendell Nascimento Borges,8212.0,,,,,Recovery,1,From Free Kick,Jonathan Tah,8221.0,Right Center Back,6,Bayer Leverkusen,904,['a064d700-0042-45fb-ad27-c543db472c2c'],38,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:38.494,Pass,
,,,,,,,,,,,,,,,,,0.666774,,,,,,,,,,,,,d1f75d79-469a-412a-bc6d-c39fd0f39898,86,,"[74.7, 6.1]",3890260,2,,,,1.2882414,,Left Foot,,,,"[78.3, 18.5]",,Ground Pass,,12.91201,,,,Christoph Kramer,8805.0,,,,,,1,From Free Kick,Wendell Nascimento Borges,8212.0,Left Back,6,Bayer Leverkusen,904,['612697b9-e9ea-468e-a9ea-210fc4736656'],41,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:41.835,Pass,
