50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bc442f1a-fab7-4497-9ca2-ae1bcaeb99f1,1,,,,3890300,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 51388, 'name': 'Assani Lukimya-Mulongoti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8390, 'name': 'Philipp Bargfrede'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 22043, 'name': 'Ulisses Alexandre Garcia Lopes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 8402, 'name': 'Aron Jóhannsson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fe0ae48f-a6b2-4072-8179-9ca612e5e988,2,,,,3890300,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,efe0c4d6-8ea1-4703-99b0-469796a4e884,3,,,,3890300,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['21d5c586-cefd-4b38-8c9e-79d0196fc8b4'],0,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,21d5c586-cefd-4b38-8c9e-79d0196fc8b4,4,,,,3890300,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['efe0c4d6-8ea1-4703-99b0-469796a4e884'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a55d6fe7-40df-40a8-8133-1897002df1b5,1378,,,,3890300,45,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,101,Werder Bremen,176,['72203ecc-eee9-4d13-a0f4-80bad643296b'],0,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,72203ecc-eee9-4d13-a0f4-80bad643296b,1379,,,,3890300,45,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,101,Werder Bremen,176,['a55d6fe7-40df-40a8-8133-1897002df1b5'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.19837,,,,,,,,,,,,,,,2274a929-1e06-4756-ac1d-1bb08bc599fb,5,,,"[60.0, 40.0]",3890300,0,,,,-2.896614,,Right Foot,,,"[59.6, 39.9]",Ground Pass,,0.41231057,,,Pascal Groß,3097.0,,,,,Kick Off,1,From Kick Off,Lukas Hinterseer,9103.0,Center Forward,2,Ingolstadt,189,['29830238-99e6-487b-a034-514db666190a'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.216,Pass,
,,,,,,,,,,,,,,,,,1.18772,,,,,,,,,,,,,,,86d5ba8d-cc38-4651-a310-d96634df84f7,8,,,"[61.6, 37.4]",3890300,0,,,,-1.0358412,,Right Foot,,,"[68.0, 26.6]",Ground Pass,,12.553884,,,Mathew Leckie,5481.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Right Center Midfield,2,Ingolstadt,189,['be2b2477-2f38-40b8-b6e3-cb36fd22b40b'],1,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:01.789,Pass,
,,,,,,,,,,,,,,,,,0.881971,,,,,,,,,,,,,,,6e1eaed8-d354-40e6-b5b7-581612234405,11,,,"[80.7, 13.7]",3890300,0,,,,-0.9947836,,Right Foot,,,"[87.0, 4.0]",Ground Pass,,11.566331,,,Alfredo Morales,12304.0,,,,,,1,From Kick Off,Mathew Leckie,5481.0,Left Wing,2,Ingolstadt,189,['1495f03e-a748-4728-8e94-47e9d669f8d5'],5,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:05.618,Pass,
,,,,,,,,,,,,,,,,,0.735783,,,,,,,,,,,,,,,c9f43251-2b8a-4db5-8658-c1fa01f8614e,15,,,"[86.0, 4.2]",3890300,0,,,,0.0,,Right Foot,,,"[88.4, 4.2]",Ground Pass,,2.4,Incomplete,,Mathew Leckie,5481.0,,,,,,1,From Kick Off,Alfredo Morales,12304.0,Left Center Midfield,2,Ingolstadt,189,"['163b78a6-7a0d-4d1c-9e23-b1463a40887c', '694ed5d9-d49c-4df1-9966-956743008f96', 'd674f404-7bac-4af9-aa20-068164691ccd']",7,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:07.033,Pass,True
