50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d3e9a1fc-83ff-4fdf-a9f1-4b6b307fe2e1,1,,,,3890432,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e26926f-d38c-4024-9af0-0180869b4a0e,2,,,,3890432,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24919, 'name': 'Sebastian Jung'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 31}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 20200, 'name': 'Nicklas Bendtner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 3}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ce45f2f-132d-4331-a6ab-8fb952abfb53,3,,,,3890432,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['3b0c8769-8856-44ff-b48e-276ba0a7fd82'],0,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3b0c8769-8856-44ff-b48e-276ba0a7fd82,4,,,,3890432,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['9ce45f2f-132d-4331-a6ab-8fb952abfb53'],0,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,25e55d50-08fa-4adc-ab07-1ae68c203bd3,1699,,,,3890432,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,95,Wolfsburg,179,['132fb8db-8859-410b-8128-2f4b58c33363'],0,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,132fb8db-8859-410b-8128-2f4b58c33363,1700,,,,3890432,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,95,Wolfsburg,179,['25e55d50-08fa-4adc-ab07-1ae68c203bd3'],0,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.450522,,,,,,,,,,,,,a39a195e-3bf1-4905-b42c-86fee8900af3,5,,,"[61.0, 40.1]",3890432,0,,,,,1.2220253,,Right Foot,,,,"[61.8, 42.3]",,Ground Pass,,2.34094,,,,Max Meyer,8508.0,,,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Center Forward,2,Schalke 04,181,['55b71616-5aae-4661-8754-7fa870112dda'],1,,,,,,,,,,,,,,,,Schalke 04,181,00:00:01.072,Pass,
,,,,,,,,,,,,,,,,,1.221266,,,,,,,,,,,,,6afe70a1-9663-433e-b1c5-27c5730ad90b,8,,,"[60.6, 43.2]",3890432,0,,,,,2.226492,,Right Foot,,,,"[50.6, 56.2]",,Ground Pass,,16.40122,,,,Johannes Geis,6717.0,,,,,,,1,From Kick Off,Max Meyer,8508.0,Center Attacking Midfield,2,Schalke 04,181,['12fc4364-4d9e-4803-8f4e-c131830950ab'],2,,,,,,,,,,,,,,,,Schalke 04,181,00:00:02.077,Pass,
,,,,,,,,,,,,,,,,,1.23557,,,,,,,,,,,,,f25ff61e-ac17-4e37-8de6-bc55b5870bbc,11,,,"[56.6, 60.2]",3890432,0,,,,,1.5872784,,Right Foot,,,,"[56.3, 78.4]",,Ground Pass,,18.202473,,,,Uilson de Souza Paula Júnior,30312.0,,,,,,,1,From Kick Off,Johannes Geis,6717.0,Right Defensive Midfield,2,Schalke 04,181,['72d3ebd5-3092-42c6-b311-bbc4f2c33ce5'],6,,,,,,,,,,,,,,,,Schalke 04,181,00:00:06.389,Pass,
,,,,,,,,,,,,,,,,,1.327761,,,,,,,,,,,,,5c29f243-ee2c-490a-95fd-c1de5eeab528,14,,,"[55.2, 77.7]",3890432,0,,,,,-1.0293119,,Right Foot,,,,"[63.5, 63.9]",,Ground Pass,,16.103725,,Incomplete,,Leroy Sané,3053.0,,,,,,,1,From Kick Off,Uilson de Souza Paula Júnior,30312.0,Right Back,2,Schalke 04,181,"['2ed2aa15-5da4-40d2-a1f6-2fbb22941b43', 'bdb39c4d-cea4-40ea-b2d3-d1f760b3cb03', 'fa32884c-57ee-4780-8691-6eb3e4cd22df']",7,,,,,,,,,,,,,,,,Schalke 04,181,00:00:07.625,Pass,True
