50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,68d5b073-749d-4bcb-8c67-7d12d5caec24,1,,,3890449,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20485, 'name': 'Almog Cohen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 36}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2565adcd-27cf-4085-86a9-bf9106bd0df0,2,,,3890449,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3774, 'name': 'Papiss Mison Djilobodji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 9257, 'name': 'Lukas Fröde'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 39}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7173f252-af18-40ca-bb9d-7a62008bb253,3,,,3890449,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['10bc7e01-646a-4f6c-89d0-e828ce15eea2'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,10bc7e01-646a-4f6c-89d0-e828ce15eea2,4,,,3890449,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['7173f252-af18-40ca-bb9d-7a62008bb253'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0d773fa0-f31a-4f52-8381-3965ac68881f,1459,,,3890449,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Ingolstadt,189,['44761542-9eb8-4f1f-81d3-63e99bb6773f'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,44761542-9eb8-4f1f-81d3-63e99bb6773f,1460,,,3890449,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Ingolstadt,189,['0d773fa0-f31a-4f52-8381-3965ac68881f'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.680439,,,,,,,,,,,,,,493118a3-aa50-4e73-9d04-80d15312b18d,5,,"[60.0, 40.0]",3890449,0,,True,,,-2.226492,,Right Foot,,,"[58.0, 37.4]",Ground Pass,,3.2802439,,,Claudio Miguel Pizarro Bossio,11132.0,,,,,Kick Off,1,From Kick Off,Florian Grillitsch,11396.0,Left Wing,2,Werder Bremen,176,['e7b661b6-5b69-4c7b-aa49-795811d8bc1f'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.337,Pass,
,,,,,,,,,,,,,,,,1.287118,,,,,,,,,,,,,,9067cb34-2a12-467e-b18a-5ec901e4b3d3,7,,"[57.2, 37.2]",3890449,0,,,,,-2.5324292,,Right Foot,,,"[48.6, 31.2]",Ground Pass,,10.486181,,,Jannik Vestergaard,8815.0,,,,,,1,From Kick Off,Claudio Miguel Pizarro Bossio,11132.0,Center Attacking Midfield,2,Werder Bremen,176,['ee6a91d7-2b0f-478f-93ee-e567c364cdd6'],1,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.451,Pass,
,,,,,,,,,,,,,,,,2.992036,,,,,,,,,,,,,,44512457-ac55-46a2-bf8c-dfe91528450b,10,,"[49.5, 33.5]",3890449,0,,,,,0.63564026,,Right Foot,,,"[88.4, 62.2]",High Pass,,48.34149,Incomplete,,Levin Mete Öztunali,8554.0,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Left Defensive Midfield,2,Werder Bremen,176,"['de47967d-8bd5-4756-aa3d-9eeed0f3ab5a', 'e37a1a01-85dd-4372-be97-897d46e1e532']",2,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:02.769,Pass,
,,,,,,,,,,,,,,,,2.873217,,,,,,,,,,,,,,de47967d-8bd5-4756-aa3d-9eeed0f3ab5a,12,,"[31.7, 17.9]",3890449,0,,,,,-0.6074446,,Head,,,"[56.3, 0.8]",High Pass,,29.959473,Out,,Mathew Leckie,5481.0,,,,,Recovery,1,From Kick Off,Robert Bauer,8394.0,Left Back,2,Werder Bremen,176,"['44512457-ac55-46a2-bf8c-dfe91528450b', '4f107df9-f1cc-4ad9-bb2c-05eee06ae85d']",5,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:05.761,Pass,
