50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9b78f237-61c6-45db-a7c0-6b6fae0efad1,1,,,,3890493,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25003, 'name': 'Sascha Riether'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 8}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 6}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 11281, 'name': 'Alessandro Schöpf'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8512, 'name': 'Franco Matías Di Santo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,44eac620-14af-4794-9ded-f9a9859b6957,2,,,,3890493,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 19}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,140890be-5d5b-4cf9-959a-fc46e55c996f,3,,,,3890493,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['99eaceaf-e466-4e21-87cb-353a13c85000'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,99eaceaf-e466-4e21-87cb-353a13c85000,4,,,,3890493,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['140890be-5d5b-4cf9-959a-fc46e55c996f'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,273cd9eb-8024-4a22-85c7-3bf71574e0ec,2050,,,,3890493,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Borussia Mönchengladbach,185,['af19fbaf-b837-4d90-8426-ed1dcc3af13e'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,af19fbaf-b837-4d90-8426-ed1dcc3af13e,2051,,,,3890493,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Borussia Mönchengladbach,185,['273cd9eb-8024-4a22-85c7-3bf71574e0ec'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.808552,,,,,,,,,,,,,,,42625378-7aef-48e1-8eac-59d50f2a0956,5,,,"[60.0, 40.0]",3890493,0,True,,,-1.5273454,,Right Foot,,,"[60.1, 37.7]",,Ground Pass,,2.302173,,,,Thorgan Hazard,5632.0,,,,Kick Off,1,From Kick Off,Raffael Caetano de Araújo,8810.0,Left Center Forward,2,Borussia Mönchengladbach,185,['6c870bf9-62ba-4c80-b987-eb9a8cc05657'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.542,Pass,
,,,,,,,,,,,,,,,,,1.88654,,,,,,,,,,,,,,,83441c24-9116-4bf5-b62d-8e335815530b,7,,,"[59.6, 37.6]",3890493,0,,,,2.6662498,,Left Foot,,,"[39.2, 48.1]",,Ground Pass,,22.943626,,,,Andreas Christensen,3959.0,,,,,1,From Kick Off,Thorgan Hazard,5632.0,Right Center Forward,2,Borussia Mönchengladbach,185,['9393f62d-9f45-40d0-9416-d280738489a8'],1,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:01.351,Pass,
,,,,,,,,,,,,,,,,,2.561521,,,,,,,,,,,,,,,b72906c1-94f9-4f5c-93ce-9ea5a9e48673,10,,,"[40.0, 46.7]",3890493,0,,,,-0.8980074,,Right Foot,,,"[74.9, 2.9]",,High Pass,,56.004017,,Incomplete,,Fabian Johnson,11283.0,,True,,,1,From Kick Off,Andreas Christensen,3959.0,Center Back,2,Borussia Mönchengladbach,185,"['b15fbc2c-c692-4060-8fde-9249ed21ebae', 'b509b320-4dcb-4c35-93f8-d3878c7d309b']",3,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.730,Pass,
,,,,,,,,,,True,,,,,,,1.727577,,,,,,,,,,,,,,,b15fbc2c-c692-4060-8fde-9249ed21ebae,12,,,"[45.2, 77.2]",3890493,0,,,,-0.31016806,,Head,,,"[60.8, 72.2]",,High Pass,,16.381697,,,,Alessandro Schöpf,11281.0,,,,Interception,1,Regular Play,Leon Goretzka,6324.0,Right Wing Back,3,Schalke 04,181,"['b72906c1-94f9-4f5c-93ce-9ea5a9e48673', 'ff6bb32d-c64b-4f63-9ea5-c600f1f855e4']",6,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:06.292,Pass,
