50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,889e9900-59ec-4d6f-8337-c9503fe66d66,1,,,3890407,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 400613, 'name': 'Leon Andreasen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 24914, 'name': 'Edgar Prib'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 20027, 'name': 'Mevlüt Erdinç'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,33280022-4665-4ab0-9eff-27a2006554fe,2,,,3890407,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 17}, {'player': {'id': 9406, 'name': 'Holger Badstuber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 8209, 'name': 'Márcio Rafael Ferreira de Souza'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 13}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 29}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,112fb10c-82cd-493e-8c91-6c5b866eea32,3,,,3890407,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['6cd157a6-b67b-4714-891d-8e286ca52acf'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6cd157a6-b67b-4714-891d-8e286ca52acf,4,,,3890407,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['112fb10c-82cd-493e-8c91-6c5b866eea32'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,944b76c6-0006-49d2-b7fb-f6bd549d07fb,1845,,,3890407,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,Hannover 96,178,['858f9e6d-80db-4761-9e4d-fe830db95de0'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,858f9e6d-80db-4761-9e4d-fe830db95de0,1846,,,3890407,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,Hannover 96,178,['944b76c6-0006-49d2-b7fb-f6bd549d07fb'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.726495,,,,,,,,,,,,,,a991e0e2-f4a5-40be-8b8b-f5a25535b1fc,5,,"[60.0, 40.0]",3890407,0,,,,,-2.9543388,,Right Foot,,,,"[50.5, 38.2]",Ground Pass,,9.669023,,,Xabier Alonso Olano,20133.0,,,,,Kick Off,1,From Kick Off,Thomas Müller,5562.0,Right Center Forward,2,Bayern Munich,169,['dc2f6551-aed8-46ee-849c-ba3fae9d149e'],1,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.150,Pass,
,,,,,,,,,,,,,,,,1.095047,,,,,,,,,,,,,,c9bc9dfe-93dd-4774-a659-749037343505,8,,"[50.1, 37.4]",3890407,0,,,,,-1.9711723,,Right Foot,,,,"[39.9, 13.3]",Ground Pass,,26.16964,,,Holger Badstuber,9406.0,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Center Defensive Midfield,2,Bayern Munich,169,['ce6112f8-467f-412d-8879-e3137a08e76f'],2,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:02.689,Pass,
,,,,,,,,,,,,,,,,1.860632,,,,,,,,,,,,,,3990e8e4-2824-4749-ba19-88c15b9fc386,11,,"[46.7, 23.1]",3890407,0,,,,,1.7840636,,Left Foot,,,,"[39.9, 54.5]",Ground Pass,,32.12787,,,Javier Martínez Aginaga,9399.0,,,,,,1,From Kick Off,Holger Badstuber,9406.0,Left Center Back,2,Bayern Munich,169,['d86dec6a-c5f3-4780-85bc-9ae20f08e23f'],6,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:06.533,Pass,
,,,,,,,,,,,,,,,,1.60286,,,,,,,,,,,,,,492b103c-c65e-4f86-b5a1-5d00cab7799b,14,,"[40.9, 57.0]",3890407,0,,,,,-1.3576653,,Right Foot,,,,"[46.7, 30.2]",Ground Pass,,27.420431,,,Jérôme Boateng,5578.0,,,,,,1,From Kick Off,Javier Martínez Aginaga,9399.0,Right Center Back,2,Bayern Munich,169,['5d3cc668-53a4-4dd4-aa79-3beadd209342'],9,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:09.584,Pass,
