50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,38dc1076-b3af-4802-97cf-88d1b1b16d04,1,,,3890530,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6169be3c-37c3-4d54-b5e7-7a801d2dc80e,2,,,3890530,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 13206, 'name': 'Erik Durm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 37}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 8246, 'name': 'Christian Pulisic'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 24324, 'name': 'Gustavo Adrián Ramos Vásquez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19b7894d-7cdf-41f6-9d91-0491c4817e2b,3,,,3890530,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['33afa8d8-7599-482e-8e8b-2c3af9f8af17'],0,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33afa8d8-7599-482e-8e8b-2c3af9f8af17,4,,,3890530,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['19b7894d-7cdf-41f6-9d91-0491c4817e2b'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3da94dd3-e322-4752-8f1a-9b3d1b224eca,1980,,,3890530,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Borussia Dortmund,180,['9bea2ac6-bf8b-486e-8543-24615d79d83f'],0,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9bea2ac6-bf8b-486e-8543-24615d79d83f,1981,,,3890530,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Borussia Dortmund,180,['3da94dd3-e322-4752-8f1a-9b3d1b224eca'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.212985,,,,,,,,,,,,,ff3a2174-4c1a-4771-bf89-b66e1ea67265,5,,"[61.0, 40.1]",3890530,0,,,,,2.976444,,Right Foot,,,,"[59.8, 40.3]",,Ground Pass,,1.2165525,,,,Marco Reus,5559.0,,,,,Kick Off,1,From Kick Off,Gustavo Adrián Ramos Vásquez,24324.0,Center Forward,2,Borussia Dortmund,180,['1e686330-b243-4234-bcc4-cc5302c05292'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.684,Pass,
,,,,,,,,,,,,,,,,1.653831,,,,,,,,,,,,,da1c96a3-ee15-465e-91ef-c771e52c37ce,8,,"[57.5, 40.2]",3890530,0,,,,,2.664057,,Right Foot,,,,"[28.9, 55.0]",,Ground Pass,,32.202484,,,,Sokratis Papastathopoulos,8244.0,,,,,,1,From Kick Off,Marco Reus,5559.0,Left Center Midfield,2,Borussia Dortmund,180,['15637cb0-97d0-4440-b572-a4b7b012cb32'],1,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:01.721,Pass,
,,,,,,,,,,,,,,,,0.726779,,,,,,,,,,,,,9294d2c8-da98-4bd6-982e-ce4d64c9beec,11,,"[29.2, 54.8]",3890530,0,,,,,-0.84353364,,Right Foot,,,,"[38.1, 44.8]",,Ground Pass,,13.386934,,,,Julian Weigl,8816.0,,,,,,1,From Kick Off,Sokratis Papastathopoulos,8244.0,Right Center Back,2,Borussia Dortmund,180,['258cc6a0-ee6d-4497-92b5-919e16af4441'],4,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:04.183,Pass,
,,,,,,,,,,,,,,,,1.008992,,,,,,,,,,,,,cc23dde5-1a21-4f3d-9117-2961abab9213,14,,"[38.1, 44.8]",3890530,0,,,,,2.211382,,Right Foot,,,,"[29.9, 55.8]",,Ground Pass,,13.720058,,,,Sokratis Papastathopoulos,8244.0,,,,,,1,From Kick Off,Julian Weigl,8816.0,Center Defensive Midfield,2,Borussia Dortmund,180,['fb20865e-33ed-4297-84c0-ea1b9c9a5e4a'],5,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:05.182,Pass,
