50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,896fbe03-e254-4a21-a521-bb28ed2ef715,1,,,3890435,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8577, 'name': 'Rune Almenning Jarstein'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8576, 'name': 'Mitchell Weiser'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 8580, 'name': 'Sebastian Langkamp'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 12327, 'name': 'John Anthony Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 8965, 'name': 'Fabian Lustenberger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 40474, 'name': 'Jens Hegeler'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 8575, 'name': 'Salomon Armand Magloire Kalou'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 8571, 'name': 'Vedad Ibišević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Hertha Berlin,173,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4f2f9d93-3aa2-4a49-b286-8a0121f2ddd1,2,,,3890435,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0a517daa-beae-46fd-beee-a6989b88af46,3,,,3890435,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,['abec7e33-785e-4339-83c7-7c7f74d3d0c5'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,abec7e33-785e-4339-83c7-7c7f74d3d0c5,4,,,3890435,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,['0a517daa-beae-46fd-beee-a6989b88af46'],0,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,62cdfca4-e084-40de-86e8-797179959f7c,1891,,,3890435,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Hertha Berlin,173,['d49c253d-1f5b-4377-a422-d3c2dfbecdc4'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d49c253d-1f5b-4377-a422-d3c2dfbecdc4,1892,,,3890435,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Hertha Berlin,173,['62cdfca4-e084-40de-86e8-797179959f7c'],0,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,f01d876a-ad74-452e-a8ea-03ae748839a8,5,,"[61.0, 40.1]",3890435,0,,,,,2.8999307,,Right Foot,,,"[46.8, 43.6]",Ground Pass,,14.624979,,,,İlkay Gündoğan,10287.0,,,,,Kick Off,1,From Kick Off,Pierre-Emerick Aubameyang,3712.0,Center Forward,2,Borussia Dortmund,180,['3ebdef76-fcdf-4f2c-8375-ef7559ea1535'],1,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:01.240,Pass,
,,,,,,,,,,,,,,,,1.719998,,,,,,,,,,,,4579c5d5-a438-4214-b706-7b7690c9491a,8,,"[45.5, 44.0]",3890435,0,,,,,2.2881992,,Left Foot,,,"[32.5, 58.9]",Ground Pass,,19.773973,,,,Sokratis Papastathopoulos,8244.0,,,,,,1,From Kick Off,İlkay Gündoğan,10287.0,Right Center Midfield,2,Borussia Dortmund,180,['6ea7c131-6a90-4b85-9aed-4114e357f16f'],3,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:03.519,Pass,
,,,,,,,,,,,,,,,,2.119999,,,,,,,,,,,,390c51b5-84dc-4732-b897-6fcbbbc61a3f,11,,"[32.3, 58.0]",3890435,0,,,,,-2.3481085,,Right Foot,,,"[13.9, 39.3]",Ground Pass,,26.23452,,,,Roman Bürki,8225.0,,,,,,1,From Kick Off,Sokratis Papastathopoulos,8244.0,Right Center Back,2,Borussia Dortmund,180,['aa0cd7e6-0f22-4181-ad13-ab962042a217'],6,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:06.279,Pass,
,,,,,,,,,,,,,,,,3.317274,,,,,,,,,,,,d13abb41-7a3c-48d0-a306-ca346d0a0216,13,,"[15.7, 39.3]",3890435,0,,,,,0.21604657,,Left Foot,,,"[76.3, 52.6]",High Pass,,62.042324,,Incomplete,,Pierre-Emerick Aubameyang,3712.0,,,,,,1,From Kick Off,Roman Bürki,8225.0,Goalkeeper,2,Borussia Dortmund,180,"['eb633578-395e-41c6-abaa-6ca1a52e3495', 'feebf686-9ea5-483a-b5d5-b29d6f3e2a0b']",8,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:08.399,Pass,
