bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b66b128a-43ff-4a05-ab5e-f55f7eb7ef66,1,,,3890346,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20415, 'name': 'Sebastian Boenisch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8573, 'name': 'Ömer Toprak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8222, 'name': 'Kevin Kampl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 8219, 'name': 'Admir Mehmedi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 11394, 'name': 'Stefan Kießling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b2373ce2-61e2-4ea7-9103-03f05418d6e6,2,,,3890346,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 12583, 'name': 'Carlos Armando Gruezo Arboleda'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7cec09d9-73dc-448f-bb29-ec0001ab6721,3,,,3890346,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['1b832918-1ed2-4f84-b2e6-d02a2428ad2f'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1b832918-1ed2-4f84-b2e6-d02a2428ad2f,4,,,3890346,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['7cec09d9-73dc-448f-bb29-ec0001ab6721'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,036ab362-116c-4ee6-aa3a-3665870c002a,1657,,,3890346,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,110,Bayer Leverkusen,904,['0086ac84-2cc3-4710-889d-bccb18891337'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0086ac84-2cc3-4710-889d-bccb18891337,1658,,,3890346,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,110,Bayer Leverkusen,904,['036ab362-116c-4ee6-aa3a-3665870c002a'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.56834,,,,,,,,,,,71dc203c-0cf8-4db9-a22b-2fab8b513421,5,,"[61.0, 40.1]",3890346,0,,True,,,2.1794856,,Right Foot,,,,"[58.7, 43.4]",,Ground Pass,,4.022437,,,Daniel Schwaab,8270.0,,,,,,Kick Off,1,From Kick Off,Timo Werner,5557.0,Right Center Forward,2,VfB Stuttgart,174,['5e048514-a8a8-4db8-8a18-86c797fbfb71'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.598,Pass,
,,,,,,,,,,,,,,,,0.997677,,,,,,,,,,,dc993c98-a66b-4059-8a5f-b5ca8b42d4fd,7,,"[58.7, 44.2]",3890346,0,,,,,3.0076838,,Right Foot,,,,"[39.4, 46.8]",,Ground Pass,,19.474342,,,Toni Šunjić,38172.0,,,,,,,1,From Kick Off,Daniel Schwaab,8270.0,Center Defensive Midfield,2,VfB Stuttgart,174,['e73a69db-1450-4940-b8d5-424b1875de74'],1,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:01.167,Pass,
,,,,,,,,,,,,,,,,1.024164,,,,,,,,,,,2b5f470e-04fe-4684-865c-a17b9c887719,9,,"[39.0, 47.4]",3890346,0,,,,,-1.7494273,,Left Foot,,,,"[37.7, 40.2]",,Ground Pass,,7.31642,,,Timo Baumgartl,8956.0,,,,,,,1,From Kick Off,Toni Šunjić,38172.0,Right Center Back,2,VfB Stuttgart,174,['dc5df567-1e7b-4550-ace8-68d34e8ab26d'],2,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:02.165,Pass,
,,,,,,,,,,,,,,,,2.956535,,,,,,,,,,,401b5801-e849-4b8d-bd9b-e5692143f90c,12,,"[39.0, 39.7]",3890346,0,,,,,-0.26006806,,Right Foot,,,,"[85.6, 27.3]",,High Pass,,48.221573,,,Lukas Rupp,11395.0,,,,,,,1,From Kick Off,Timo Baumgartl,8956.0,Left Center Back,2,VfB Stuttgart,174,"['62bbca31-eedf-4e46-b08a-b35b38cf2eaf', '8b019776-c8ae-48b8-af5a-5cc11368b018']",3,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:03.189,Pass,True
