50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.867297,,,,,,,,,,,,,,,9828e96e-c2ab-4146-837e-fb9259183dd8,16,,,"[67.7, 40.6]",3890279,0,,,,,0.71606505,,Head,,,"[75.4, 47.3]",,High Pass,,10.206861,Incomplete,,Daniel Didavi,8243.0,,,,,Recovery,1,From Kick Off,Christian Gentner,8959.0,Right Defensive Midfield,2,VfB Stuttgart,174,"['0159c235-9930-415f-bc4b-34df5ecec812', '4c002b81-067a-46be-8827-fb919babca6a']",8,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:08.317,Pass,
,,,,,,,,,,,,,,,,,1.432421,,,,,,,,,,,,,,,1ef7a510-f732-4cf7-ae04-fa0b79509d2c,21,,,"[47.5, 28.3]",3890279,0,,,,,-2.010639,,Right Foot,,,"[41.1, 14.7]",,Ground Pass,,15.030636,,,Bastian Oczipka,8504.0,,,,,,1,From Kick Off,Marc Stendera,10896.0,Left Midfield,2,VfB Stuttgart,174,['044360ac-58ac-4570-aff2-821ece6466d1'],12,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:12.055,Pass,
,,,,,,,,,,,,,,,,,0.625656,,,,,,,,,,,,,,,3e5d5528-f8e7-4356-9e3b-19ce29c10ffb,25,,,"[42.1, 13.5]",3890279,0,,,,,0.51185584,,Left Foot,,,"[51.0, 18.5]",,Ground Pass,,10.20833,Incomplete,,Marc Stendera,10896.0,,,,,,1,From Kick Off,Bastian Oczipka,8504.0,Left Back,2,VfB Stuttgart,174,"['34dd5408-915d-40d5-a003-0749a07890e3', '666291f5-1061-47a8-828c-2563bc77f62f', 'fa34c7df-f851-4fb4-8b3f-1afa31dc7363']",13,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:13.676,Pass,True
,,,,,,,,,,,,,,,,,1.322568,,,,,,,,,,,,,,,34dd5408-915d-40d5-a003-0749a07890e3,27,,,"[69.1, 61.6]",3890279,0,,,,,3.0309355,,Right Foot,,,"[45.7, 64.2]",,Ground Pass,,23.544,,,Timo Baumgartl,8956.0,,,,,Recovery,1,From Kick Off,Daniel Didavi,8243.0,Right Midfield,2,VfB Stuttgart,174,"['1e7c2bca-a72d-47c0-84de-678dfe3f8783', '3e5d5528-f8e7-4356-9e3b-19ce29c10ffb']",14,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:14.302,Pass,
,,,,,,,,,,,,,,,,,2.194905,,,,,,,,,,,,,,,6db33139-0804-42c6-b93a-29c87c7882ff,30,,,"[50.8, 76.2]",3890279,0,,,,,-0.8628825,,Right Foot,,,"[80.5, 41.5]",,High Pass,,45.67472,,,Daniel Ginczek,9409.0,,,,,,1,From Kick Off,Timo Baumgartl,8956.0,Right Center Back,2,VfB Stuttgart,174,['beb7b1c2-189d-4771-a84d-9683d4067e72'],18,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:18.551,Pass,
,,,,,,,,,,,,,,,,,1.036302,,,,,,,,,,,,,,,b9e5d252-a1ce-4d8b-9f8f-5d8028539edd,33,,,"[80.5, 41.5]",3890279,0,,,,,0.4911636,,Other,,,"[84.8, 43.8]",,Low Pass,,4.876474,,,Daniel Didavi,8243.0,,,,,,1,From Kick Off,Daniel Ginczek,9409.0,Left Center Forward,2,VfB Stuttgart,174,['acfab40d-037e-461a-b124-2326d37029d1'],20,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:20.932,Pass,
,,,,,,,,,,,,,,,,,0.34381,,,,,,,,,,,,,,,23c63e23-cbb1-4937-bcf8-dee658838767,46,,,"[19.4, 36.1]",3890279,0,,,,,3.1415927,,Right Foot,,,"[14.7, 36.1]",,Ground Pass,,4.7,Unknown,,Lukáš Hrádecký,8667.0,,,,,,1,Regular Play,Carlos Augusto Zambrano Ochandarte,36359.0,Right Center Back,3,Eintracht Frankfurt,184,"['af837788-0d26-48fb-8b92-74d64edb463c', 'c5ea5722-482c-450a-a386-2b00fd5701ba']",25,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:25.391,Pass,True
,,,,,,,,,,,,,,,,,3.924142,,,,,,,,,,,,,,,1bd3f79e-035f-4862-a12a-32f13da99c65,50,,,"[14.7, 35.6]",3890279,0,,,,,0.47422224,,Right Foot,,,"[74.9, 66.5]",,High Pass,,67.6672,,,Haris Seferović,5543.0,,,,,Free Kick,1,From Free Kick,Lukáš Hrádecký,8667.0,Goalkeeper,4,Eintracht Frankfurt,184,['30b15f07-e69d-4d89-a1e3-53d96b59274a'],47,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:47.957,Pass,
,,,,,,,,,,,,,,,,,2.071043,,,,,,,,,,,,,,,faa7af86-decd-4082-9f58-4e04223b8467,53,,,"[74.6, 66.3]",3890279,0,,,,True,-0.9272952,,,,,"[82.4, 55.9]",,High Pass,,13.0,,,Luc Castaignos,7846.0,,,,,,1,From Free Kick,Haris Seferović,5543.0,Right Center Forward,4,Eintracht Frankfurt,184,"['10677628-c884-45d3-8e1f-c3cacf05a8d6', 'f107e830-1f86-4c61-983b-26728aee4b11']",51,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:51.881,Pass,True
,,,,,,,,,,,,,,,,,1.596596,,,,,,,,,,,,,,,8df07b03-e723-471f-9ec1-f7db1a02f6a7,56,,,"[81.5, 55.7]",3890279,0,,,,True,0.39104816,,,,,"[92.9, 60.4]",,High Pass,,12.330855,,,Stefan Aigner,21156.0,,,,,,1,From Free Kick,Luc Castaignos,7846.0,Left Center Forward,4,Eintracht Frankfurt,184,"['6123a47f-4da3-4c61-94d9-5b0a0a215540', 'b4b40b3c-c6d9-4f4f-bd02-c7d86fd48369']",54,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:54.024,Pass,True
