ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f83cba99-ba6d-420d-b8ca-613cf700d619,1,,,,3890559,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5244, 'name': 'Medhi Amine El Mouttaqi Benatia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 29}, {'player': {'id': 8227, 'name': 'Mario Götze'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8223, 'name': 'Franck Bilal Ribéry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ead33f2a-da56-4b6d-bf2b-c5a19d6497bd,2,,,,3890559,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131141, 'name': 'Fynn Arkenberg'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 8538, 'name': 'Waldemar Anton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 24914, 'name': 'Edgar Prib'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 49010, 'name': 'Valmir Sulejmani'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 38}, {'player': {'id': 13125, 'name': 'Iver Tobias Rørvik Fossum'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 8551, 'name': 'Felix Klaus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c0700c31-678c-42c1-bb4a-a6c0be9e52ef,3,,,,3890559,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['cbd64ed4-e1b1-4ba8-b0d4-c8efef57f165'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cbd64ed4-e1b1-4ba8-b0d4-c8efef57f165,4,,,,3890559,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['c0700c31-678c-42c1-bb4a-a6c0be9e52ef'],0,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dabc1b08-cebe-46e8-a357-521067844240,2082,,,,3890559,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Hannover 96,178,['a0a26a57-be79-4b3b-afb1-865439ace30a'],0,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a0a26a57-be79-4b3b-afb1-865439ace30a,2083,,,,3890559,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Hannover 96,178,['dabc1b08-cebe-46e8-a357-521067844240'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.587092,,,,,,,,,,,,0866a204-541f-4d0a-ad99-7ea8703a044b,5,,,"[60.0, 40.0]",3890559,0,,,,-1.6614562,,Right Foot,,,,"[59.6, 35.6]",,Ground Pass,,4.418144,,,,Artur Sobiech,11845.0,,,,,,Kick Off,1,From Kick Off,Iver Tobias Rørvik Fossum,13125.0,Center Attacking Midfield,2,Hannover 96,178,['5479afb9-674f-4f3f-9acf-993c3b798900'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.080,Pass,
,,,,,,,,,,,,,,,,1.055373,,,,,,,,,,,,bc96544f-c250-43ca-9752-a7eba89d42c6,7,,,"[59.3, 35.5]",3890559,0,,,,3.1415927,,Right Foot,,,,"[54.9, 35.5]",,Ground Pass,,4.4,,,,Manuel Schmiedebach,8543.0,,,,,,,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['feeaaebc-36e7-4d9a-94d8-a2c7409d3e38'],0,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.667,Pass,
,,,,,,,,,,,,,,,,3.285685,,,,,,,,,,,,f4441655-4b45-4889-a4f8-0404422f1348,9,,,"[54.9, 35.5]",3890559,0,,,,-0.8054263,,Right Foot,,,,"[86.7, 2.4]",,High Pass,,45.900436,,Incomplete,,Miiko Martín Albornoz Inola,13126.0,,,,,,,1,From Kick Off,Manuel Schmiedebach,8543.0,Right Defensive Midfield,2,Hannover 96,178,"['54eac90e-420b-44a4-8520-abce741849f3', 'a18ed197-481f-4c5a-8457-67aad1865703']",1,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:01.722,Pass,
,,,,,,,,,,,,,,,,1.087472,,,,,,,,,,,,273286b5-fde1-4b11-86e3-6598fbbf7ef6,13,,,"[93.5, 0.1]",3890559,0,,,,0.59506965,,,,,,"[100.0, 4.5]",,Low Pass,,7.8492036,,,,Iver Tobias Rørvik Fossum,13125.0,,,,,,Throw-in,1,From Throw In,Miiko Martín Albornoz Inola,13126.0,Left Back,3,Hannover 96,178,['e80f04b2-d600-449f-96a8-89d20298a682'],12,,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:12.171,Pass,
