50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f868fd99-967d-4c99-972c-f0825b62310c,1,,,3890309,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 400613, 'name': 'Leon Andreasen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 2}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,65a74783-9aa2-4be9-94b2-a5abc5464bfe,2,,,3890309,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 33}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,87704499-ba12-456c-a51c-bb0f7ecc0d87,3,,,3890309,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['09a94566-cdf5-4dfb-bc3d-bde16b55fc06'],0,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09a94566-cdf5-4dfb-bc3d-bde16b55fc06,4,,,3890309,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['87704499-ba12-456c-a51c-bb0f7ecc0d87'],0,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7a1029dd-de8c-460e-98de-cddde048fb75,1575,,,3890309,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,VfB Stuttgart,174,['9083672f-409f-40c9-9d2e-d35a47c4d74f'],0,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9083672f-409f-40c9-9d2e-d35a47c4d74f,1576,,,3890309,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,VfB Stuttgart,174,['7a1029dd-de8c-460e-98de-cddde048fb75'],0,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.217131,,,,,,,,,,,,,27aedfce-e28c-4562-85cd-4b523557eadd,5,,"[61.0, 40.1]",3890309,0,,,,1.555646,,Right Foot,,,"[61.1, 46.7]",,Ground Pass,,6.6007576,,,,,Hiroshi Kiyotake,38524.0,,,,,Kick Off,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['d6e0fb5d-1abf-4a92-b0f5-65373b998012'],0,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.501,Pass,
,,,,,,,,,,,,,,,1.755603,,,,,,,,,,,,,7022b2a6-7210-4f16-b61f-73633865d175,7,,"[59.6, 45.2]",3890309,0,,,,2.973765,,Right Foot,,,"[35.4, 49.3]",,Ground Pass,,24.544857,,,,,Marcelo Antônio Guedes Filho,3164.0,,,,,,1,From Kick Off,Hiroshi Kiyotake,38524.0,Left Attacking Midfield,2,Hannover 96,178,['f619c236-bef5-4895-8bbc-fef46fedfb54'],0,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.719,Pass,
,,,,,,,,,,,,,,,2.696708,,,,,,,,,,,,,05bcf615-ee90-4951-a0d5-0a3e809cb3fd,11,,"[36.7, 51.2]",3890309,0,,,,0.49569362,,Right Foot,,,"[80.9, 75.1]",,High Pass,,50.247887,,,,,Kenan Karaman,8541.0,,,,,,1,From Kick Off,Marcelo Antônio Guedes Filho,3164.0,Right Center Back,2,Hannover 96,178,"['184e2cd9-8d09-4e93-99b6-b179b2f103d5', 'a56efa44-e63b-485a-9310-c90171e81818']",3,,,,,,,,,,,,,,,,Hannover 96,178,00:00:03.764,Pass,True
,,,,,,,,,,,,,,,1.174186,,,,,,,,,,,,,34f15d2b-2695-411f-b17e-fd40c732ca4e,14,,"[80.9, 75.1]",3890309,0,,,True,-0.5423027,,,,,"[96.5, 65.7]",,High Pass,,18.213182,,,Incomplete,,Artur Sobiech,11845.0,,,,,,1,From Kick Off,Kenan Karaman,8541.0,Right Attacking Midfield,2,Hannover 96,178,"['5a7fc3cc-956e-492c-a83e-9ae17df82756', '85741cad-fd91-4f4a-939c-2c407f48077f', 'f50e9007-45c8-43a4-be4f-1ee66dd90f24']",6,,,,,,,,,,,,,,,,Hannover 96,178,00:00:06.460,Pass,True
