50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f43ddd5e-f93b-4d41-b14a-8f5d66c1449d,1,,,3890276,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8545, 'name': 'Julian Korb'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 29245, 'name': 'Marvin Schulz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 12320, 'name': 'Tony Jantschke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 8813, 'name': 'Patrick Herrmann'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61da3b6f-9440-44f8-84e3-81d88021309b,2,,,3890276,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 5609, 'name': 'Joo-Ho Park'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8561, 'name': 'Fabian Frei'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d30ca1e-42d1-4687-afb2-50ea22b9e7df,3,,,3890276,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['bbb7014a-f9a0-4e3e-bec6-d21e6c4d6472'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bbb7014a-f9a0-4e3e-bec6-d21e6c4d6472,4,,,3890276,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['4d30ca1e-42d1-4687-afb2-50ea22b9e7df'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fa218272-9993-4865-b943-c892ee8f8268,2136,,,3890276,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Borussia Mönchengladbach,185,['e6385b72-2926-4209-825c-86f1a91adf86'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e6385b72-2926-4209-825c-86f1a91adf86,2137,,,3890276,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Borussia Mönchengladbach,185,['fa218272-9993-4865-b943-c892ee8f8268'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.429635,,,,,,,,,,,,,91c94391-4ff8-4c53-a6ef-a059912f2633,5,,"[61.0, 40.1]",3890276,0,,,,1.19029,,Right Foot,,,"[62.4, 43.6]",,Ground Pass,,3.7696154,,,,Lars Edi Stindl,8806.0,,,,,Kick Off,1,From Kick Off,Raffael Caetano de Araújo,8810.0,Left Center Forward,2,Borussia Mönchengladbach,185,['440aebc3-356d-4abd-95bf-efed1030681d'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.760,Pass,
,,,,,,,,,,,,,,,,,1.69327,,,,,,,,,,,,,d759a601-36f1-4391-8a3e-8ba0c4528bb2,8,,"[64.6, 45.3]",3890276,0,,,,3.0014908,,Right Foot,,,"[49.0, 47.5]",,Ground Pass,,15.754364,,,,Granit Xhaka,3500.0,,,,,,1,From Kick Off,Lars Edi Stindl,8806.0,Right Defensive Midfield,2,Borussia Mönchengladbach,185,['4195665b-3180-4b92-9281-c3f8edbf3f6b'],1,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:01.269,Pass,
,,,,,,,,,,,,,,,,,5.934932,,,,,,,,,,,,,f0a1420b-a4ea-4ca1-9387-8cc788ec660d,11,,"[49.8, 47.5]",3890276,0,,,,0.29328543,,Left Foot,,,"[120.0, 68.7]",,High Pass,,73.33131,,Out,,Thorgan Hazard,5632.0,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Borussia Mönchengladbach,185,['632dc8b0-e5b3-4328-82d3-a5634e09e7b5'],3,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.697,Pass,
,,,,,,,,,,,,,,,,,3.155217,,,,,,,,,,,,,0b63b9a6-1c82-4774-9ac8-39bddb791d23,13,,"[6.0, 36.0]",3890276,0,,,,0.5307735,,Right Foot,,,"[61.2, 68.4]",,High Pass,,64.00625,,Unknown,,Daniel Brosinski,8548.0,,,,,Goal Kick,1,From Goal Kick,Loris Karius,3630.0,Goalkeeper,3,FSV Mainz 05,177,['b6367349-d5fc-48fc-bb8c-29c96978740a'],30,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:30.452,Pass,
