50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e527123f-09fe-4826-bb94-12b884ce19e1,1,,,,3890562,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 24324, 'name': 'Gustavo Adrián Ramos Vásquez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be50e817-5729-4043-9d09-72e5e81b9186,2,,,,3890562,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 25002, 'name': 'Thomas Kessler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8900, 'name': 'Mërgim Mavraj'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 9459, 'name': 'Paweł Olkowski'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 7993, 'name': 'Filip Mladenović'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 25}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8825, 'name': 'Miloš Jojić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,54f8e0b2-5cc4-4eb7-9782-0625034bdedf,3,,,,3890562,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['fc17f1ac-58d5-4462-93c6-79a5c886c389'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fc17f1ac-58d5-4462-93c6-79a5c886c389,4,,,,3890562,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['54f8e0b2-5cc4-4eb7-9782-0625034bdedf'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,60acaeb1-8d52-4556-9444-5510b377218a,2191,,,,3890562,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,FC Köln,186,['59583f0b-7326-4ed3-afac-714596fce93f'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,59583f0b-7326-4ed3-afac-714596fce93f,2192,,,,3890562,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,FC Köln,186,['60acaeb1-8d52-4556-9444-5510b377218a'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.066691,,,,,,,,,,,,,e7808d3f-556b-4485-bd22-0a1bb5b2ff61,5,,,"[60.0, 40.0]",3890562,0,,True,,,3.1319776,,Right Foot,,,"[49.6, 40.1]",,Ground Pass,10.400481,,,,Julian Weigl,8816.0,,,,,Kick Off,1,From Kick Off,Gustavo Adrián Ramos Vásquez,24324.0,Center Forward,2,Borussia Dortmund,180,['8805beed-5519-4cf9-8c50-85be1d7a6830'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.808,Pass,
,,,,,,,,,,,,,,,,,1.28231,,,,,,,,,,,,,df87728c-7d94-4a38-baca-fc30e7a17270,7,,,"[49.1, 40.1]",3890562,0,,,,,2.0948238,,Right Foot,,,"[40.2, 55.5]",,Ground Pass,17.786793,,,,Sven Bender,8216.0,,,,,,1,From Kick Off,Julian Weigl,8816.0,Right Defensive Midfield,2,Borussia Dortmund,180,['3e14fb02-321c-4a07-abd9-b4d03c3de6ea'],2,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:02.450,Pass,
,,,,,,,,,,,,,,,,,1.412526,,,,,,,,,,,,,79163b77-9721-4238-92ea-55c15d3ead89,10,,,"[40.0, 55.5]",3890562,0,,,,,-2.0089865,,Right Foot,,,"[31.8, 38.0]",,Ground Pass,19.32589,,,,Sokratis Papastathopoulos,8244.0,,,,,,1,From Kick Off,Sven Bender,8216.0,Right Back,2,Borussia Dortmund,180,['204bd736-9532-42d7-8650-389a78b9de1e'],5,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:05.672,Pass,
,,,,,,,,,,,,,,,,,1.351637,,,,,,,,,,,,,3513a31b-fca7-45de-aa74-740b4a376e1b,13,,,"[31.8, 38.0]",3890562,0,,,,,-1.1750056,,Right Foot,,,"[40.7, 16.7]",,Ground Pass,23.084627,,,,Mats Hummels,5572.0,,,,,,1,From Kick Off,Sokratis Papastathopoulos,8244.0,Right Center Back,2,Borussia Dortmund,180,['cee9ddba-597a-43fa-81bb-52f731fb6adc'],8,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:08.400,Pass,
