50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8f044a71-718e-48f6-a8bd-4ea6b388b86b,1,,,,3890325,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3164, 'name': 'Marcelo Antônio Guedes Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 400613, 'name': 'Leon Andreasen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 26}, {'player': {'id': 11845, 'name': 'Artur Sobiech'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6cb546fd-a8d1-4b72-a46b-40a1c3c3d50f,2,,,,3890325,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 22043, 'name': 'Ulisses Alexandre Garcia Lopes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,36f03a60-909f-4fbb-bfb6-cf58a740e722,3,,,,3890325,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['10fa9145-861f-4488-980c-d84d5a29b51e'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,10fa9145-861f-4488-980c-d84d5a29b51e,4,,,,3890325,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hannover 96,178,['36f03a60-909f-4fbb-bfb6-cf58a740e722'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,04eefe80-13ee-4da0-bcda-dbb38dbff33a,1447,,,,3890325,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Hannover 96,178,['7183495e-73fc-4990-a680-cc8508999076'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7183495e-73fc-4990-a680-cc8508999076,1448,,,,3890325,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,89,Hannover 96,178,['04eefe80-13ee-4da0-bcda-dbb38dbff33a'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.248644,,,,,,,,,,,,330a9636-446a-43de-bebb-46ddb20d9033,5,,,"[61.0, 40.1]",3890325,0,,,,-2.0119758,,Right Foot,,,"[59.3, 36.5]",,Ground Pass,,3.981206,,,,Hiroshi Kiyotake,38524.0,,,,,Kick Off,1,From Kick Off,Artur Sobiech,11845.0,Center Forward,2,Hannover 96,178,['780429b0-8d8c-481f-b660-02fc0f776bd5'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.225,Pass,
,,,,,,,,,,,,,,,,1.489914,,,,,,,,,,,,024ba753-9801-4494-a51e-e54212f1ede8,7,,,"[61.0, 37.8]",3890325,0,,,,2.7489042,,Left Foot,,,"[44.1, 44.8]",,Ground Pass,,18.292349,,,,Salif Sané,5664.0,,,,,,1,From Kick Off,Hiroshi Kiyotake,38524.0,Center Attacking Midfield,2,Hannover 96,178,['21541c50-9aa4-4668-ba18-85ebe861332f'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.474,Pass,
,,,,,,,,,,,,,,,,2.034895,,,,,,,,,,,,8ea8c8cf-33c8-43e1-833c-2be9efe1a2c5,10,,,"[44.2, 49.2]",3890325,0,,,,1.4731487,,Right Foot,,,"[46.6, 73.7]",,Ground Pass,,24.61727,,,,Oliver Sorg,12316.0,,,,,,1,From Kick Off,Salif Sané,5664.0,Left Defensive Midfield,2,Hannover 96,178,['d3d1c50e-a5ac-47a0-9e4a-21efc1fe9537'],2,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:02.765,Pass,
,,,,,,,,,,,,,,,,2.306883,,,,,,,,,,,,02703f80-6bab-46ec-8e3b-b9f30ba21cb1,13,,,"[55.0, 75.6]",3890325,0,,,,0.032775145,,Right Foot,,,"[91.6, 76.8]",,High Pass,,36.619667,,Unknown,,Leon Andreasen,400613.0,,,,,,1,From Kick Off,Oliver Sorg,12316.0,Right Back,2,Hannover 96,178,['2937f641-54e7-4b62-b25b-f15fa0d818f6'],7,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:07.947,Pass,
