50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e5e097f0-c97d-4efd-95e8-6775c91187ae,1,,,,3890507,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 13206, 'name': 'Erik Durm'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 37}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce91c393-6ab8-4395-9312-34d7caff7584,2,,,,3890507,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 40479, 'name': 'Janek Sternberg'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 37}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 23660, 'name': 'Sambou Yatabaré'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,882896b1-bc0c-47f8-94e6-170b0b26ea44,3,,,,3890507,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['32b482e4-35e4-4a39-83c8-b73f6bab9ada'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,32b482e4-35e4-4a39-83c8-b73f6bab9ada,4,,,,3890507,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['882896b1-bc0c-47f8-94e6-170b0b26ea44'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7d380c4-bfcb-49d4-ada1-6a1599b281c1,1855,,,,3890507,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Werder Bremen,176,['82349e03-afb1-492e-a0de-aa743ad7f260'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,82349e03-afb1-492e-a0de-aa743ad7f260,1856,,,,3890507,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Werder Bremen,176,['c7d380c4-bfcb-49d4-ada1-6a1599b281c1'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.547269,,,,,,,,,,,,,20d410cd-12dd-4694-bea6-01aac7a676cd,5,,,"[60.0, 40.0]",3890507,0,,,,,1.9138203,,Right Foot,,,"[59.5, 41.4]",,Ground Pass,,1.4866068,,,,Pierre-Emerick Aubameyang,3712.0,,,,,Kick Off,1,From Kick Off,Marco Reus,5559.0,Left Wing,2,Borussia Dortmund,180,['a23d63da-4a1b-4a7d-a0f8-8c51a140777b'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.142,Pass,
,,,,,,,,,,,,,,,,1.148149,,,,,,,,,,,,,65aa9ce7-8cfb-4f99-9200-7f4cdedfdea2,8,,,"[60.1, 41.9]",3890507,0,,,,,-2.9193373,,Right Foot,,,"[42.4, 37.9]",,Ground Pass,,18.146349,,,,Gonzalo Castro Randon,8233.0,,,,,,1,From Kick Off,Pierre-Emerick Aubameyang,3712.0,Center Forward,2,Borussia Dortmund,180,['d1844bac-f31e-4831-819d-3bd9f0f4fa83'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.769,Pass,
,,,,,,,,,,,,,,,,2.250272,,,,,,,,,,,,,a385d912-34ce-43e9-97cf-5a6ed980ab87,11,,,"[46.2, 39.3]",3890507,0,,,,,1.3866326,,Right Foot,,,"[51.9, 69.9]",,Ground Pass,,31.126356,,,,Łukasz Piszczek,5658.0,,,,,,1,From Kick Off,Gonzalo Castro Randon,8233.0,Left Defensive Midfield,2,Borussia Dortmund,180,['50329497-df56-4bad-a700-8ab64d24be2a'],2,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:02.037,Pass,
,,,,,,,,,,,,,,,,2.062003,,,,,,,,,,,,,ac267aea-8a4c-4ce4-a84c-e4a9efe69d25,15,,,"[51.9, 68.9]",3890507,0,,,,,-2.3273563,,Right Foot,,,"[41.8, 58.2]",,Ground Pass,,14.713939,,,,Matthias Ginter,8808.0,,,,,,1,From Kick Off,Łukasz Piszczek,5658.0,Right Back,2,Borussia Dortmund,180,"['a6e0d5a2-0631-4270-b297-7f1862b4cfa7', 'f4de4bbe-7b44-4dfe-acf5-9cec937f4244']",5,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:05.493,Pass,True
