ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f381ca87-3586-4249-bff8-d1bc729092c2,1,,,3890463,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8549, 'name': 'Giulio Donati'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 18399, 'name': 'Gaëtan Bussmann'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8561, 'name': 'Fabian Frei'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 32}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,09b68b7f-2186-41b8-83d4-8dea58449ebe,2,,,3890463,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8918, 'name': 'Roberto Hilbert'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9363, 'name': 'André Ramalho Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8219, 'name': 'Admir Mehmedi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 38}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2671fdbd-2b25-4120-ad1f-21b24e7172f4,3,,,3890463,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,['24abd020-6d28-4d92-a577-73fb14cb7c88'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24abd020-6d28-4d92-a577-73fb14cb7c88,4,,,3890463,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,['2671fdbd-2b25-4120-ad1f-21b24e7172f4'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e982b5e4-0a11-4a13-9d04-0ae8ac5861f2,1859,,,3890463,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,FSV Mainz 05,177,['e9e25d5d-1dd0-4d68-ad25-34e226bf693f'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e9e25d5d-1dd0-4d68-ad25-34e226bf693f,1860,,,3890463,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,114,FSV Mainz 05,177,['e982b5e4-0a11-4a13-9d04-0ae8ac5861f2'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.591089,,,,,,,,,,,,,,70e3319b-3a82-4cad-8801-5883506080aa,5,,"[61.0, 40.1]",3890463,0,,,,,0.71090937,,Right Foot,,,"[64.6, 43.2]",,Ground Pass,,4.7507896,,,Yunus Mallı,8679.0,,,,,Kick Off,1,From Kick Off,Jhon Andrés Córdoba Copete,8817.0,Center Forward,2,FSV Mainz 05,177,['58449e5f-da1c-45a4-803e-e02c169723c2'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.817,Pass,
,,,,,,,,,,,,,,,,1.454799,,,,,,,,,,,,,,f38cc000-9500-436a-8830-ac01bed05153,9,,"[65.7, 43.2]",3890463,0,,,,,0.85094124,,Right Foot,,,"[77.8, 57.0]",,Ground Pass,,18.353474,,,Pablo Ezequiel De Blasis,8555.0,,,,,,1,From Kick Off,Yunus Mallı,8679.0,Center Attacking Midfield,2,FSV Mainz 05,177,['a8c87e85-7570-4512-9102-b81ae4e4c7b4'],1,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:01.864,Pass,
,,,,,,,,,,,,,,,,0.640077,,,,,,,,,,,,,,3f56c661-d04e-48e0-8869-15da0385e56c,15,,"[91.4, 53.4]",3890463,0,,,,,-2.5602124,,Left Foot,,,"[80.9, 46.5]",,Ground Pass,,12.564235,Incomplete,,,,,,,,,1,From Kick Off,Pablo Ezequiel De Blasis,8555.0,Right Midfield,2,FSV Mainz 05,177,['106ea57d-39d6-47cb-bf15-f792705c5148'],6,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:06.893,Pass,
,,,,,,,,,,,,,,,,0.06677,,,,,,,,,,,,,,73446558-c052-4b6d-a3fb-6bafb9744564,20,,"[42.3, 43.0]",3890463,0,,,,,1.6991196,,Right Foot,,,"[41.9, 46.1]",,Ground Pass,,3.1257,Incomplete,,Admir Mehmedi,8219.0,,,,,,1,From Kick Off,Javier Hernández Balcázar,3058.0,Center Forward,2,FSV Mainz 05,177,"['3c8edf1d-a2aa-4f7d-9011-9cbe11c30bb0', '564ed913-586e-418b-966a-c92a1c3440c5', 'ca458f60-faad-4838-8cdd-cd46749b50ca']",9,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:09.559,Pass,True
