50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6ecd2cad-50b7-4512-a555-3f184c32b4f2,1,,,3890298,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 20200, 'name': 'Nicklas Bendtner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 3}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,560dd944-439c-423a-bbe0-d6fe081f52a2,2,,,3890298,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 17313, 'name': 'Thomas Kraft'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8576, 'name': 'Mitchell Weiser'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 8580, 'name': 'Sebastian Langkamp'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 8965, 'name': 'Fabian Lustenberger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 8578, 'name': 'Per Ciljan Skjelbred'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 30439, 'name': 'Tolga Ciğerci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 9721, 'name': 'Valentin Stocker'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 8571, 'name': 'Vedad Ibišević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Hertha Berlin,173,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8d4f34ce-102b-4e24-9cc2-88f2a4ad4bf5,3,,,3890298,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['954fc2aa-acef-470c-9908-bea5cfc25b1f'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,954fc2aa-acef-470c-9908-bea5cfc25b1f,4,,,3890298,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['8d4f34ce-102b-4e24-9cc2-88f2a4ad4bf5'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,72669182-6535-44f5-bf8b-5b476e265bb5,1866,,,3890298,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Hertha Berlin,173,['aae1193c-2a67-49e3-88a8-a9eb987bb65f'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aae1193c-2a67-49e3-88a8-a9eb987bb65f,1867,,,3890298,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Hertha Berlin,173,['72669182-6535-44f5-bf8b-5b476e265bb5'],0,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.695797,,,,,,,,,,,,,,fdc7a5c0-020f-46cb-b51d-7f1e219d26a5,5,,"[61.0, 40.1]",3890298,0,,,,,1.9818609,,Left Foot,,"[59.3, 44.0]",,Ground Pass,,4.2544093,,,,,Nicklas Bendtner,20200.0,,,,,Kick Off,1,From Kick Off,Josuha Guilavogui,8230.0,Center Defensive Midfield,2,Wolfsburg,179,['b7a9cf29-4bee-4bb5-bb37-3319a586e58f'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.348,Pass,
,,,,,,,,,,,,,,,,,,2.135921,,,,,,,,,,,,,,0c405d99-a497-4b7c-9ba5-c4fde7cff077,8,,"[58.7, 38.2]",3890298,0,,,,,-2.4204538,,Right Foot,,"[28.1, 11.3]",,Ground Pass,,40.74273,,,,,Marcel Schäfer,40469.0,,,,,,1,From Kick Off,Nicklas Bendtner,20200.0,Center Forward,2,Wolfsburg,179,['a1722ae3-0dc2-4418-820e-2cd38e3ef072'],1,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:01.084,Pass,
,,,,,,,,,,,,,,,,,,1.84683,,,,,,,,,,,,,,c2a1d2fe-9993-4595-9030-03bd54e281e2,11,,"[28.1, 11.3]",3890298,0,,,,,1.5587487,,Left Foot,,"[28.7, 61.1]",,Ground Pass,,49.803616,,,,,Ronaldo Aparecido Rodrigues,8516.0,,True,,,,1,From Kick Off,Marcel Schäfer,40469.0,Left Back,2,Wolfsburg,179,['eaa6882a-0c9e-4601-a178-5aac63a79f8a'],4,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:04.673,Pass,
,,,,,,,,,,,,,,,,,,5.100062,,,,,,,,,,,,,,a281291f-1f8c-439b-a0c7-1fae90b5faea,14,,"[52.9, 70.3]",3890298,0,,,,,0.0391956,,Right Foot,,"[114.1, 72.7]",,High Pass,,61.24704,,,Incomplete,,Nicklas Bendtner,20200.0,,,,,,1,From Kick Off,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,2,Wolfsburg,179,"['86d8fb65-ff39-4408-a276-b35177acf068', 'd9ffbd06-e57e-4c6f-a2f1-653b7542585e']",12,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:12.289,Pass,
