50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f3f8cac-1c9e-4ef7-b4ac-b359204e41f6,1,,,,3890492,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6309, 'name': 'Tin Jedvaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8573, 'name': 'Ömer Toprak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8313, 'name': 'Kyriakos Papadopoulos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 21168, 'name': 'Marlon Frey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 37}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 38}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5555, 'name': 'Julian Brandt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,183c4ad6-b592-40b4-b2d1-fe91017e1033,2,,,,3890492,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40468, 'name': 'Cleber Janderson Pereira Reis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 40473, 'name': 'Artoms Rudņevs'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e52dfa6f-762d-46c7-99cd-3d88080baa40,3,,,,3890492,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['dc1385d1-1412-4f07-b2e4-4513ba14565d'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc1385d1-1412-4f07-b2e4-4513ba14565d,4,,,,3890492,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['e52dfa6f-762d-46c7-99cd-3d88080baa40'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3b412260-5ed3-4b21-88f0-3f506f4ac1e9,1432,,,,3890492,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Hamburger SV,171,['5506fdc1-ba8f-401f-a2f6-1c6959df0ae6'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5506fdc1-ba8f-401f-a2f6-1c6959df0ae6,1433,,,,3890492,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Hamburger SV,171,['3b412260-5ed3-4b21-88f0-3f506f4ac1e9'],0,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.770426,,,,,,,,,,,,,b6653c52-0431-4f50-9606-c3040d9e7c79,5,,,"[61.0, 40.1]",3890492,0,,,,,1.4685897,,Right Foot,,,,"[61.4, 44.0]",Ground Pass,,3.9204593,,,Hakan Çalhanoğlu,7039.0,,,,,,Kick Off,1,From Kick Off,Javier Hernández Balcázar,3058.0,Center Forward,2,Bayer Leverkusen,904,['6918656f-bb6b-484f-b54e-b4fd91c13491'],1,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:01.242,Pass,
,,,,,,,,,,,,,,,,0.924409,,,,,,,,,,,,,e04e8fc2-c410-4bc7-b060-3ec0a0382a1e,9,,,"[63.3, 44.0]",3890492,0,,,,,2.6512847,,Right Foot,,,,"[48.5, 51.9]",Ground Pass,,16.776472,,,Kyriakos Papadopoulos,8313.0,,,,,,,1,From Kick Off,Hakan Çalhanoğlu,7039.0,Center Attacking Midfield,2,Bayer Leverkusen,904,['7be45808-5a10-4afc-b9fc-ec75ac147218'],2,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:02.769,Pass,
,,,,,,,,,,,,,,,,2.228151,,,,,,,,,,,,,827093a4-9f8c-4c9b-ba01-2e2197bf5a09,16,,,"[49.8, 49.6]",3890492,0,,,,,-1.7102787,,Right Foot,,,,"[44.1, 9.0]",Ground Pass,,40.99817,,,Wendell Nascimento Borges,8212.0,,,True,,,,1,From Kick Off,Kyriakos Papadopoulos,8313.0,Right Defensive Midfield,2,Bayer Leverkusen,904,['99061ca3-8999-43ee-8d42-dafe6299c407'],6,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:06.090,Pass,
,,,,,,,,,,,,,,,,1.158945,,,,,,,,,,,,,f45f4ee2-f77f-4334-aa18-13d849be7720,19,,,"[44.1, 9.0]",3890492,0,,,,,-0.1448125,,Left Foot,,,,"[63.3, 6.2]",Ground Pass,,19.403093,,,Julian Brandt,5555.0,,,,,,,1,From Kick Off,Wendell Nascimento Borges,8212.0,Left Back,2,Bayer Leverkusen,904,['9bd1545c-3bed-4526-ae64-bcc1b3d203dc'],9,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:09.673,Pass,
