ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,41bd60ac-9b2c-4cb8-85aa-23ae71825c1e,1,,,3890561,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 37972, 'name': 'Jens Grahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 26832, 'name': 'Tarik Elyounoussi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 8556, 'name': 'Pirmin Schwegler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8387, 'name': 'Mark Uth'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 31}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,fbca533d-f3f4-4a86-b4a3-4fcae63592cf,2,,,3890561,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7016, 'name': 'Benedikt Höwedes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5242, 'name': 'Younès Belhanda'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b15ba6b1-61ac-4d9c-b2a3-096ce31bcf01,3,,,3890561,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['442128f8-2e38-491c-bf1e-b336e91757fa'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,442128f8-2e38-491c-bf1e-b336e91757fa,4,,,3890561,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['b15ba6b1-61ac-4d9c-b2a3-096ce31bcf01'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,efdf9cd7-6d9a-47d9-9c82-2bddb91a4d42,1865,,,3890561,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Schalke 04,181,['89f25cd4-4d63-4999-94b4-a371706ae81b'],0,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,89f25cd4-4d63-4999-94b4-a371706ae81b,1866,,,3890561,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Schalke 04,181,['efdf9cd7-6d9a-47d9-9c82-2bddb91a4d42'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.453238,,,,,,,,,,,644e16d7-10ca-45f0-8128-fc0055d6f753,5,,"[61.0, 40.1]",3890561,0,,,,-1.9195673,,Left Foot,,,,"[60.2, 37.9]",,Ground Pass,,2.34094,,,Andrej Kramarić,5460.0,,,,,Kick Off,1,From Kick Off,Mark Uth,8387.0,Right Attacking Midfield,2,Hoffenheim,175,['7602c8d9-d988-4eae-bb9f-309fbad4c7c5'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.482,Pass,
,,,,,,,,,,,,,,,1.151865,,,,,,,,,,,77e2ddaf-6de3-49e7-a318-7d765799b543,8,,"[59.4, 38.3]",3890561,0,,,,2.536994,,Left Foot,,,,"[53.9, 42.1]",,Ground Pass,,6.685058,,,Sebastian Rudy,6039.0,,,,,,1,From Kick Off,Andrej Kramarić,5460.0,Center Forward,2,Hoffenheim,175,['69e3b0a7-5847-40db-91d5-0e24fb150f63'],1,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:01.015,Pass,
,,,,,,,,,,,,,,,1.389406,,,,,,,,,,,2c51f271-c812-45af-896b-06f49a14a5bb,11,,"[52.3, 45.2]",3890561,0,,,,2.3906636,,Right Foot,,,,"[34.3, 62.0]",,Ground Pass,,24.62194,,,Fabian Lukas Schär,5537.0,,,,,,1,From Kick Off,Sebastian Rudy,6039.0,Left Defensive Midfield,2,Hoffenheim,175,['c30d7035-bb00-4012-9b06-2f3135cdf4d6'],2,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:02.954,Pass,
,,,,,,,,,,,,,,,2.557696,,,,,,,,,,,8b29246d-1d69-4f01-abe1-91c22e308620,14,,"[34.3, 61.9]",3890561,0,,,,-1.4872218,,Right Foot,,,,"[37.5, 23.7]",,Ground Pass,,38.333797,,,Tobias Strobl,12321.0,,,,,,1,From Kick Off,Fabian Lukas Schär,5537.0,Right Center Back,2,Hoffenheim,175,['9b73ba37-f40c-4add-9f68-ab14ad16070e'],5,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:05.894,Pass,
,,,,,,,,,,,,,,,1.417774,,,,,,,,,,,ed35929b-31b4-42bf-8b54-2db442ce478f,17,,"[38.5, 22.2]",3890561,0,,,,1.7053174,,Right Foot,,,,"[36.7, 35.5]",,Ground Pass,,13.421252,,,Ermin Bičakčić,9396.0,,,,,,1,From Kick Off,Tobias Strobl,12321.0,Left Center Back,2,Hoffenheim,175,['0ab25e43-7b9d-4020-82fe-e45009954fae'],10,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:10.652,Pass,
,,,,,,,,,,,,,,,1.778888,,,,,,,,,,,50c65a61-8f10-4c41-a9a4-c20c785802c2,20,,"[39.6, 32.7]",3890561,0,,,,-1.1973677,,Right Foot,,,,"[46.3, 15.6]",,Ground Pass,,18.365728,,,Tobias Strobl,12321.0,,,,,,1,From Kick Off,Ermin Bičakčić,9396.0,Center Back,2,Hoffenheim,175,['4c2177fb-6bcd-4a6a-955b-6f36dc88d04a'],14,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:14.391,Pass,
,,,,,,,,,,,,,,,1.50372,,,,,,,,,,,6446461e-3cf8-4ace-9b0f-fdddef874b30,23,,"[47.0, 12.9]",3890561,0,,,,-0.4537224,,Right Foot,,,,"[63.2, 5.0]",,Ground Pass,,18.023596,,,Tarik Elyounoussi,26832.0,,,,,,1,From Kick Off,Tobias Strobl,12321.0,Left Center Back,2,Hoffenheim,175,['5d92ff4e-0e89-4979-806a-20050ed21c52'],17,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:17.182,Pass,
,,,,,,,,,,,,,,,0.703502,,,,,,,,,,,93d4f8e8-4321-4f03-98d2-01cebd551735,27,,"[63.5, 3.6]",3890561,0,,,,0.35072795,,Right Foot,,,,"[71.7, 6.6]",,Ground Pass,,8.731552,,,Andrej Kramarić,5460.0,,,,,,1,From Kick Off,Tarik Elyounoussi,26832.0,Left Wing Back,2,Hoffenheim,175,"['3fc75c7c-c2b3-4fd0-8418-9df6a815f3e9', 'e99486e6-6464-48f0-9c69-0c8c9eb70baf']",19,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:19.068,Pass,True
,,,,,,,,,,,,,,,0.999683,,,,,,,,,,,53fe1fbb-42d9-4870-a64d-e26ef7b243ca,31,,"[73.3, 3.2]",3890561,0,,,,-0.29849893,,Left Foot,,,,"[82.4, 0.4]",,Ground Pass,,9.521029,Out,,Kevin Volland,8215.0,,,,,,1,From Kick Off,Andrej Kramarić,5460.0,Center Forward,2,Hoffenheim,175,"['38d63c95-60a3-4385-acc3-3be3e23787ea', '98d02d13-b1a3-4995-93e1-bce0ba1a42e5']",20,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:20.846,Pass,True
,,,,,,,,,,,,,,,2.538089,,,,,,,,,,,edf9049e-3f5e-4e79-b60e-3613cc533626,33,,"[40.4, 80.0]",3890561,0,,,,-2.5934012,,,,,,"[17.8, 66.2]",,Low Pass,,26.48018,,,Joël Andre Job Matip,3502.0,,,,,Throw-in,1,From Throw In,Benedikt Höwedes,7016.0,Right Back,3,Schalke 04,181,['3c7560da-73eb-4b20-a4cc-ca193f988d7a'],28,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:28.242,Pass,
,,,,,,,,,,,,,,,1.709364,,,,,,,,,,,710b94b7-fa6d-4059-a47e-803865e464c0,36,,"[20.9, 59.4]",3890561,0,,,,-1.5417347,,Right Foot,,,,"[21.9, 25.0]",,Ground Pass,,34.41453,,,Roman Neustädter,16534.0,,,,,,1,From Throw In,Joël Andre Job Matip,3502.0,Right Center Back,3,Schalke 04,181,['2fa7ecdf-543f-4618-84f2-8e8d57bc4313'],33,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:33.779,Pass,
