50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bf5b855b-e7bc-431e-aada-33b453e6cb21,1,,,3890487,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 35}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,211761cd-6d5e-4aa4-9c0d-3dbbb59b5296,2,,,3890487,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d6e81810-5fb0-4840-9a76-6ed1daec8a4c,3,,,3890487,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['92f2ac95-eb1d-449a-8a87-e70313a20aaa'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,92f2ac95-eb1d-449a-8a87-e70313a20aaa,4,,,3890487,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['d6e81810-5fb0-4840-9a76-6ed1daec8a4c'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b1142b56-6bdb-4778-865b-905195a8b620,1497,,,3890487,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,93,Augsburg,172,['640eb6dc-ca64-4160-8000-e5436afac29a'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,640eb6dc-ca64-4160-8000-e5436afac29a,1498,,,3890487,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,93,Augsburg,172,['b1142b56-6bdb-4778-865b-905195a8b620'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.329858,,,,,,,,,,,,,,,78764c9d-9ecf-489d-b046-3c4c6f244d43,5,,"[61.0, 40.1]",3890487,0,,,,,-1.929567,,Right Foot,,,"[60.4, 38.5]",,Ground Pass,,1.7088008,,,Alfreð Finnbogason,5514.0,,,,Kick Off,1,From Kick Off,Ja-Cheol Koo,5627.0,Center Attacking Midfield,2,Augsburg,172,['04238dda-4100-4777-b5d1-1d027f32dc7c'],1,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:01.113,Pass,
,,,,,,,,,,,,,,,,,,,,1.345326,,,,,,,,,,,,,,,5ba5aaca-ca34-4277-9da1-fc0990bbf3b2,8,,"[58.4, 38.0]",3890487,0,,,,,2.965908,,Left Foot,,,"[41.5, 41.0]",,Ground Pass,,17.164207,,,Daniel Baier,8317.0,,,,,1,From Kick Off,Alfreð Finnbogason,5514.0,Center Forward,2,Augsburg,172,['cc516420-0867-4689-bc83-5f5ce1f5f32a'],1,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:01.780,Pass,
,,,,,,,,,,,,,,,,,,,,1.600646,,,,,,,,,,,,,,,7da7fab0-e7e1-4116-9e53-c4b0d2918ad2,11,,"[41.3, 42.5]",3890487,0,,,,,-1.9414119,,Right Foot,,,"[34.5, 25.0]",,Ground Pass,,18.774717,,,Ragnar Klavan,4174.0,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,['a936189f-d4fc-4188-91e5-81c2abbe853b'],3,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:03.308,Pass,
,,,,,,,,,,,,,,,,,,,,1.360061,,,,,,,,,,,,,,,77cd8071-92bf-42da-af04-03fc3578b244,14,,"[34.5, 25.0]",3890487,0,,,,,1.5454853,,Left Foot,,,"[35.3, 56.6]",,Ground Pass,,31.610125,,,Jeong-Ho Hong,40543.0,,,,,1,From Kick Off,Ragnar Klavan,4174.0,Left Center Back,2,Augsburg,172,['8aa9582e-7831-4023-a8f4-1fd0ebbf5314'],6,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:06.205,Pass,
