50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,60cc72a5-7beb-46c3-b56a-c102b43721e3,1,,,3890523,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 23660, 'name': 'Sambou Yatabaré'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 5}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,753728db-3109-4f08-a500-7870dcb572ff,2,,,3890523,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 8239, 'name': 'Robin Knoche'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 31}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 25152, 'name': 'Bruno Henrique Pinto'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 10594, 'name': 'Bas Dost'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,410ba194-2199-4a42-8cac-bea8a7b41aef,3,,,3890523,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['d8c87fc4-5b7e-474d-a86f-5b9ac1fe3265'],0,,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d8c87fc4-5b7e-474d-a86f-5b9ac1fe3265,4,,,3890523,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['410ba194-2199-4a42-8cac-bea8a7b41aef'],0,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,261b53dd-2658-484f-8433-5a3962d02ede,1827,,,3890523,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Werder Bremen,176,['9225c509-543a-44e6-899c-04a5a7e184b5'],0,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9225c509-543a-44e6-899c-04a5a7e184b5,1828,,,3890523,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Werder Bremen,176,['261b53dd-2658-484f-8433-5a3962d02ede'],0,,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,17bf02b5-4eb3-4dc1-9934-4360c80fca47,5,,"[61.0, 40.1]",3890523,0,,True,,,1.9678757,,Right Foot,,,"[59.7, 43.2]",,Ground Pass,,3.3615472,,,Zlatko Junuzović,8762.0,,,,,Kick Off,1,From Kick Off,Claudio Miguel Pizarro Bossio,11132.0,Center Forward,2,Werder Bremen,176,['bf0580ae-bde7-4b27-a956-aec9ff8d6e5c'],1,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.339,Pass,
,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,df0932e1-529f-4e7b-96dc-682ecda2e089,7,,"[59.9, 42.9]",3890523,0,,,,,-2.472336,,Right Foot,,,"[46.5, 32.3]",,Ground Pass,,17.085667,,,Florian Grillitsch,11396.0,,,,,,1,From Kick Off,Zlatko Junuzović,8762.0,Center Attacking Midfield,2,Werder Bremen,176,['dfff30f4-f1f9-45af-99d8-00b7154c4abb'],1,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.899,Pass,
,,,,,,,,,,,,,,,,,1.630186,,,,,,,,,,,,,,,c63d5a92-fbc9-4ffe-810f-b84c038f6c70,10,,"[48.2, 32.5]",3890523,0,,,,,1.8508216,,Left Foot,,,"[39.4, 63.1]",,Ground Pass,,31.840225,,,Alejandro Gálvez Jimena,6924.0,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Left Defensive Midfield,2,Werder Bremen,176,['64b12780-cf09-470b-830e-cbeb8ce3163e'],4,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:04.219,Pass,
,,,,,,,,,,,,,,,,,2.944444,,,,,,,,,,,,,,,24a25773-555e-4aa2-ad83-5dff0ac3aaa5,14,,"[45.8, 64.8]",3890523,0,,,,,-1.2908465,,Right Foot,,,"[64.2, 0.8]",,High Pass,,66.59249,Out,,,,,True,,,,1,From Kick Off,Alejandro Gálvez Jimena,6924.0,Right Center Back,2,Werder Bremen,176,,7,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:07.472,Pass,
