50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1c5e2df2-9111-4f14-b410-4d851c28f06f,1,,,3890478,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 3774, 'name': 'Papiss Mison Djilobodji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,47d56356-9cae-4fae-8f23-ead587700a4a,2,,,3890478,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 23341, 'name': 'Alexander Milosevic'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 400614, 'name': 'Christian Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 12316, 'name': 'Oliver Sorg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 30287, 'name': 'Ceyhun Gülselam'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8541, 'name': 'Kenan Karaman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 5694, 'name': 'Hotaru Yamaguchi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 13125, 'name': 'Iver Tobias Rørvik Fossum'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2f3f44d9-7ccd-466d-908f-0d9f51f69f44,3,,,3890478,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['5ed6e79f-5299-4a8d-aec0-32f0ee39295d'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5ed6e79f-5299-4a8d-aec0-32f0ee39295d,4,,,3890478,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['2f3f44d9-7ccd-466d-908f-0d9f51f69f44'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5da3f9f5-f07e-4cd4-ad5c-437d84405351,1736,,,3890478,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Hannover 96,178,['78a471b0-2c99-426c-bbb0-4185e86fcfcb'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,78a471b0-2c99-426c-bbb0-4185e86fcfcb,1737,,,3890478,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Hannover 96,178,['5da3f9f5-f07e-4cd4-ad5c-437d84405351'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.845794,,,,,,,,,,,06df3e84-7bcb-4a3d-a9c2-6f406f4e5cf4,5,,"[60.0, 40.0]",3890478,0,,,,,-0.5667292,,Right Foot,,,,"[61.1, 39.3]",,Ground Pass,,1.3038405,,,,Hotaru Yamaguchi,5694.0,,,,,Kick Off,1,From Kick Off,Hiroshi Kiyotake,38524.0,Center Forward,2,Hannover 96,178,['20ff98bd-391e-4d71-995e-c4f5a24a7f4c'],0,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.339,Pass,
,,,,,,,,,,,,,,,,,1.268985,,,,,,,,,,,a8ff90e3-90e6-4371-8247-cffa7b8bbb92,8,,"[60.1, 38.6]",3890478,0,,,,,-2.5985277,,Right Foot,,,,"[49.0, 31.9]",,Ground Pass,,12.965339,,,,Ceyhun Gülselam,30287.0,,,,,,1,From Kick Off,Hotaru Yamaguchi,5694.0,Center Attacking Midfield,2,Hannover 96,178,['57df4c3a-4ddd-44df-880c-14e20291277c'],1,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:01.243,Pass,
,,,,,,,,,,,,,,,,,0.874809,,,,,,,,,,,ed07e625-4ee7-46be-8e6c-595aa8b3bd92,12,,"[47.0, 36.6]",3890478,0,,,,,2.4644651,,Right Foot,,,,"[36.8, 44.8]",,Ground Pass,,13.087399,,,,Alexander Milosevic,23341.0,,,,,,1,From Kick Off,Ceyhun Gülselam,30287.0,Left Defensive Midfield,2,Hannover 96,178,"['7ea01cd3-93e4-4198-9329-73ff52806214', 'c9ab7737-95b3-40b1-ba70-2c5ac8d3cddb']",4,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:04.378,Pass,True
,,,,,,,,,,,,,,,,,1.347459,,,,,,,,,,,bc813236-e6db-4fcd-a079-c27f50f5affb,14,,"[34.8, 44.4]",3890478,0,,,,,-1.7392867,,Right Foot,,,,"[31.5, 25.0]",,Ground Pass,,19.678669,,,,Christian Schulz,400614.0,,,,,,1,From Kick Off,Alexander Milosevic,23341.0,Right Center Back,2,Hannover 96,178,['59471f99-6c71-402d-bad5-60ea4cd4bf1e'],5,,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:05.253,Pass,
