50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2e23f14c-803a-4abb-825a-54cdf4065373,1,,,,3890525,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 34}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,398d0545-0b92-4d94-8e31-b78dd8e84704,2,,,,3890525,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12551, 'name': 'Max Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e3538d1e-e037-4284-81d7-8817e72707d0,3,,,,3890525,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['92b58e28-d82f-42a4-ba15-e6919c693fe4'],0,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,92b58e28-d82f-42a4-ba15-e6919c693fe4,4,,,,3890525,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['e3538d1e-e037-4284-81d7-8817e72707d0'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dfeb3e7b-d27c-4d98-a3c0-18078c3d1218,1245,,,,3890525,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Ingolstadt,189,['1b1938fc-f53f-4bad-98de-28f76ff5ae6f'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1b1938fc-f53f-4bad-98de-28f76ff5ae6f,1246,,,,3890525,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Ingolstadt,189,['dfeb3e7b-d27c-4d98-a3c0-18078c3d1218'],0,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.646287,,,,,,,,,,,,,00b50d9a-3ea5-4138-a646-025f5cdae365,5,,,"[61.0, 40.1]",3890525,0,,,,,2.077895,,Right Foot,,,,"[60.5, 41.0]",,Ground Pass,,1.0295631,,,Pascal Groß,3097.0,,,,,Kick Off,1,From Kick Off,Dario Lezcano,9113.0,Center Forward,2,Ingolstadt,189,['4a8f9745-9f7d-4269-9de8-e10773e111da'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.497,Pass,
,,,,,,,,,,,,,,,,,,,1.455105,,,,,,,,,,,,,58560abd-d7bf-4cc9-92b6-0ae1bfe8604f,8,,,"[64.0, 34.6]",3890525,0,,,,,-2.1392457,,Right Foot,,,,"[47.2, 8.3]",,Ground Pass,,31.207851,,,Robert Bauer,8394.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Right Center Midfield,2,Ingolstadt,189,['f4ddd461-7786-46ba-9340-e3623acd08ab'],3,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:03.558,Pass,
,,,,,,,,,,,,,,,,,,,1.432649,,,,,,,,,,,,,2f0dc12e-3208-48df-9e8c-9c8806ca8c9f,11,,,"[43.7, 10.1]",3890525,0,,,,,1.7945017,,Right Foot,,,,"[35.1, 47.9]",,Low Pass,,38.765965,,,Marvin Matip,9106.0,,,,,,1,From Kick Off,Robert Bauer,8394.0,Left Back,2,Ingolstadt,189,['1645f450-9391-44be-af26-60b324fe8d9d'],6,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:06.575,Pass,
,,,,,,,,,,,,,,,,,,,1.602711,,,,,,,,,,,,,ecb72b73-efff-4cda-9bb0-921ebf030ecc,14,,,"[35.1, 50.4]",3890525,0,,,,,1.0255123,,Left Foot,,,,"[47.9, 71.5]",,Ground Pass,,24.678938,,,Danny Vieira da Costa,8676.0,,,,,,1,From Kick Off,Marvin Matip,9106.0,Right Center Back,2,Ingolstadt,189,['67343afb-6bc7-4ed0-9813-1573a26497ae'],11,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:11.166,Pass,
,,,,,,,,,,,,,,,,,,,0.868876,,,,,,,,,,,,,c09cbae4-bde6-43f8-bfad-f9cda02cbc08,17,,,"[44.7, 70.7]",3890525,0,,,,,-2.2663085,,Right Foot,,,,"[34.1, 58.0]",,Ground Pass,,16.54237,,,Marvin Matip,9106.0,,,,,,1,From Kick Off,Danny Vieira da Costa,8676.0,Right Back,2,Ingolstadt,189,['10036688-0f41-469f-8197-6b51fd7b4823'],13,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:13.971,Pass,
,,,,,,,,,,,,,,,,,,,1.190976,,,,,,,,,,,,,0b479d12-c8a1-4bb1-b314-a086f359ea06,20,,,"[36.8, 56.2]",3890525,0,,,,,0.54486394,,Left Foot,,,,"[43.4, 60.2]",,Ground Pass,,7.7175126,,,Pascal Groß,3097.0,,,,,,1,From Kick Off,Marvin Matip,9106.0,Right Center Back,2,Ingolstadt,189,['a26b6366-73d4-44a3-b226-4410edb72dc6'],17,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:17.231,Pass,
,,,,,,,,,,,,,,,,,,,1.841836,,,,,,,,,,,,,009ef224-e3f8-4971-a634-22b595007d50,24,,,"[54.1, 73.2]",3890525,0,,,,,-0.15466872,,Right Foot,,,,"[91.3, 67.4]",,High Pass,,37.649437,Incomplete,,Dario Lezcano,9113.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Right Center Midfield,2,Ingolstadt,189,"['c6a864de-a2a5-466e-b687-74a62de6901b', 'f35afb48-e800-48d8-b700-3f2868653183']",23,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:23.082,Pass,
,,,,,,,,,,,,,,,,,,,2.134043,,,,,,,,,,,,,f35afb48-e800-48d8-b700-3f2868653183,26,,,"[28.8, 12.7]",3890525,0,,,,,0.3416155,,Head,,,,"[51.3, 20.7]",,High Pass,,23.879908,Incomplete,,,,,,,,Recovery,1,From Kick Off,Fabian Holland,9222.0,Left Back,2,Ingolstadt,189,"['009ef224-e3f8-4971-a634-22b595007d50', '9a7d20c2-75b3-494d-ad50-4d7b342a4cb0']",24,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:24.923,Pass,
,,,,,,,,,,,,,,,,,,,1.268843,,,,,,,,,,,,,9a7d20c2-75b3-494d-ad50-4d7b342a4cb0,27,,,"[68.8, 59.4]",3890525,0,,,,,-0.011428074,,Head,,,,"[86.3, 59.2]",,Low Pass,,17.501143,Unknown,,Dario Lezcano,9113.0,,,,,Recovery,1,From Kick Off,Pascal Groß,3097.0,Right Center Midfield,2,Ingolstadt,189,"['0cf787c6-7145-4e0d-a464-56dd6af28663', 'f35afb48-e800-48d8-b700-3f2868653183']",27,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:27.057,Pass,
,,,,,,,,,,,,,,,,,,,2.850331,,,,,,,,,,,,,62f77daa-813e-466d-89db-6c315a50c05b,32,,,"[32.9, 22.3]",3890525,0,,,,,-0.0354991,,Right Foot,,,,"[86.4, 20.4]",,High Pass,,53.53373,,,Sandro Wagner,9723.0,,,,,Free Kick,1,From Free Kick,Christian Mathenia,8306.0,Goalkeeper,3,Darmstadt 98,872,['e0f8af68-750a-46b5-8117-78610b479894'],57,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:57.250,Pass,
,,,,,,,,,,,,,,,,,,,0.719291,,,,,,,,,,,,,8f794ead-fea8-4e3a-8f34-cb7a924d6be7,34,,,"[86.4, 20.4]",3890525,1,,,,,0.9034902,,Head,,,,"[91.6, 27.0]",,High Pass,,8.402381,,,Mario Vrančić,13675.0,,,,,,1,From Free Kick,Sandro Wagner,9723.0,Center Forward,3,Darmstadt 98,872,['3560416c-ef12-4240-9604-c806d75a20b9'],0,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:00.143,Pass,
,,,,,,,,,,,,,,,,,,,0.111372,,,,,,,,,,,,,39092c10-d392-41ec-b546-b96919fc7a6c,37,,,"[91.9, 27.0]",3890525,1,,,,,0.0,,Right Foot,,,,"[93.0, 27.0]",,Ground Pass,,1.1,Incomplete,,Konstantin Rausch,11134.0,,,,,,1,From Free Kick,Mario Vrančić,13675.0,Center Attacking Midfield,3,Darmstadt 98,872,"['bf87f2d2-086f-4b8f-a1a9-323ad5c4efb4', 'ea888cc2-07c3-427d-ab7b-f4ea5af4c7df']",1,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:01.136,Pass,
,,,,,,,,,,,,,,,,,,,0.617977,,,,,,,,,,,,,ee2ae7c3-6203-462f-a607-dd1acfd050be,43,,,"[31.8, 39.3]",3890525,1,,,,,-0.2914568,,Right Foot,,,,"[40.8, 36.6]",,Ground Pass,,9.3962755,,,Moritz Hartmann,40464.0,,,,,,1,Regular Play,Max Christiansen,12551.0,Left Center Midfield,4,Ingolstadt,189,"['66d43ffc-f514-43d3-8c83-34e078b9b90d', 'd6fd1995-a1ef-4cb2-a84f-054e4f22512d']",3,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:03.413,Pass,True
,,,,,,,,,,,,,,,,,,,2.060315,,,,,,,,,,,,,adcca89c-7498-4199-ad4a-7ab1b29c178c,46,,,"[41.2, 41.0]",3890525,1,,,,,1.1473125,,Right Foot,,,,"[53.1, 67.4]",,Ground Pass,,28.958073,,,Pascal Groß,3097.0,,,,,,1,Regular Play,Moritz Hartmann,40464.0,Left Wing,4,Ingolstadt,189,['2c2c3818-b471-462a-93fb-4d3817844662'],6,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:06.457,Pass,
,,,,,,,,,,,,,,,,,,,3.446586,,,,,,,,,,,,,475624a9-3939-409e-94c4-557b466f9b72,50,,,"[58.5, 75.4]",3890525,1,,,,,-0.56241167,,Right Foot,,,,"[112.6, 41.3]",,High Pass,,63.950138,Incomplete,,Moritz Hartmann,40464.0,,,Through Ball,True,,1,Regular Play,Pascal Groß,3097.0,Right Center Midfield,4,Ingolstadt,189,"['1ca3579e-47e6-4095-b628-185392375cf5', '8c00c928-26f7-4dd0-a665-bd157429e309']",12,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:12.586,Pass,
,,,,,,,,,,,,,,,,,,,3.991861,,,,,,,,,,,,,7af6c6ca-2e98-4883-9474-26d8cbe6d59b,54,,,"[20.0, 25.8]",3890525,1,,,,,-0.32473266,,Right Foot,,,,"[80.3, 5.5]",,High Pass,,63.62531,,,Sandro Wagner,9723.0,,,,,,1,Regular Play,Christian Mathenia,8306.0,Goalkeeper,4,Ingolstadt,189,['899fbffa-9c2b-418e-a1c1-6a567ecc80ab'],29,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:29.647,Pass,
,,,,,,,,,,,,,,,,,,,3.983122,,,,,,,,,,,,,72cfad75-8d8a-4d25-92a3-d7e1ae60f99c,57,,,"[80.0, 5.5]",3890525,1,,,,,0.783529,,Right Foot,,,,"[106.8, 32.2]",,High Pass,,37.83028,Incomplete,,,,,,,,,1,Regular Play,Sandro Wagner,9723.0,Center Forward,4,Ingolstadt,189,"['714dc802-1928-4e20-94d7-eb5244be00ca', '96510931-e23e-40d5-ac14-d0c5b0394aba']",33,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:33.638,Pass,True
,,,,,,,,,,,,,,,,,,,4.24528,,,,,,,,,,,,,a485377b-6857-4b65-a4c7-685dfef486d2,60,,,"[16.7, 40.1]",3890525,1,,,,,-0.034366135,,Left Foot,,,,"[83.6, 37.8]",,High Pass,,66.93952,Incomplete,,Moritz Hartmann,40464.0,,,,,,1,From Keeper,Ramazan Özcan,12319.0,Goalkeeper,5,Ingolstadt,189,"['f1f1768d-8580-4ca6-9aed-5320e8662c79', 'f2238ec5-97a6-4c77-b2db-d7b8bae6bb94']",46,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:46.463,Pass,
,,,,,,,,,,,,,,,,,,,0.066113,,,,,,,,,,,,,a4093733-8e15-4f26-b6b8-e1472c1c25b7,68,,,"[86.6, 47.1]",3890525,1,,,,,-0.05258306,,Right Foot,,,,"[88.5, 47.0]",,Ground Pass,,1.9026297,Incomplete,,Pascal Groß,3097.0,,,,,,1,From Keeper,Lukas Hinterseer,9103.0,Right Wing,5,Ingolstadt,189,"['41c5343c-f65e-480c-9b39-6fb75b013634', '714f1df4-af51-471e-9577-77cdac9b7c86', '80aa4c31-7a48-4827-a2e1-ba0a1e8d9053']",52,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:52.869,Pass,True
,,,,,,,,,,,,,,,,,,,4.525514,,,,,,,,,,,,,5f4a3333-eb8b-4c75-9696-e3a935eafba4,73,,,"[42.6, 28.3]",3890525,1,,,,,0.4601265,,Left Foot,,,,"[99.5, 56.5]",,High Pass,,63.504723,Incomplete,,,,,,,,,1,From Keeper,Konstantin Rausch,11134.0,Left Wing,5,Ingolstadt,189,['69d25c00-a283-4e81-9738-5c3368b63360'],56,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:56.644,Pass,
