50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3607f418-036d-4eb8-a778-36326a1d0936,1,,,,3890317,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23499, 'name': 'Jaroslav Drobný'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8316, 'name': 'Dennis Diekmeier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 27341, 'name': 'Marcelo Alfonso Díaz Rojas'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,572c6dfa-a901-49c1-bb99-c2f448c4146d,2,,,,3890317,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8824, 'name': 'Marco Höger'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 13}, {'player': {'id': 8512, 'name': 'Franco Matías Di Santo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ee65d599-5180-4c19-a60f-3e3f4ae8471c,3,,,,3890317,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['09a5fb18-46c8-49ef-99a5-1c1b1a1e22ff'],0,,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,09a5fb18-46c8-49ef-99a5-1c1b1a1e22ff,4,,,,3890317,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['ee65d599-5180-4c19-a60f-3e3f4ae8471c'],0,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a2cfc392-bb78-4c2d-896b-6ffce70507fc,1879,,,,3890317,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Hamburger SV,171,['f1520de8-73b6-49f1-902b-6189339828f6'],0,,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f1520de8-73b6-49f1-902b-6189339828f6,1880,,,,3890317,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Hamburger SV,171,['a2cfc392-bb78-4c2d-896b-6ffce70507fc'],0,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.490492,,,,,,,,,,,,,,d4a9cc19-a13b-4e9b-98cb-7407e8a10ed4,5,,,"[61.0, 40.1]",3890317,0,,,,-2.003204,,Right Foot,,,"[60.4, 38.8]",,Ground Pass,,1.4317821,,,,Pierre-Michel Lasogga,8895.0,,,,,Kick Off,1,From Kick Off,Lewis Harry Holtby,8891.0,Center Attacking Midfield,2,Hamburger SV,171,['e6ad4cf6-66da-46f5-b5e1-e9e529412427'],0,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.450,Pass,
,,,,,,,,,,,,,,,,,,,2.515691,,,,,,,,,,,,,,cef1aafa-6ce7-4cac-8d59-1acb253d3b88,8,,,"[59.9, 38.8]",3890317,0,,,,-3.1093457,,Right Foot,,,"[44.4, 38.3]",,Ground Pass,,15.508062,,,,Emir Spahić,26791.0,,,,,,1,From Kick Off,Pierre-Michel Lasogga,8895.0,Center Forward,2,Hamburger SV,171,['3673ed2c-9e93-4f67-a2af-25beef4620ce'],1,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:01.014,Pass,
,,,,,,,,,,,,,,,,,,,2.101124,,,,,,,,,,,,,,301360e3-8e7e-4b28-8f1d-4b90368d5f95,12,,,"[40.1, 36.6]",3890317,0,True,,,-3.1354198,,Right Foot,,,"[7.7, 36.4]",,Ground Pass,,32.400616,,,,Jaroslav Drobný,23499.0,,,,,,1,From Kick Off,Emir Spahić,26791.0,Left Center Back,2,Hamburger SV,171,"['4e41dfd6-e388-4ab9-bcf5-a921169c72be', 'c92f364b-4caf-43ad-b808-00aefa135010']",4,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:04.428,Pass,True
,,,,,,,,,,,,,,,,,,,2.33517,,,,,,,,,,,,,,03296a90-8b69-48bb-9fba-6583b7dd75fd,14,,,"[7.7, 44.7]",3890317,0,,,,-0.9600704,,Right Foot,,,"[18.2, 29.7]",,Ground Pass,,18.309834,,,,Emir Spahić,26791.0,,,,,,1,From Kick Off,Jaroslav Drobný,23499.0,Goalkeeper,2,Hamburger SV,171,['6871b569-c354-45f0-b301-cc9f77bb8280'],10,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:10.885,Pass,
