bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4eb9d37-5dee-4b50-85da-d5acef1fcfe7,1,,,3890372,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 10332, 'name': 'Odisseas Vlachodimos'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 17}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e024db6c-7a28-40bc-937d-edbed1763f4e,2,,,3890372,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 22826, 'name': 'Jan-Ingwer Callsen-Bracker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c9ab3fa-240f-43ce-b4b3-71df3df4532e,3,,,3890372,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['5a8a1ea5-a432-4825-ac4e-a085aca9d94f'],0,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5a8a1ea5-a432-4825-ac4e-a085aca9d94f,4,,,3890372,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['2c9ab3fa-240f-43ce-b4b3-71df3df4532e'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,72be6eb7-e3f8-44b5-9b47-8bb00978d49a,1691,,,3890372,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,VfB Stuttgart,174,['7c20d72f-337f-48c8-987e-6efb4c5c4d15'],0,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c20d72f-337f-48c8-987e-6efb4c5c4d15,1692,,,3890372,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,VfB Stuttgart,174,['72be6eb7-e3f8-44b5-9b47-8bb00978d49a'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.56479,,,,,,,,,,,,,5e855623-2317-41be-a09e-34089787939d,5,,"[60.0, 40.0]",3890372,0,,,,,0.8913825,,Right Foot,,,"[62.1, 42.6]",,Ground Pass,,3.342155,,,Daniel Didavi,8243.0,,,,,Kick Off,1,From Kick Off,Timo Werner,5557.0,Center Forward,2,VfB Stuttgart,174,['07b595e6-6294-47b4-bd16-44dbd7b7c1dd'],1,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:01.047,Pass,
,,,,,,,,,,,,,,,,2.094016,,,,,,,,,,,,,d7f8719a-05f3-416e-9c24-0e39ebd137d2,8,,"[60.9, 39.2]",3890372,0,,,,,-2.8695393,,Right Foot,,,"[37.6, 32.7]",,Ground Pass,,24.189667,,,Timo Baumgartl,8956.0,,,,,,1,From Kick Off,Daniel Didavi,8243.0,Center Attacking Midfield,2,VfB Stuttgart,174,['fc93f556-3738-4425-907c-44c1720054f8'],1,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:01.768,Pass,
,,,,,,,,,,,,,,,,3.005508,,,,,,,,,,,,,276108d3-a607-45f0-831c-a1cc5d2c94c5,12,,"[33.2, 39.5]",3890372,0,,,,,0.65634835,,Right Foot,,,"[85.0, 79.4]",,High Pass,,65.3854,Out,,Florian Klein,9728.0,,,,,,1,From Kick Off,Timo Baumgartl,8956.0,Left Center Back,2,VfB Stuttgart,174,"['9102685e-4750-480b-9259-c56aa9befb76', 'be525de1-985e-4073-8a61-add425fa5b6d']",4,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:04.722,Pass,True
,,,,,,,,,,,,,,,,2.185271,,,,,,,,,,,,,f0866e6a-f31d-4caa-b1a2-04fea1b35807,14,,"[45.1, 0.1]",3890372,0,,,,,2.7668707,,,,,"[21.2, 9.5]",,Low Pass,,25.682095,,,Ragnar Klavan,4174.0,,,,,Throw-in,1,From Throw In,Philipp Max,8319.0,Left Back,3,Augsburg,172,['6fe2c168-ee6e-47f7-966c-910bbae67c4d'],17,,,,,,,,,,,,,,,,,Augsburg,172,00:00:17.448,Pass,
