50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,37d4d68c-a404-42ae-ada2-9e00f0a2698c,1,,,3890556,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 23267, 'name': 'Paul Seguin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1e2e1790-b167-4e2f-9e26-494313d02edb,2,,,3890556,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 37112, 'name': 'Mitchell James Langerak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11370, 'name': 'Matthias Zimmermann'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 37}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 11395, 'name': 'Lukas Rupp'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 27639, 'name': 'Artem Kravets'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1d6701f8-a8be-4ed5-b788-25c5aa50b69d,3,,,3890556,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['a1727ce2-203e-45a5-b5c9-9f45416e9874'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a1727ce2-203e-45a5-b5c9-9f45416e9874,4,,,3890556,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['1d6701f8-a8be-4ed5-b788-25c5aa50b69d'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b79743ea-ed12-41c2-80ec-c70bc08f816d,2023,,,3890556,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,VfB Stuttgart,174,['53a281e3-859a-42c2-81db-ed7c7982a9c7'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,53a281e3-859a-42c2-81db-ed7c7982a9c7,2024,,,3890556,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,VfB Stuttgart,174,['b79743ea-ed12-41c2-80ec-c70bc08f816d'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.216081,,,,,,,,,,,,783082a3-5cbe-420e-880b-9fff4105d43b,5,,"[61.0, 40.1]",3890556,0,,True,,,2.4897234,,Right Foot,,,"[57.2, 43.0]",,Ground Pass,,4.7801676,,,Maximilian Arnold,8235.0,,,,,Kick Off,1,From Kick Off,Max Kruse,8386.0,Center Forward,2,Wolfsburg,179,['43cf8f55-f9e4-47cd-9e46-eb1bfe8ef4bf'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.573,Pass,
,,,,,,,,,,,,,,,,,1.26226,,,,,,,,,,,,68e65bc7-7779-4f69-bed5-c65ef8cf55cd,7,,"[58.7, 40.8]",3890556,0,,,,,-3.0656521,,Left Foot,,,"[49.5, 40.1]",,Ground Pass,,9.226592,,,Josuha Guilavogui,8230.0,,,,,,1,From Kick Off,Maximilian Arnold,8235.0,Left Center Midfield,2,Wolfsburg,179,['d1a1b997-1b4c-4fd8-b8fe-c318f1a86f1a'],1,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:01.055,Pass,
,,,,,,,,,,,,,,,,,1.422876,,,,,,,,,,,,aa42fc8f-9140-46a5-a74f-19b359512635,10,,"[49.5, 34.1]",3890556,0,,,,,-1.6195382,,Right Foot,,,"[48.5, 13.6]",,Ground Pass,,20.524376,,,Marcel Schäfer,40469.0,,,,,,1,From Kick Off,Josuha Guilavogui,8230.0,Center Defensive Midfield,2,Wolfsburg,179,['5fbd303a-9246-427b-b804-95a761896662'],3,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:03.245,Pass,
,,,,,,,,,,,,,,,,,1.423418,,,,,,,,,,,,603f3e6f-a826-4a46-902c-ef73399ac5a7,13,,"[48.5, 13.6]",3890556,0,,,,,2.327862,,Left Foot,,,"[36.5, 26.3]",,Ground Pass,,17.47255,,,Dante Bonfim da Costa Santos,3197.0,,,,,,1,From Kick Off,Marcel Schäfer,40469.0,Left Back,2,Wolfsburg,179,['a8a739be-ae52-49c1-af47-a4b3e47067db'],5,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:05.986,Pass,
