ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c329e4d8-d862-4118-9e7d-19ca9cdc0daa,1,,,3890548,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20485, 'name': 'Almog Cohen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 36}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d371678f-a299-4da3-84ce-68d15a483bb9,2,,,3890548,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 8223, 'name': 'Franck Bilal Ribéry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3608e532-6edd-4ae2-828c-e3779655e2ce,3,,,3890548,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['c5b24792-dbbf-4346-ae57-3dd8957eabc1'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c5b24792-dbbf-4346-ae57-3dd8957eabc1,4,,,3890548,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['3608e532-6edd-4ae2-828c-e3779655e2ce'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cad2f928-81ca-4909-a5ea-341e5881ea92,1518,,,3890548,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Bayern Munich,169,['6a1691c4-1199-4d16-89ce-6b6c811ed8bc'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6a1691c4-1199-4d16-89ce-6b6c811ed8bc,1519,,,3890548,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,91,Bayern Munich,169,['cad2f928-81ca-4909-a5ea-341e5881ea92'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.276119,,,,,,,,,,,,,,0417d7b8-faf3-4582-93c6-8cbd2a838011,5,,"[60.0, 40.0]",3890548,0,,,,,-1.6475682,,Left Foot,,,"[59.7, 36.1]",,Ground Pass,,3.9115214,,,,Robert Lewandowski,5668.0,,,,,,Kick Off,1,From Kick Off,Franck Bilal Ribéry,8223.0,Left Wing,2,Bayern Munich,169,['624ce485-d535-428f-9526-d09431023604'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.422,Pass,
,,,,,,,,,,,,,,,,0.999363,,,,,,,,,,,,,,e591b927-643a-422f-a181-598432e6ed9b,8,,"[57.4, 35.9]",3890548,0,,,,,3.1121893,,Right Foot,,,"[43.8, 36.3]",,Ground Pass,,13.605881,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['4f08c093-24a4-4cf4-a50a-08bb179ca9fe'],1,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.770,Pass,
,,,,,,,,,,,,,,,,2.200894,,,,,,,,,,,,,,ca86ed97-5217-44c1-ad87-be7c5b142402,11,,"[43.8, 36.3]",3890548,0,,,,,-2.649,,Right Foot,,,"[26.1, 26.8]",,Ground Pass,,20.088305,,,,Joshua Kimmich,5579.0,,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Right Defensive Midfield,2,Bayern Munich,169,['cc81f757-68dc-4bea-b405-a064f1b1fa45'],3,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:03.348,Pass,
,,,,,,,,,,,,,,,,0.850964,,,,,,,,,,,,,,24ccd1e9-045e-419e-87c2-8cdb2526748d,15,,"[31.0, 25.1]",3890548,0,,,,,0.7983844,,Left Foot,,,"[38.6, 32.9]",,Ground Pass,,10.890363,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Left Center Back,2,Bayern Munich,169,['2819b492-7c6c-4d08-acc6-ec63f5fd9bfe'],6,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:06.662,Pass,
