50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,07607300-b3b8-4f09-85dd-dd25f2331ef8,1,,,,3890514,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c665e759-28d5-4281-b519-f5303f5fa243,2,,,,3890514,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 9400, 'name': 'Daniel Tawiah Opare'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 8318, 'name': 'Jeffrey Gouweleeuw'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 24117, 'name': 'Christoph Janker'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 30}, {'player': {'id': 40462, 'name': 'Halil Altıntop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97aa9f5c-8446-41d2-a96f-51f9bf033327,3,,,,3890514,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['b4e57a74-ce09-4ae3-b206-79c2a8812bec'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b4e57a74-ce09-4ae3-b206-79c2a8812bec,4,,,,3890514,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['97aa9f5c-8446-41d2-a96f-51f9bf033327'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1470055a-0c5e-4cd4-a0dd-85acc2f08ef3,1478,,,,3890514,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Augsburg,172,['555eda00-3bb7-450b-9e2e-678215201242'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,555eda00-3bb7-450b-9e2e-678215201242,1479,,,,3890514,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Augsburg,172,['1470055a-0c5e-4cd4-a0dd-85acc2f08ef3'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.56962,,,,,,,,,,,,,263d4775-8170-4eb7-988b-4e801c389f56,5,,,"[60.0, 40.0]",3890514,0,,,,,0.6055447,,Right Foot,,,"[61.3, 40.9]",,Ground Pass,,1.5811388,,,Clemens Fritz,20010.0,,,,,Kick Off,1,From Kick Off,Anthony Ujah,12624.0,Center Forward,2,Werder Bremen,176,['4a8ce4a7-3a61-467f-a294-75f32b6e7ba9'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.513,Pass,
,,,,,,,,,,,,,,,,,,,,1.057355,,,,,,,,,,,,,107393a6-b33e-4de3-97b4-b668ec3cb705,8,,,"[61.8, 41.3]",3890514,0,,,,,-3.0662637,,Right Foot,,,"[45.9, 40.1]",,Ground Pass,,15.945219,,,Florian Grillitsch,11396.0,,,,,,1,From Kick Off,Clemens Fritz,20010.0,Right Center Midfield,2,Werder Bremen,176,['3f212d23-08d4-48cc-a244-e0a9d1638757'],1,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.094,Pass,
,,,,,,,,,,,,,,,,,,,,1.43861,,,,,,,,,,,,,8df2695a-3bdf-40d8-adbc-7960be69a218,11,,,"[45.7, 40.3]",3890514,0,,,,,1.4041325,,Right Foot,,,"[51.1, 72.4]",,Ground Pass,,32.551037,,,Theodor Gebre Selassie,8396.0,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Center Defensive Midfield,2,Werder Bremen,176,['640ab704-65a4-46e6-8ae2-b87fea334734'],3,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:03.415,Pass,
,,,,,,,,,,,,,,,,,,,,2.112766,,,,,,,,,,,,,16d9f504-0264-45a9-aa4e-5fb3e4c1a5dd,14,,,"[63.8, 74.3]",3890514,0,,,,,-2.7126706,,Right Foot,,,"[47.4, 66.8]",,Ground Pass,,18.033579,,,Alejandro Gálvez Jimena,6924.0,,,,,,1,From Kick Off,Theodor Gebre Selassie,8396.0,Right Back,2,Werder Bremen,176,['10e3b5c0-a937-4f0d-9689-9a79508cb9f7'],7,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:07.837,Pass,
