50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,870d60f5-6158-41d2-8b28-8c8cb0486ef0,1,,,,3890283,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 400612, 'name': 'Marco Sailer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40481, 'name': 'Dominik Stroh-Engel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f2236f7e-7fcd-4918-8fc6-0691dd9496dd,2,,,,3890283,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 40538, 'name': 'Jin-Su Kim'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8556, 'name': 'Pirmin Schwegler'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8387, 'name': 'Mark Uth'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 5548, 'name': 'Steven Zuber'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 31}, {'player': {'id': 19836, 'name': 'Kevin Kuranyi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,54b324d3-6137-4a51-aa50-e5e8dd4c11be,3,,,,3890283,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['0ce410d2-e233-49f5-8f39-8c715ba5731e'],0,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ce410d2-e233-49f5-8f39-8c715ba5731e,4,,,,3890283,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['54b324d3-6137-4a51-aa50-e5e8dd4c11be'],0,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ca4f95af-d316-4da0-800f-eac03480b316,1397,,,,3890283,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,81,Hoffenheim,175,['0e75d779-6db1-47f2-b8c9-b83abd67e0a2'],0,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0e75d779-6db1-47f2-b8c9-b83abd67e0a2,1398,,,,3890283,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,81,Hoffenheim,175,['ca4f95af-d316-4da0-800f-eac03480b316'],0,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.652947,,,,,,,,,,,,,08a92647-cef0-4b97-b5e3-148a846e9120,5,,,"[61.0, 40.1]",3890283,0,True,,,0.844154,,Right Foot,,,"[61.8, 41.0]",Ground Pass,,1.2041595,,,,,Marco Sailer,400612.0,,,,,,Kick Off,1,From Kick Off,Dominik Stroh-Engel,40481.0,Center Forward,2,Darmstadt 98,872,['104aa0a8-bb6c-4e6f-bbee-abb5283cb76f'],1,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:01.335,Pass,
,,,,,,,,,,,,,,,,,,,1.095618,,,,,,,,,,,,,b0573bcd-bd77-453e-8456-4f03c30acca5,7,,,"[63.0, 41.0]",3890283,0,,,,2.6587167,,Right Foot,,,"[42.4, 51.8]",Ground Pass,,23.259407,,,,,Peter Niemeyer,40467.0,,,,,,,1,From Kick Off,Marco Sailer,400612.0,Center Attacking Midfield,2,Darmstadt 98,872,['67ce9c8a-1a4b-4624-90f8-1b51e0d8fcde'],1,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:01.988,Pass,
,,,,,,,,,,,,,,,,,,,1.435749,,,,,,,,,,,,,277695b6-3ca6-4ce3-91f8-f76a511619f4,10,,,"[42.2, 50.9]",3890283,0,,,,-1.9204726,,Right Foot,,,"[32.5, 24.3]",Ground Pass,,28.313425,,,,,Luca Caldirola,9404.0,,,,,,,1,From Kick Off,Peter Niemeyer,40467.0,Right Defensive Midfield,2,Darmstadt 98,872,['f3f1b7d6-84d9-4508-8229-6823c27415cc'],3,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:03.852,Pass,
,,,,,,,,,,,,,,,,,,,1.932645,,,,,,,,,,,,,7bdd6419-89fc-449c-a4c6-a9d1412b474a,13,,,"[30.2, 27.1]",3890283,0,,,,2.8477232,,Right Foot,,,"[7.4, 34.0]",Ground Pass,,23.821209,,,,,Christian Mathenia,8306.0,,,,,,,1,From Kick Off,Luca Caldirola,9404.0,Left Center Back,2,Darmstadt 98,872,['fb2784be-01b2-4949-8d7a-8d1f1437bd7f'],6,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:06.397,Pass,
