50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ab6a42f4-e4e4-4cdf-a0d1-727c096acfa9,1,,,3890532,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10483, 'name': 'Ørjan Håskjold Nyland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,17c1080a-190a-4a00-807f-682d92feaf7b,2,,,3890532,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8947, 'name': 'Ron-Robert Zieler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 23341, 'name': 'Alexander Milosevic'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 13126, 'name': 'Miiko Martín Albornoz Inola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8538, 'name': 'Waldemar Anton'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 8543, 'name': 'Manuel Schmiedebach'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 21311, 'name': 'Noah-Joel Sarenren-Bazee'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 37}, {'player': {'id': 38524, 'name': 'Hiroshi Kiyotake'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 8551, 'name': 'Felix Klaus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 8407, 'name': 'Ádám Szalai'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 28}]}",Hannover 96,178,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,73f7dfdb-8560-46cc-a407-7cca7dd267a9,3,,,3890532,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['c6b65524-778b-4024-8494-1e9a680507f7'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c6b65524-778b-4024-8494-1e9a680507f7,4,,,3890532,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['73f7dfdb-8560-46cc-a407-7cca7dd267a9'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f36102f-5bc3-4ad9-8539-01365a075176,1513,,,3890532,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Ingolstadt,189,['d88aa723-d30b-4c7c-bc6b-33274c4bf059'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d88aa723-d30b-4c7c-bc6b-33274c4bf059,1514,,,3890532,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Ingolstadt,189,['6f36102f-5bc3-4ad9-8539-01365a075176'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.599477,,,,,,,,,,,,,470741a3-b70f-4e0c-bdaa-8fce0636659e,5,,"[60.0, 40.0]",3890532,0,,,,,-1.925502,,Right Foot,,,,"[59.0, 37.3]",,Ground Pass,,2.879236,,,,Hiroshi Kiyotake,38524.0,,,,,Kick Off,1,From Kick Off,Ádám Szalai,8407.0,Center Forward,2,Hannover 96,178,['1738bfe5-97dc-44ab-98a4-bbc9bfa0b32c'],0,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:00.359,Pass,
,,,,,,,,,,,,,,,,,,0.889005,,,,,,,,,,,,,c7a1e9f0-2737-424b-9a60-9d3cf4ee30d9,8,,"[59.0, 37.3]",3890532,0,,,,,3.0733228,,Right Foot,,,,"[47.3, 38.1]",,Ground Pass,,11.727319,,,,Manuel Schmiedebach,8543.0,,,,,,1,From Kick Off,Hiroshi Kiyotake,38524.0,Center Attacking Midfield,2,Hannover 96,178,['7601e3f5-2212-47f2-8e6d-aaced3cd56ba'],1,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:01.214,Pass,
,,,,,,,,,,,,,,,,,,2.921675,,,,,,,,,,,,,64cbd405-7ad5-4bef-9550-894947302288,12,,"[49.6, 39.5]",3890532,0,,,,,0.46626997,,Right Foot,,,,"[95.3, 62.5]",,High Pass,,51.16141,,,,Noah-Joel Sarenren-Bazee,21311.0,,,,,,1,From Kick Off,Manuel Schmiedebach,8543.0,Left Defensive Midfield,2,Hannover 96,178,"['49cf6b83-c9e0-4d27-ba31-c0de36d08a2d', '8ab4bc0a-3259-46e6-8188-850a1fb6c90c']",3,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:03.087,Pass,True
,,,,,,,,,,,,,,,,,,3.987268,,,,,,,,,,,,,1d600e49-5c6c-4e27-ae34-05bd4e7d14d9,17,,"[7.0, 44.1]",3890532,0,,,,,-0.25458267,,Right Foot,,,,"[68.1, 28.2]",,High Pass,,63.134933,,Incomplete,,Dario Lezcano,9113.0,,,,,Goal Kick,1,From Goal Kick,Ørjan Håskjold Nyland,10483.0,Goalkeeper,3,Ingolstadt,189,"['1c0212e2-98ba-42d3-8db8-4076d6af6e8e', 'b2f64376-d224-46ac-94f9-37e5b3e89e00']",29,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:29.379,Pass,
,,,,,,,,,,,,,,,,,,2.454351,,,,,,,,,,,,,1c0212e2-98ba-42d3-8db8-4076d6af6e8e,19,,"[52.0, 51.9]",3890532,0,,,,,-0.6859592,,Head,,,,"[75.7, 32.5]",,High Pass,,30.627602,,Incomplete,,Hiroshi Kiyotake,38524.0,,,,,Recovery,1,From Goal Kick,Waldemar Anton,8538.0,Right Defensive Midfield,3,Ingolstadt,189,"['1d600e49-5c6c-4e27-ae34-05bd4e7d14d9', '34b9a8ab-78cd-427b-9bb6-173c154b63b4', '63f98700-7e5d-455c-97ad-bf29dd23db7c']",33,,,,,,,,,,,,,,,,,Hannover 96,178,00:00:33.367,Pass,
