50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.554469,,,,,,,,,,,,,,,753e5e7d-4379-4e6e-983a-d532a907c622,17,,"[47.6, 65.8]",3890387,0,,,,,-2.5247056,,Right Foot,,,,"[33.5, 55.8]",,High Pass,,17.286121,,,,Medhi Amine El Mouttaqi Benatia,5244.0,,,,,,,1,Regular Play,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,3,Bayern Munich,169,['1932d444-a97d-482a-b280-ddfba759facf'],10,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:10.600,Pass,
,,,,,,,,,,,,,,,,,1.370003,,,,,,,,,,,,,,,fd749a51-3a3d-4e2f-bd4b-9c8bbe3c8b15,20,,"[33.5, 55.8]",3890387,0,,,,,-1.6409684,,Right Foot,,,,"[31.3, 24.5]",,Ground Pass,,31.37722,,,,Márcio Rafael Ferreira de Souza,8209.0,,,,,,,1,Regular Play,Medhi Amine El Mouttaqi Benatia,5244.0,Left Center Back,3,Bayern Munich,169,['9af597b3-3b60-49ff-a009-de71c5a96d8e'],14,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:14.183,Pass,
,,,,,,,,,,,,,,,,,1.206026,,,,,,,,,,,,,,,bbb575be-b490-4fa0-8114-45b18abea18e,23,,"[38.5, 7.4]",3890387,0,,,,,2.147676,,Left Foot,,,,"[24.9, 28.3]",,Ground Pass,,24.935316,,,,Medhi Amine El Mouttaqi Benatia,5244.0,,,,,,,1,Regular Play,Márcio Rafael Ferreira de Souza,8209.0,Left Back,3,Bayern Munich,169,['f01f6aa6-5991-49e4-9912-b7494b1b1f0c'],18,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:18.779,Pass,
,,,,,,,,,,,,,,,,,1.669863,,,,,,,,,,,,,,,5d534ffd-1c2b-421b-b180-1d011a2f02f3,26,,"[15.5, 39.8]",3890387,0,,,,,1.2941641,,Right Foot,,,,"[24.5, 71.5]",,Ground Pass,,32.952847,,,,Jérôme Boateng,5578.0,,,,,,,1,Regular Play,Medhi Amine El Mouttaqi Benatia,5244.0,Left Center Back,3,Bayern Munich,169,['abdde3ff-20d9-40ef-b9e4-2905177495bf'],22,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:22.400,Pass,
,,,,,,,,,,,,,,,,,1.738343,,,,,,,,,,,,,,,84e99c08-fb6c-4ddb-a59d-17a4a1d28840,30,,"[26.8, 78.1]",3890387,0,,,,,-0.13880746,,Right Foot,,,,"[67.6, 72.4]",,High Pass,,41.19624,,Incomplete,,Thomas Müller,5562.0,,,,,,,1,Regular Play,Jérôme Boateng,5578.0,Right Center Back,3,Bayern Munich,169,"['1936a36f-fa5f-44d2-9875-999911ae0df3', '228a7dee-9472-41f4-9532-2f98528b2580', 'e91c3447-8fed-42cf-a0d6-5179b077a73a']",25,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:25.692,Pass,True
,,,,,,,,,,,,,,,,,1.884329,,,,,,,,,,,,,,,1936a36f-fa5f-44d2-9875-999911ae0df3,32,,"[52.5, 7.7]",3890387,0,,,,,-0.37947968,,Head,,,,"[69.3, 1.0]",,High Pass,,18.086735,,,,Oscar Wendt,8809.0,,,,,,Recovery,1,Regular Play,Andreas Christensen,3959.0,Center Back,4,Borussia Mönchengladbach,185,"['25b8cd25-92b0-4ceb-93b7-fbe35374c53e', '84e99c08-fb6c-4ddb-a59d-17a4a1d28840']",27,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:27.430,Pass,
,,,,,,,,,,,,,,,,,1.98363,,,,,,,,,,,,,,,6c8dd8b8-52b2-424c-8f9f-76509a8a3c40,35,,"[69.3, 1.0]",3890387,0,,,,,0.35589877,,Right Foot,,,,"[88.4, 8.1]",,High Pass,,20.376947,,Incomplete,,Raffael Caetano de Araújo,8810.0,,,,Through Ball,True,,1,Regular Play,Oscar Wendt,8809.0,Left Wing Back,4,Borussia Mönchengladbach,185,"['7bbd5971-bf9b-4699-ae8f-3e3e57521396', 'be3106cf-07f0-4372-8ac9-bd8696f2557f']",29,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:29.355,Pass,
,,,,,,,,,,,,,,,,,2.023048,,,,,,,,,,,,,,,be3106cf-07f0-4372-8ac9-bd8696f2557f,37,,"[31.7, 72.0]",3890387,0,,,,,-0.8271989,,Right Foot,,,,"[44.3, 58.3]",,High Pass,,18.613167,,Incomplete,,Xabier Alonso Olano,20133.0,,,,,,Recovery,1,Regular Play,Jérôme Boateng,5578.0,Right Center Back,4,Borussia Mönchengladbach,185,"['69fc1feb-e137-4cfb-8c26-8ea318db8b13', '6c8dd8b8-52b2-424c-8f9f-76509a8a3c40', 'fc31f150-c77f-4a57-a68c-6631fca52fd1']",31,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:31.338,Pass,
,,,,,,,,,,,,,,,,,1.387408,,,,,,,,,,,,,,,69fc1feb-e137-4cfb-8c26-8ea318db8b13,39,,"[75.8, 21.8]",3890387,0,,,,,-0.62290907,,Head,,,,"[82.9, 16.7]",,High Pass,,8.741854,,,,Lars Edi Stindl,8806.0,,,,,,Recovery,1,Regular Play,Mahmoud Dahoud,8238.0,Right Center Midfield,4,Borussia Mönchengladbach,185,"['be3106cf-07f0-4372-8ac9-bd8696f2557f', 'c76001bb-52ec-45dc-b46f-f986d65b8b87']",33,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:33.361,Pass,
,,,,,,,,,,,,,,,,,0.38382,,,,,,,,,,,,,,,176866d7-81f4-45c9-b154-a92b93e40535,41,,"[83.6, 16.3]",3890387,0,,,,True,2.4980915,,,,,,"[79.2, 19.6]",,Low Pass,,5.5,,Incomplete,,Mahmoud Dahoud,8238.0,,,,,,,1,Regular Play,Lars Edi Stindl,8806.0,Left Center Forward,4,Borussia Mönchengladbach,185,"['59abc05c-54b2-418e-a2f5-57ad0bf15fba', '7a3d7420-3626-4280-b2f9-5804fa125d7f', '8c363624-4dc0-44c1-85e2-8e04a670a7ac']",34,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:34.789,Pass,True
