50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed5c1110-b7f5-4fca-afb8-fa6ca03d1ff6,1,,,,3890456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6309, 'name': 'Tin Jedvaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8573, 'name': 'Ömer Toprak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8222, 'name': 'Kevin Kampl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8219, 'name': 'Admir Mehmedi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 38}, {'player': {'id': 11394, 'name': 'Stefan Kießling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,173a40a3-0844-406c-a269-47989128e38a,2,,,,3890456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 13206, 'name': 'Erik Durm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 37}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 9475, 'name': 'Moritz Leitner'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 8246, 'name': 'Christian Pulisic'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec4ea554-fe36-44a6-b096-2bf40295e879,3,,,,3890456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['dc93d340-dc57-4c55-b918-5c23babf224a'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc93d340-dc57-4c55-b918-5c23babf224a,4,,,,3890456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['ec4ea554-fe36-44a6-b096-2bf40295e879'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5ad34398-934d-478c-8d6c-6c493fbb553a,1731,,,,3890456,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,104,Bayer Leverkusen,904,['28e4f593-9923-46b0-b24c-2d74a8c0b6bc'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,28e4f593-9923-46b0-b24c-2d74a8c0b6bc,1732,,,,3890456,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,104,Bayer Leverkusen,904,['5ad34398-934d-478c-8d6c-6c493fbb553a'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.420758,,,,,,,,,,,,,11078569-5d86-4b57-90cb-e3f4bdb714bc,5,,,"[61.0, 40.1]",3890456,0,,,,,2.1045046,,Right Foot,,,,"[59.7, 42.3]",,Ground Pass,,2.5553865,,,,Pierre-Emerick Aubameyang,3712.0,,,,,,Kick Off,1,From Kick Off,Henrikh Mkhitaryan,3275.0,Right Wing,2,Borussia Dortmund,180,['24fa1175-b3ec-4c13-8b59-8d2e992ed5c8'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.399,Pass,
,,,,,,,,,,,,,,,,,,,1.748882,,,,,,,,,,,,,41959259-8cb6-4c96-92bf-2c24e60172b8,8,,,"[59.5, 41.7]",3890456,0,,,,,-3.029099,,Right Foot,,,,"[35.6, 39.0]",,Ground Pass,,24.052027,,,,Mats Hummels,5572.0,,,,,,,1,From Kick Off,Pierre-Emerick Aubameyang,3712.0,Center Forward,2,Borussia Dortmund,180,['254b3c11-1439-436c-b515-086d51823518'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.883,Pass,
,,,,,,,,,,,,,,,,,,,1.767926,,,,,,,,,,,,,1f52a6e6-800a-495e-8332-7d0c48c151b9,11,,,"[35.2, 39.0]",3890456,0,,,,,1.3383719,,Left Foot,,,,"[44.1, 76.6]",,Ground Pass,,38.63897,,,,Łukasz Piszczek,5658.0,,,,,,,1,From Kick Off,Mats Hummels,5572.0,Left Center Back,2,Borussia Dortmund,180,['9a1eda85-8cbf-4c88-abd8-6bfcbb235265'],4,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:04.151,Pass,
,,,,,,,,,,,,,,,,,,,2.404932,,,,,,,,,,,,,b05d48ae-ef87-4403-a1a3-1259abc11484,15,,,"[47.0, 76.9]",3890456,0,,,,,-0.2546871,,Right Foot,,,,"[88.1, 66.2]",,High Pass,,42.46999,,Incomplete,,Pierre-Emerick Aubameyang,3712.0,,,,,,,1,From Kick Off,Łukasz Piszczek,5658.0,Right Back,2,Borussia Dortmund,180,"['033e84bf-8c38-4f1e-b2c1-c31d8260c550', '2c18415b-5b6f-43e4-b82e-8e5010ab2634', 'f78fb2f6-7a74-4306-a8ed-dc6e5997c1f4']",7,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:07.292,Pass,True
