50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a282f5c0-7001-4f0d-9a58-cc08919df164,1,,,,3890439,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8549, 'name': 'Giulio Donati'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 18399, 'name': 'Gaëtan Bussmann'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,68661da1-acd1-4e7c-bb0c-97e2d856f05d,2,,,,3890439,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5242, 'name': 'Younès Belhanda'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d7fb8f2-26c4-429a-a772-b73ede3220df,3,,,,3890439,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,['bea26b0d-b3d3-4e67-93e0-f62ed3de459a'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bea26b0d-b3d3-4e67-93e0-f62ed3de459a,4,,,,3890439,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,['4d7fb8f2-26c4-429a-a772-b73ede3220df'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94042621-0f4a-4ce5-9e54-d09e4752c5b9,1865,,,,3890439,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Schalke 04,181,['c319b758-c6d9-4434-887f-57429cfca007'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c319b758-c6d9-4434-887f-57429cfca007,1866,,,,3890439,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Schalke 04,181,['94042621-0f4a-4ce5-9e54-d09e4752c5b9'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.473438,,,,,,,,,,,,,00c730c5-bbf4-493e-9bb6-5e283236b42b,5,,,"[61.0, 40.1]",3890439,0,,,,1.4513674,,Right Foot,,,,"[61.3, 42.6]",,Ground Pass,,2.5179358,,,,,Yunus Mallı,8679.0,,,,,Kick Off,1,From Kick Off,Jhon Andrés Córdoba Copete,8817.0,Center Forward,2,FSV Mainz 05,177,['3786a6f2-e11b-4a11-b4e1-3c73b4b7363f'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.455,Pass,
,,,,,,,,,,,,,,,,,,2.334282,,,,,,,,,,,,,e2688a48-ce6e-4b41-861b-018f6a88326f,8,,,"[58.8, 42.6]",3890439,0,,,,2.2050917,,Right Foot,,,,"[38.2, 70.6]",,Ground Pass,,34.761475,,,,,Leon Aderemi Balogun,5467.0,,,,,,1,From Kick Off,Yunus Mallı,8679.0,Center Attacking Midfield,2,FSV Mainz 05,177,['2a11b183-1240-438e-849c-aa26e2a7003b'],1,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:01.378,Pass,
,,,,,,,,,,,,,,,,,,2.830553,,,,,,,,,,,,,3f0bc2bd-6733-41d8-bcd9-afbeabb68bfe,11,,,"[38.5, 72.6]",3890439,0,,,,-0.069333136,,Right Foot,,,,"[96.1, 68.6]",,High Pass,,57.73872,,,Incomplete,,Jhon Andrés Córdoba Copete,8817.0,,,,,,1,From Kick Off,Leon Aderemi Balogun,5467.0,Right Center Back,2,FSV Mainz 05,177,"['63bf1b18-94ca-4e37-b459-5dd488a20cb2', 'c893e71f-0d5e-4677-8780-c4584d7131d4']",5,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:05.095,Pass,
,,,,,,,,,,,,,,,,,,1.844156,,,,,,,,,,,,,c893e71f-0d5e-4677-8780-c4584d7131d4,13,,,"[24.0, 11.5]",3890439,0,,,,-1.2685238,,Head,,,,"[26.9, 2.2]",,High Pass,,9.741663,,,,,Sead Kolašinac,3510.0,,,,,Recovery,1,Regular Play,Roman Neustädter,16534.0,Left Center Back,3,Schalke 04,181,"['3f0bc2bd-6733-41d8-bcd9-afbeabb68bfe', 'ba4fc0b5-cfe6-4ceb-9b8e-61d8d6304216']",7,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:07.925,Pass,
