50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[15.6, 41.3]",,,,,,,,,,,2.25177,,,,,,,,,,,,d377bd07-8d3b-4787-866a-5a4ccbb9399e,3386,,"[15.6, 40.7]",3890297,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lukáš Hrádecký,8667.0,Goalkeeper,185,Eintracht Frankfurt,184,"['413f0f5c-3589-446b-bd8a-dd2f4ce0fb22', 'd99a08b1-7482-4c6c-ae8f-efb08e5b8bb6']",26,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:43:26.326,Carry,
,,,,,,"[85.3, 28.5]",,,,,,,,,,,0.531616,,,,,,,,,,,,9f7ca980-2ea2-4b0e-afd7-b3d1fbac3e94,3392,,"[85.3, 28.5]",3890297,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Haris Seferović,5543.0,Right Center Forward,185,Eintracht Frankfurt,184,"['b5820cbe-65bd-47e5-8d20-35e3d28678b0', 'e89a505b-f473-4376-9807-244fd74a23f3']",32,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:43:32.691,Carry,
,,,,,,"[82.6, 23.3]",,,,,,,,,,,0.020461,,,,,,,,,,,,458ddc1c-89dc-4674-ab07-bdc793a463ae,3395,,"[83.5, 25.6]",3890297,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Alexander Meier,23268.0,Center Attacking Midfield,185,Eintracht Frankfurt,184,"['76355b8c-c17a-451a-9b64-7e40fa83cc4c', 'dc7dad7f-73d6-43c8-beb6-36aa633a80f1']",34,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:43:34.194,Carry,
,,,,,,"[82.9, 76.8]",,,,,,,,,,,0.734594,,,,,,,,,,,,7e2282b3-c59f-4ec3-985c-4660a78b21b4,3408,,"[82.9, 77.7]",3890297,89,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Aleksandar Ignjovski,9134.0,Right Back,187,Eintracht Frankfurt,184,"['4d1b9400-33ec-43f6-bb7f-dcb6f523440f', '4ea1efe3-149c-483f-bc06-9b364ebab5b7', 'c3772184-a5ab-461d-91c3-0e7113aa9501']",26,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:44:26.773,Carry,True
,,,,,,"[109.8, 76.4]",,,,,,,,,,,0.84725,,,,,,,,,,,,cb155177-3c20-4902-ba37-9c410433c486,3416,,"[110.7, 76.4]",3890297,89,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Makoto Hasebe,5681.0,Right Center Midfield,188,Eintracht Frankfurt,184,"['2295bf51-24ea-4cfa-b9f5-5ce31a9d94c6', '85e1d415-d968-4719-b3df-c9cdb35229a5', '902edaf7-db28-4136-a4b4-3d1eb3dcf093', '9f1eba02-f3a2-49f0-a883-fc770f1603ca']",41,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:44:41.380,Carry,True
,,,,,,"[117.8, 57.7]",,,,,,,,,,,1.995896,,,,,,,,,,,,922ecac3-c5c2-460f-b5c8-1ab956dd9638,3420,,"[113.4, 66.1]",3890297,89,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Stefan Aigner,21156.0,Left Center Forward,188,Eintracht Frankfurt,184,"['2284c7ab-70ba-4900-913b-6038485932d0', '3c78e9d5-7880-4878-977e-f4a80448a505', 'f90091ab-2a13-41b4-893d-f72ec67be7d5']",43,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:44:43.699,Carry,True
,,,,,,,,,,,,,,,,,1.118086,,,,,,,,,,,,563620ad-bda3-4956-985a-aa41bbf12239,17,,"[74.2, 17.1]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Luc Castaignos,7846.0,Left Center Forward,2,Hamburger SV,171,"['077d7b7b-43b1-45da-88de-b53ae5361e91', 'c1a30899-c1a7-47b5-9dd2-f52e133ad327']",5,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:05.680,Pressure,
,,,,,,,,,,,,,,,,,0.259733,,,,,,,,,,,,9b85db26-fa36-4f71-8983-9c60a73398a4,21,,"[88.2, 22.3]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Luc Castaignos,7846.0,Left Center Forward,2,Hamburger SV,171,"['d53b4f9a-34c6-4247-ac18-97a1643e53a5', 'd70af15b-8194-4181-ad0d-8bf793b080fa']",7,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:07.676,Pressure,
,,,,,,,,,,,,,,,,,0.5954,,,,,,,,,,,,8db89fca-1f1d-4bd6-8826-9ced323ffc64,23,,"[105.6, 29.3]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Luc Castaignos,7846.0,Left Center Forward,2,Hamburger SV,171,"['22901103-ae27-4601-a9e3-f1f44cbfa230', 'de92a78f-427b-4b29-a821-475b1133d8ab']",9,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:09.581,Pressure,
,,,,,,,,,,,,True,,,,,0.39734,,,,,,,,,,,,3add014a-cdd4-4c75-b616-649d73aab94a,31,,"[75.2, 43.3]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Lewis Harry Holtby,8891.0,Left Defensive Midfield,2,Hamburger SV,171,"['1e3e591a-a55f-4f2a-acf2-d692ec0f3e8f', '873d056e-83a2-4093-a05d-0936907f0ca1']",15,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:15.013,Pressure,
,,,,,,,,,,,,,,,,,0.6472,,,,,,,,,,,,83133b99-c10a-49d9-93e7-70205bc36f36,37,,"[91.7, 22.0]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Pierre-Michel Lasogga,8895.0,Center Forward,2,Hamburger SV,171,['be787599-55a7-45cd-a767-6076cc601d14'],20,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:20.496,Pressure,
