50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.463369,,,,,,,,,,,,,,06e69429-796e-4b12-a8ae-ca34c6cba4d9,23,,"[21.9, 74.1]",3890355,0,,,,,0.14888994,,Right Foot,,,"[27.9, 75.0]",,Ground Pass,,6.0671244,,,Leroy Sané,3053.0,,,,,Recovery,1,From Kick Off,Uilson de Souza Paula Júnior,30312.0,Right Back,2,Ingolstadt,189,"['44e3b12d-5483-4381-a49a-9debea21e954', '8b17ecd6-7249-43a8-8354-3175d77afafa']",12,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:12.322,Pass,True
,,,,,,,,,,,,,,,,0.643739,,,,,,,,,,,,,,62cecbdd-d0cd-4618-b96f-cef37cef20ed,30,,"[84.2, 13.9]",3890355,0,,,,,-0.0863234,,Right Foot,,,"[94.6, 13.0]",,Ground Pass,,10.438869,,,Mathew Leckie,5481.0,,,,,Recovery,1,From Kick Off,Pascal Groß,3097.0,Left Center Midfield,2,Ingolstadt,189,"['e3c1bef6-ed6e-4ac7-b1a2-59d3a8c30e4c', 'e4efeb45-0fab-4094-8ec6-7f806bc99654']",15,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:15.691,Pass,True
,,,,,,,,,,,,,,,,0.820671,,,,,,,,,,,,,,679b7dad-d069-4d3b-bae9-3540b7f7572a,33,,"[95.1, 14.3]",3890355,0,,,,,1.006927,,Right Foot,,,"[99.4, 21.1]",,Ground Pass,,8.045496,,,Elias Kachunga,2968.0,,,,,,1,From Kick Off,Mathew Leckie,5481.0,Left Wing,2,Ingolstadt,189,['ce817f69-93e0-4491-9263-45217d92d671'],18,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:18.090,Pass,
,,,,,,,,,,,,,,,,1.146586,,,,,,,,,,,,,,662e7b88-55cf-413b-99cf-f8a5882c6b93,36,,"[99.8, 21.5]",3890355,0,,,,,-1.2694511,,Right Foot,,,"[104.4, 6.7]",,Ground Pass,,15.498387,,,Pascal Groß,3097.0,,,,,,1,From Kick Off,Elias Kachunga,2968.0,Center Forward,2,Ingolstadt,189,"['754c01eb-3c93-4dd8-b793-c08a21c9e6d8', '9fef0e5b-b6d6-423d-9e57-84f554435bad']",18,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:18.911,Pass,True
,,,,,,,,,,,,,,,,1.033521,,,,,,,,,,,,,,dc313097-3afd-49d7-b964-4bdde985258b,40,,"[105.5, 7.9]",3890355,0,,,,,1.2796707,,Left Foot,True,,"[113.8, 35.6]",,High Pass,,28.916777,Incomplete,,Moritz Hartmann,40464.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Left Center Midfield,2,Ingolstadt,189,"['24f806c6-7aaa-4de2-aa35-72154e23ce3f', '57306e95-7882-4b24-bb57-eadf030ef361', '9cdb5f61-2f96-461d-bb5f-0b51b14b1925']",21,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:21.224,Pass,True
,,,,,,,,,,,,,,,,1.01463,,,,,,,,,,,,,,f3bf52f2-4f04-4bbf-b608-e1b3997b19da,45,,"[89.1, 18.2]",3890355,0,,,,,-0.3578794,,Head,,,"[101.4, 13.6]",,High Pass,,13.132022,,,Pascal Groß,3097.0,,,,,Recovery,1,From Kick Off,Markus Suttner,3221.0,Left Back,2,Ingolstadt,189,['4df5672d-5c3b-4d7c-bc42-2c5f56542a9b'],25,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:25.346,Pass,
,,,,,,,,,,,,,,,,1.870688,,,,,,,,,,,,,,67b7c91b-e507-4efc-a0f2-7fa4e6fd91ca,47,,"[101.4, 13.6]",3890355,0,,,,,0.68461716,,Right Foot,,,"[111.2, 21.6]",,High Pass,,12.650692,Incomplete,,Elias Kachunga,2968.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Left Center Midfield,2,Ingolstadt,189,"['a3c95f5d-438f-4e55-9258-a1777354275e', 'cffbb26a-d23a-4e86-a96e-236e0eccf0f2']",26,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:26.360,Pass,
,,,,,,,,,,,,,,,,1.043604,,,,,,,,,,,,,,b93ebb7a-91f7-4ce1-9ce8-7c774ac985ec,51,,"[120.0, 0.1]",3890355,0,,,,,1.6394383,,Right Foot,,,"[117.8, 32.1]",,High Pass,True,32.075535,,,Romain Brégerie,13332.0,,,Inswinging,,Corner,1,From Corner,Pascal Groß,3097.0,Left Center Midfield,3,Ingolstadt,189,['039632e4-4e7f-41b5-aa95-574e49aa0d33'],52,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:52.420,Pass,
,,,,,,,,,,,,,,,,1.472871,,,,,,,,,,,,,,e3c33b73-5ca8-4430-bca6-dfdbdf3be04e,55,,"[7.0, 44.1]",3890355,1,,,,,-0.54445714,,Right Foot,,,"[28.8, 30.9]",,Ground Pass,,25.484898,,,Sead Kolašinac,3510.0,,,,,Goal Kick,1,From Goal Kick,Ralf Fährmann,8517.0,Goalkeeper,4,Schalke 04,181,['ec00de68-7d2a-4e36-903c-a96d164ee507'],6,,,,,,,,,,,,,,,,,,Schalke 04,181,00:01:06.569,Pass,
,,,,,,,,,,,,,,,,1.965699,,,,,,,,,,,,,,2d617da9-f7a9-4024-ae77-0be9815387cd,58,,"[24.3, 34.5]",3890355,1,,,,,1.6119254,,Left Foot,,,"[23.3, 58.8]",,Ground Pass,,24.320568,,,Benedikt Höwedes,7016.0,,,,,,1,From Goal Kick,Sead Kolašinac,3510.0,Left Defensive Midfield,4,Schalke 04,181,['f789c19c-007a-4311-a313-1ad2083f2709'],9,,,,,,,,,,,,,,,,,,Schalke 04,181,00:01:09.868,Pass,
