50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,678bc7d9-e7dc-4e0e-85a6-f94d369ad624,1,,,3890416,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 2968, 'name': 'Elias Kachunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,905e3827-1c07-4169-a315-09aac89a3d0e,2,,,3890416,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 18399, 'name': 'Gaëtan Bussmann'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9098, 'name': 'Christian Clemens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6f5fede6-19e0-46a4-b288-b8a4ca3d7d2c,3,,,3890416,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['2b1174be-0ec3-45da-b7c2-4eed1d32b8b4'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2b1174be-0ec3-45da-b7c2-4eed1d32b8b4,4,,,3890416,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['6f5fede6-19e0-46a4-b288-b8a4ca3d7d2c'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9e87e07c-2837-4398-932d-759fa3392e38,1723,,,3890416,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,FSV Mainz 05,177,['791798db-f1eb-4e45-8c2c-f1b46efe48dc'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,791798db-f1eb-4e45-8c2c-f1b46efe48dc,1724,,,3890416,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,FSV Mainz 05,177,['9e87e07c-2837-4398-932d-759fa3392e38'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.870363,,,,,,,,,,,,,,,27af5f2f-9214-46f9-a063-a3f22152c9ff,5,,"[61.0, 40.1]",3890416,0,,,,1.4981968,,Right Foot,,,,"[61.4, 45.6]",Ground Pass,,5.5145264,,,,,Pascal Groß,3097.0,,,,,Kick Off,1,From Kick Off,Elias Kachunga,2968.0,Center Forward,2,Ingolstadt,189,['291bc0d1-b046-4f03-a1e9-f3531823c6ea'],1,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:01.404,Pass,
,,,,,,,,,,,,,,,,1.423371,,,,,,,,,,,,,,,c770eced-5b0f-40f1-b7c3-e772c4cbb302,8,,"[62.0, 43.9]",3890416,0,,,,-1.226786,,Right Foot,,,,"[73.5, 11.8]",High Pass,,34.0978,,,,,Alfredo Morales,12304.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Right Center Midfield,2,Ingolstadt,189,['72bf244e-3939-4966-b471-a1349064aa5f'],2,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:02.976,Pass,
,,,,,,,,,,,,,,,,0.132619,,,,,,,,,,,,,,,fb34e1cf-b378-4bfc-a597-2671a10b830a,11,,"[71.6, 12.1]",3890416,0,,,,1.2060615,,Right Foot,,,,"[73.7, 17.6]",Low Pass,,5.8872743,,,Incomplete,,Elias Kachunga,2968.0,,,,,,1,From Kick Off,Alfredo Morales,12304.0,Left Center Midfield,2,Ingolstadt,189,"['30ff3133-bb76-4eb7-8a5b-959782081935', '3a5c6584-e28e-4d50-b38d-1c56b3283444']",6,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:06.291,Pass,
,,,,,,,,,,,,,,,,2.153629,,,,,,,,,,,,,,,7b7c3d96-ede5-4fa6-a70d-f3e7284238cb,14,,"[71.4, 0.1]",3890416,0,,,,0.27627435,,,,,,"[97.5, 7.5]",High Pass,,27.128767,,,,,Mathew Leckie,5481.0,,,,,Throw-in,1,From Throw In,Robert Bauer,8394.0,Left Back,3,Ingolstadt,189,['2d08d320-0f0d-4e8e-ad09-4a04da360185'],22,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:22.974,Pass,
