50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6022e54b-ab5a-4d48-bd1f-96d35f8c7774,1,,,3890296,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 40481, 'name': 'Dominik Stroh-Engel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6c0fa19e-d7b0-457f-ba89-fdf99484a509,2,,,3890296,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8209, 'name': 'Márcio Rafael Ferreira de Souza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 22824, 'name': 'Sebastian Rode'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 29}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 8227, 'name': 'Mario Götze'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8aef8dd2-175a-4dac-9a46-eecbaeb71613,3,,,3890296,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['f87a3370-2951-44e4-8f2c-3afa18a55044'],0,,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f87a3370-2951-44e4-8f2c-3afa18a55044,4,,,3890296,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['8aef8dd2-175a-4dac-9a46-eecbaeb71613'],0,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9ff4b430-eec5-46c2-8f94-fd92949f9810,1827,,,3890296,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Bayern Munich,169,['89ef2b43-fb7f-4e26-827b-821fe9d0f019'],0,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,89ef2b43-fb7f-4e26-827b-821fe9d0f019,1828,,,3890296,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,85,Bayern Munich,169,['9ff4b430-eec5-46c2-8f94-fd92949f9810'],0,,,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.334375,,,,,,,,,,,,,,eb97b0cd-1d90-45fd-a21c-d2698160a9c5,5,,"[61.0, 40.1]",3890296,0,,,,1.6345396,,Right Foot,,,"[60.7, 44.8]",,Ground Pass,,4.7095647,,,,Mario Götze,8227.0,,,,,Kick Off,1,From Kick Off,Sebastian Rode,22824.0,Right Center Midfield,2,Bayern Munich,169,['d2acad42-d80a-4d88-b004-21d12330d739'],0,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.518,Pass,
,,,,,,,,,,,,,,,1.540454,,,,,,,,,,,,,,e2b11a14-0ad4-4f3a-9b8f-33b7f0685fa2,7,,"[60.0, 44.1]",3890296,0,,,,-2.7738698,,Right Foot,,,"[47.8, 39.4]",,Ground Pass,,13.07402,,,,Joshua Kimmich,5579.0,,,,,,1,From Kick Off,Mario Götze,8227.0,Center Forward,2,Bayern Munich,169,['8977c85b-3a2c-4231-938f-5bd41a2a539f'],0,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.853,Pass,
,,,,,,,,,,,,,,,1.256715,,,,,,,,,,,,,,6274597b-977f-4f27-b797-66bf51fec6a4,9,,"[47.8, 39.4]",3890296,0,,,,-1.831848,,Right Foot,,,"[40.4, 11.7]",,Ground Pass,,28.671413,,,,Juan Bernat Velasco,15651.0,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Center Defensive Midfield,2,Bayern Munich,169,['0b6f1bc2-51b4-4755-88c8-378bb57ec590'],2,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:02.393,Pass,
,,,,,,,,,,,,,,,1.267159,,,,,,,,,,,,,,7b1316e8-68f0-4978-b580-879dcbd5c531,12,,"[46.3, 9.1]",3890296,0,,,,1.6848822,,Left Foot,,,"[44.1, 28.3]",,Ground Pass,,19.32563,,,,Joshua Kimmich,5579.0,,,,,,1,From Kick Off,Juan Bernat Velasco,15651.0,Left Back,2,Bayern Munich,169,['ec0d480d-6422-4a2f-bac9-92dcf9d9cd92'],5,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:05.049,Pass,
,,,,,,,,,,,,,,,2.210898,,,,,,,,,,,,,,f78b1a83-d4e2-4476-99df-fd3b8cd3dd02,15,,"[45.6, 34.8]",3890296,0,,,,1.648605,,Right Foot,,,"[43.3, 64.3]",,Ground Pass,,29.589525,,,,Márcio Rafael Ferreira de Souza,8209.0,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Center Defensive Midfield,2,Bayern Munich,169,['613977e3-fba5-4a47-991f-c2a731c9859d'],7,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:07.387,Pass,
,,,,,,,,,,,,,,,1.407404,,,,,,,,,,,,,,a9c692b7-7e0e-4cff-97d3-a36be4b1ff58,18,,"[50.1, 71.6]",3890296,0,,,,0.4040975,,Right Foot,,,"[65.3, 78.1]",,Ground Pass,,16.531485,,,,Douglas Costa de Souza,5837.0,,,,,,1,From Kick Off,Márcio Rafael Ferreira de Souza,8209.0,Right Back,2,Bayern Munich,169,['67808624-568f-4b59-8a60-c095accbea69'],10,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:10.254,Pass,
