50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,287cbc2e-a44e-4cc9-bc1b-e3206c77a5fd,1,,,3890303,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9728, 'name': 'Florian Klein'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 38172, 'name': 'Toni Šunjić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8550, 'name': 'Alexandru Iulian Maxim'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 44}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 33}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3e07c760-5c14-44a0-bfdc-17205634aba8,2,,,3890303,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 8512, 'name': 'Franco Matías Di Santo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2c25cf4a-97f2-4e7e-83fa-6572176d0654,3,,,3890303,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['16292ae5-1742-41d9-8a02-34d25d202909'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,16292ae5-1742-41d9-8a02-34d25d202909,4,,,3890303,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['2c25cf4a-97f2-4e7e-83fa-6572176d0654'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,59a1e02a-131c-4dde-add0-51943fbb141f,1704,,,3890303,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,106,Schalke 04,181,['b20c44b8-aa91-47af-a9ce-79ad6e930ddf'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b20c44b8-aa91-47af-a9ce-79ad6e930ddf,1705,,,3890303,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,106,Schalke 04,181,['59a1e02a-131c-4dde-add0-51943fbb141f'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.682215,,,,,,,,,,,,,,ec436937-0412-45a5-9495-18a5081cb2fb,5,,"[61.0, 40.1]",3890303,0,True,,,1.7506498,,Right Foot,,,"[60.4, 43.4]",,Ground Pass,,3.354102,,,Franco Matías Di Santo,8512.0,,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Right Center Forward,2,Schalke 04,181,['4eb698b4-cf68-43bf-b271-39733134b933'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.089,Pass,
,,,,,,,,,,,,,,,,,,,0.728554,,,,,,,,,,,,,,8bf57f5f-bff1-4ebd-941e-77785b973133,7,,"[59.1, 38.7]",3890303,0,,,,2.629203,,Right Foot,,,"[52.7, 42.3]",,Ground Pass,,7.343024,,,Leon Goretzka,6324.0,,,,,,1,From Kick Off,Franco Matías Di Santo,8512.0,Left Center Forward,2,Schalke 04,181,['b90a676e-c421-4628-ad44-f25ef0e23ac4'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.820,Pass,
,,,,,,,,,,,,,,,,,,,1.572927,,,,,,,,,,,,,,a6ca18a1-d705-42c8-b9a2-c4c55992827e,10,,"[45.2, 38.9]",3890303,0,,,,-2.38183,,Right Foot,,,"[33.2, 27.5]",,Ground Pass,,16.551737,,,Roman Neustädter,16534.0,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Left Defensive Midfield,2,Schalke 04,181,['b1b35ac2-d7f7-4aff-a887-6719b5c5d4c1'],2,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:02.250,Pass,
,,,,,,,,,,,,,,,,,,,1.635623,,,,,,,,,,,,,,4df2996b-24d8-46a2-b6b3-4a78746b190e,13,,"[34.1, 28.2]",3890303,0,,,,-0.36633065,,Right Foot,,,"[65.9, 16.0]",,High Pass,,34.059948,,,Max Meyer,8508.0,,,,,,1,From Kick Off,Roman Neustädter,16534.0,Left Center Back,2,Schalke 04,181,['39bd6963-c5b2-4ae0-8d36-7408bdbd55be'],4,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:04.462,Pass,
,,,,,,,,,,,,,,,,,,,2.108812,,,,,,,,,,,,,,50c50f6e-840d-4717-9b20-9d51ea3bc93f,15,,"[65.9, 16.0]",3890303,0,,,,-0.52045846,,Head,,,"[74.1, 11.3]",,High Pass,,9.451455,Incomplete,,Dennis Aogo,8958.0,,,,,,1,From Kick Off,Max Meyer,8508.0,Left Midfield,2,Schalke 04,181,"['db963969-3697-4fe4-84a7-51bb5ef87c05', 'ee12439b-9ad4-4a40-a494-194a347e9b6d']",6,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:06.098,Pass,
,,,,,,,,,,,,,,,,,,,1.456634,,,,,,,,,,,,,,db963969-3697-4fe4-84a7-51bb5ef87c05,17,,"[46.0, 68.8]",3890303,0,,,,-0.65432125,,Head,,,"[63.6, 55.3]",,High Pass,,22.1813,Incomplete,,Timo Werner,5557.0,,,,,Recovery,1,From Kick Off,Florian Klein,9728.0,Right Back,2,Schalke 04,181,"['3996717b-b07b-46fa-b53e-396b46e60b5a', '50c50f6e-840d-4717-9b20-9d51ea3bc93f', 'b1b7c4ff-1dde-4356-9ada-5810e6acc30c']",8,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:08.207,Pass,
,,,,,,,,,,,,,,,,,,,1.045159,,,,,,,,,,,,,,66886c58-ae83-47b4-a736-add286b9b9b9,22,,"[57.2, 19.2]",3890303,0,,,,-1.5557599,,Right Foot,,,"[57.4, 5.9]",,Low Pass,,13.301504,,,Dennis Aogo,8958.0,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Left Defensive Midfield,2,Schalke 04,181,"['8423cb54-bdd8-4faa-b112-6f960b599b7e', 'd6bbdcd9-b34a-4037-bc61-792369805cdc']",10,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:10.264,Pass,True
,,,,,,,,,,,,,,,,,,,1.949249,,,,,,,,,,,,,,809b77ee-5682-48ec-9f2c-ff6018429a9e,26,,"[57.4, 5.9]",3890303,0,,,,0.011235482,,Left Foot,,,"[84.1, 6.2]",,High Pass,,26.701685,,,Franco Matías Di Santo,8512.0,,,,,,1,From Kick Off,Dennis Aogo,8958.0,Left Back,2,Schalke 04,181,['695e7885-aa0f-4a05-9a70-851d97ae719e'],12,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:12.018,Pass,
,,,,,,,,,,,,,,,,,,,0.216055,,,,,,,,,,,,,,9fc5082d-4b2e-497b-b8c3-f6a22d9ee1fb,31,,"[83.7, 6.5]",3890303,0,,,,-0.658268,,Left Foot,,,"[91.2, 0.7]",,Ground Pass,,9.481033,Out,,Klaas-Jan Huntelaar,8060.0,,,,,,1,From Kick Off,Franco Matías Di Santo,8512.0,Left Center Forward,2,Schalke 04,181,"['057f96af-5d1d-4450-8bc8-13621cdedc30', 'abb5f0b0-5bef-4f5c-a4bd-d7bb04846130']",16,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:16.751,Pass,True
,,,,,,,,,,,,,,,,,,,1.816753,,,,,,,,,,,,,,70d8b42f-5e3b-474f-81f8-3d0be2e51db6,33,,"[33.2, 80.0]",3890303,0,,,,-0.2050759,,,,,"[58.2, 74.8]",,High Pass,,25.535074,Incomplete,,Alexandru Iulian Maxim,8550.0,,,,,Throw-in,1,From Throw In,Florian Klein,9728.0,Right Back,3,VfB Stuttgart,174,"['0db078e8-32bb-497a-a57d-b009413db7e6', '302dbb5a-d2b0-4186-9c34-cebdca740410']",36,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:36.868,Pass,
