50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.704416,,,,,,,,,,,,,,d175d9d5-5955-49fd-836d-f05589d4be97,16,,,"[27.5, 70.9]",3890329,0,,,,-2.3424966,,Left Foot,,,,"[9.5, 52.4]",,Ground Pass,,25.81182,,,,Roman Bürki,8225.0,,,,,,1,From Kick Off,Sokratis Papastathopoulos,8244.0,Right Back,2,Borussia Dortmund,180,"['1d10af9b-f1d8-42c0-81be-705f577dff13', '9d9ae19b-0b19-4417-aa9f-847c6373b2a1']",9,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:09.652,Pass,True
,,,,,,,,,,,,,,,,5.521621,,,,,,,,,,,,,,554c37b5-df8f-4caf-b650-92f476e0b5a7,18,,,"[9.5, 52.4]",3890329,0,,,,0.071413375,,Right Foot,,,,"[76.6, 57.2]",,High Pass,,67.27146,,Incomplete,,Pierre-Emerick Aubameyang,3712.0,,,,,,1,From Kick Off,Roman Bürki,8225.0,Goalkeeper,2,Borussia Dortmund,180,"['8bf319b4-44ea-4c90-a9ea-0dd6a52cd410', 'b8501cc1-6951-4c05-ac11-5ed6a5d54812']",11,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:11.356,Pass,
,,,,,,,,,,,,,,,,1.050902,,,,,,,,,,,,,,b8501cc1-6951-4c05-ac11-5ed6a5d54812,20,,,"[43.5, 22.9]",3890329,0,,,,-0.2293924,,Head,,,,"[63.2, 18.3]",,High Pass,,20.229929,,Incomplete,,Thiago Alcântara do Nascimento,5208.0,,,,,Recovery,1,From Kick Off,Jérôme Boateng,5578.0,Right Center Back,2,Borussia Dortmund,180,"['0e971a54-a14e-4e54-8ba9-e88ddd0c3efa', '554c37b5-df8f-4caf-b650-92f476e0b5a7', 'e6c93976-818f-4300-8d35-dfdbfadd3f1c']",16,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:16.878,Pass,
,,,,,,,,,,,,,,,,1.262434,,,,,,,,,,,,,,e05a400a-d63b-41f2-a302-49874196e0de,28,,,"[63.5, 16.8]",3890329,0,,,,-0.6463022,,Right Foot,,,,"[69.2, 12.5]",,Low Pass,,7.140028,,,,Douglas Costa de Souza,5837.0,,,,,Recovery,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,3,Bayern Munich,169,['00442de8-3403-4b3c-8d67-b6e94ffdfa9c'],20,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:20.011,Pass,
,,,,,,,,,,,,,,,,0.990194,,,,,,,,,,,,,,e215a804-d005-452d-8cb9-47759c8fc517,34,,,"[73.8, 0.1]",3890329,0,,,,1.815775,,,,,,"[72.1, 6.9]",,Low Pass,,7.0092797,,,,Xabier Alonso Olano,20133.0,,,,,Throw-in,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,4,Bayern Munich,169,['7daa239e-6922-47b7-9b2c-1b4749e5b710'],36,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:36.114,Pass,
,,,,,,,,,,,,,,,,0.645079,,,,,,,,,,,,,,fb099ad2-f12e-4f43-a8c9-87e565595c78,37,,,"[71.8, 8.0]",3890329,0,,,,-1.5707964,,Right Foot,,,,"[71.8, 2.8]",,Low Pass,,5.2,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Throw In,Xabier Alonso Olano,20133.0,Center Defensive Midfield,4,Bayern Munich,169,"['2523bf6a-1785-4f8c-b514-13dfe881d8c8', '380e645d-89c6-48b8-a8a2-a6387c432584']",37,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:37.104,Pass,True
,,,,,,,,,,,,,,,,1.346379,,,,,,,,,,,,,,03527e69-b07f-4722-8aa3-87cc04fc9da0,40,,,"[71.8, 2.8]",3890329,0,,,,1.7607846,,Right Foot,,,,"[70.3, 10.6]",,High Pass,,7.942921,,,,Xabier Alonso Olano,20133.0,,,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,4,Bayern Munich,169,['1ca25a27-7617-491d-8986-bfd96f4ba6b7'],37,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:37.789,Pass,
,,,,,,,,,,,,,,,,0.863011,,,,,,,,,,,,,,dde569b9-abac-4590-8660-3a6aeb4f7211,42,,,"[70.3, 10.6]",3890329,0,,,,-1.3994172,,Head,,,,"[71.2, 5.4]",,High Pass,,5.27731,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,1,From Throw In,Xabier Alonso Olano,20133.0,Center Defensive Midfield,4,Bayern Munich,169,['75a097a1-74ad-40dc-af5d-ae0b38d2821b'],39,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:39.136,Pass,
,,,,,,,,,,,,,,,,4.014403,,,,,,,,,,,,,,5effd4d7-1128-474b-bc59-906ba66f219e,44,,,"[71.2, 5.4]",3890329,0,,,,2.1022556,,Right Foot,,,,"[42.1, 54.9]",,High Pass,,57.420033,,,,Jérôme Boateng,5578.0,,True,,,,1,From Throw In,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,4,Bayern Munich,169,['3ac4b5c0-a7bb-4dd1-a9c1-0d44fad5a203'],39,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:39.999,Pass,
,,,,,,,,,,,,,,,,1.524244,,,,,,,,,,,,,,1a155adf-3c27-4875-8f77-cb05a3cb3af9,48,,,"[40.9, 52.6]",3890329,0,,,,-1.9630182,,Right Foot,,,,"[30.6, 27.7]",,Ground Pass,,26.946243,,,,Javier Martínez Aginaga,9399.0,,,,,,1,From Throw In,Jérôme Boateng,5578.0,Right Center Back,4,Bayern Munich,169,"['02299edf-2296-4f8e-bee4-ca7173f3d117', '46041c11-dedd-475e-b359-f2997b045365']",44,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:44.471,Pass,True
