50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,485d3687-7893-4ac7-945c-5c330f7742bc,1,,,,3890344,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 13319, 'name': 'Niko Bungert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 30551, 'name': 'Gonzalo Alejandro Jara Reyes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8890, 'name': 'Christoph Moritz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6337, 'name': 'Yoshinori Muto'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8e07de12-0841-4fdc-bc9d-b6a662414b76,2,,,,3890344,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8390, 'name': 'Philipp Bargfrede'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,752c033c-6ce1-4176-986d-633bcd7ce8cc,3,,,,3890344,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,['b66fd9f4-5ac1-4ff1-a7b3-e87e9de80685'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b66fd9f4-5ac1-4ff1-a7b3-e87e9de80685,4,,,,3890344,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FSV Mainz 05,177,['752c033c-6ce1-4176-986d-633bcd7ce8cc'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9894e573-a342-405b-be87-7722fee4f7fd,1643,,,,3890344,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,94,Werder Bremen,176,['70658e84-7923-4ecc-8d80-dbb2c0d97622'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,70658e84-7923-4ecc-8d80-dbb2c0d97622,1644,,,,3890344,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,94,Werder Bremen,176,['9894e573-a342-405b-be87-7722fee4f7fd'],0,,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.418041,,,,,,,,,,,a1693159-5d04-4f6e-b83a-9d4b1f5f61c2,5,,,"[60.0, 40.0]",3890344,0,,,,,2.0344439,,Right Foot,,,"[59.1, 41.8]",,Ground Pass,,2.0124612,,,Anthony Ujah,12624.0,,,,,Kick Off,1,From Kick Off,Florian Grillitsch,11396.0,Left Center Midfield,2,Werder Bremen,176,['ec3eeb2d-180a-44b6-8a6a-65e49cf65cc9'],1,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.508,Pass,
,,,,,,,,,,,,,,,,,1.007107,,,,,,,,,,,ecfe68d0-a9f9-42fd-81e0-accdb94bf200,7,,,"[58.5, 42.3]",3890344,0,,True,,,-2.789776,,Right Foot,,,"[50.6, 39.4]",,Ground Pass,,8.415462,,,Clemens Fritz,20010.0,,,,,,1,From Kick Off,Anthony Ujah,12624.0,Center Forward,2,Werder Bremen,176,['b3837be4-ad66-4473-aacc-ff0c78211ff1'],1,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.926,Pass,
,,,,,,,,,,,,,,,,,1.505853,,,,,,,,,,,b2c1aa30-145c-49b0-ab8a-da7568509462,9,,,"[49.6, 38.8]",3890344,0,,,,,-2.6509247,,Right Foot,,,"[35.0, 31.0]",,Ground Pass,,16.552946,,,Jannik Vestergaard,8815.0,,,,,,1,From Kick Off,Clemens Fritz,20010.0,Right Center Midfield,2,Werder Bremen,176,['d0f76619-4ecb-4f95-ae01-cd5c7cfd605a'],3,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:03.455,Pass,
,,,,,,,,,,,,,,,,,1.858629,,,,,,,,,,,c42167e1-ad2d-4653-a077-93f618cee948,12,,,"[34.0, 31.0]",3890344,0,,,,,0.019228399,,Right Foot,,,"[70.4, 31.7]",,High Pass,,36.40673,Incomplete,,Anthony Ujah,12624.0,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Left Center Back,2,Werder Bremen,176,"['0ca8875a-ab8a-4272-a4dd-b9c020665ca7', '88ec7d86-468b-4fda-8624-b9f8229a2839']",5,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:05.677,Pass,
