ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fb0d4e25-7b60-4afc-bded-0eb9fab7126e,1,,,3890328,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 16534, 'name': 'Roman Neustädter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6717, 'name': 'Johannes Geis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 8512, 'name': 'Franco Matías Di Santo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7e41b36d-8876-401b-ad94-2bf744ca812d,2,,,3890328,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9459, 'name': 'Paweł Olkowski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8231, 'name': 'Yannick Gerhardt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ee25d5f-3b95-4a44-810f-ea494b3d6650,3,,,3890328,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['eea39d0f-1df6-45e2-8d0a-b4245da832b5'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eea39d0f-1df6-45e2-8d0a-b4245da832b5,4,,,3890328,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['6ee25d5f-3b95-4a44-810f-ea494b3d6650'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7f6fdca8-f69a-485a-b925-316d12366261,1656,,,3890328,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,93,Schalke 04,181,['9c0cbef7-fc89-4932-a6d7-5d26a4df24d6'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9c0cbef7-fc89-4932-a6d7-5d26a4df24d6,1657,,,3890328,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,93,Schalke 04,181,['7f6fdca8-f69a-485a-b925-316d12366261'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.641462,,,,,,,,,,,,2af4d0db-91e9-491a-88a1-aa450f5f60cc,5,,"[61.0, 40.1]",3890328,0,,,,1.8417432,,Right Foot,,,,"[60.0, 43.7]",,Ground Pass,,3.7363083,,,Franco Matías Di Santo,8512.0,,,,,Kick Off,1,From Kick Off,Klaas-Jan Huntelaar,8060.0,Left Center Forward,2,Schalke 04,181,['3e418c89-93b0-4930-a1a2-4080547ab164'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.447,Pass,
,,,,,,,,,,,,,,,,0.929252,,,,,,,,,,,,42c8d624-8a25-4bf5-992a-71c2076128e9,7,,"[59.7, 43.2]",3890328,0,,,,-2.925951,,Right Foot,,,,"[49.2, 40.9]",,Ground Pass,,10.748954,,,Leon Goretzka,6324.0,,,,,,1,From Kick Off,Franco Matías Di Santo,8512.0,Right Center Forward,2,Schalke 04,181,['bcb07ddc-c525-4e7c-9892-ed0b1d736990'],1,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:01.089,Pass,
,,,,,,,,,,,,,,,,1.572332,,,,,,,,,,,,29bcb000-8031-4e91-9f73-d3fda0e29665,10,,"[49.2, 40.9]",3890328,0,,,,-2.2725194,,Right Foot,,,,"[35.0, 24.1]",,Ground Pass,,21.997272,,,Roman Neustädter,16534.0,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Left Defensive Midfield,2,Schalke 04,181,['d3c33762-55ca-4abf-9727-5f3b022ea088'],2,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:02.662,Pass,
,,,,,,,,,,,,,,,,1.009496,,,,,,,,,,,,93002588-0f5e-4565-a72b-00339453a357,13,,"[35.8, 22.9]",3890328,0,,,,0.16057728,,Right Foot,,,,"[50.0, 25.2]",,Ground Pass,,14.385061,,,Leon Goretzka,6324.0,,,,,,1,From Kick Off,Roman Neustädter,16534.0,Left Center Back,2,Schalke 04,181,['a838b188-27ff-407a-98be-fe7f2857630a'],4,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:04.850,Pass,
