50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,795f1494-6f8e-4288-8e07-149f39c1337f,1,,,,3890330,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8549, 'name': 'Giulio Donati'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8313, 'name': 'Kyriakos Papadopoulos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8969, 'name': 'Lars Bender'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8222, 'name': 'Kevin Kampl'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 44}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 38}, {'player': {'id': 3058, 'name': 'Javier Hernández Balcázar'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c061321f-5c1f-477e-ad7e-b28f62882907,2,,,,3890330,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 22826, 'name': 'Jan-Ingwer Callsen-Bracker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 40462, 'name': 'Halil Altıntop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e45cbe76-7284-4bdf-9546-1846ac79d9e1,3,,,,3890330,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['89ff9a0b-b382-4b49-b731-3990910dbf7d'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,89ff9a0b-b382-4b49-b731-3990910dbf7d,4,,,,3890330,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['e45cbe76-7284-4bdf-9546-1846ac79d9e1'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b350124b-f90f-4b78-ab2b-2539f6fd15c5,1885,,,,3890330,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Bayer Leverkusen,904,['4795d780-6d83-471f-ae72-6eeda8c29f15'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4795d780-6d83-471f-ae72-6eeda8c29f15,1886,,,,3890330,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Bayer Leverkusen,904,['b350124b-f90f-4b78-ab2b-2539f6fd15c5'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.633319,,,,,,,,,,,,,,,089167c0-bb28-49fc-899d-22b2d918cbb3,5,,,"[61.0, 40.1]",3890330,0,,,,,-2.2142975,,Right Foot,,,,"[60.1, 38.9]",Ground Pass,,1.5,,,Raúl Marcelo Bobadilla,8807.0,,,,,Kick Off,1,From Kick Off,Halil Altıntop,40462.0,Center Attacking Midfield,2,Augsburg,172,['3b6c7eb6-a878-4906-8b40-a63a3db6001b'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.488,Pass,
,,,,,,,,,,,,,,,,,,,1.336551,,,,,,,,,,,,,,,f1ae1df2-53eb-4cd1-90d5-aa53d5265d4d,8,,,"[60.6, 39.5]",3890330,0,,,,,3.1060746,,Left Foot,,,,"[40.9, 40.2]",Ground Pass,,19.712433,,,Daniel Baier,8317.0,,,,,,1,From Kick Off,Raúl Marcelo Bobadilla,8807.0,Center Forward,2,Augsburg,172,['8bc85a03-5eff-4456-87c0-4f27dc63aa0f'],1,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:01.241,Pass,
,,,,,,,,,,,,,,,,,,,2.227775,,,,,,,,,,,,,,,454e9517-432c-40bf-b124-90bec5d9e0fe,11,,,"[44.7, 40.4]",3890330,0,,,,,-0.5097182,,Right Foot,,,,"[80.3, 20.5]",High Pass,,40.78443,Incomplete,,Alexander Esswein,8574.0,,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,"['12f2091c-e118-4661-aae8-028c2981b6a7', 'beafc1ce-494b-4b30-84ec-7726744b889c']",2,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:02.618,Pass,
,,,,,,,,,,,,,,,,,,,1.184699,,,,,,,,,,,,,,,beafc1ce-494b-4b30-84ec-7726744b889c,13,,,"[39.8, 59.6]",3890330,0,,,,,0.50230235,,Right Foot,,,,"[46.9, 63.5]",Ground Pass,,8.100617,,,Kevin Kampl,8222.0,,,,,Recovery,1,From Kick Off,Giulio Donati,8549.0,Right Back,2,Augsburg,172,"['454e9517-432c-40bf-b124-90bec5d9e0fe', 'd7570223-6554-4c8c-ab23-c80b58198333']",4,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:04.846,Pass,
