50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9dae4708-eefc-4ccc-b44b-af1cbbc6f9a5,1,,,3890544,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8387, 'name': 'Mark Uth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 30}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cf6ac8eb-639c-4f7f-bd8e-0a996b3093e1,2,,,3890544,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10483, 'name': 'Ørjan Håskjold Nyland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 40463, 'name': 'Stefan Lex'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,299fb78f-8d5e-4410-b0be-164f37c950d8,3,,,3890544,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['585199a6-3015-4adf-8679-d812ce01306e'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,585199a6-3015-4adf-8679-d812ce01306e,4,,,3890544,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['299fb78f-8d5e-4410-b0be-164f37c950d8'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a3d06e4f-ae35-4278-bda3-fd35085375e2,1654,,,3890544,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Ingolstadt,189,['08e13b1e-ad60-4045-8497-887628421e95'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,08e13b1e-ad60-4045-8497-887628421e95,1655,,,3890544,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Ingolstadt,189,['a3d06e4f-ae35-4278-bda3-fd35085375e2'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.126768,,,,,,,,,,,,,,,7e67a42e-b2af-402d-9d5a-aeb63dbf7665,5,,"[61.0, 40.1]",3890544,0,,,,2.2455373,,Right Foot,,,,"[59.4, 42.1]",,Ground Pass,,2.5612497,,,,Philipp Ochs,9720.0,,,,,Kick Off,1,From Kick Off,Andrej Kramarić,5460.0,Center Forward,2,Hoffenheim,175,['2d221882-4dd2-40a3-ab4b-6ccfd94750dd'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.040,Pass,
,,,,,,,,,,,,,,,,,,1.947156,,,,,,,,,,,,,,,c3c6ad81-a3e2-4db6-8108-295126630b65,8,,"[58.9, 42.7]",3890544,0,,,,3.0810606,,Left Foot,,,,"[35.8, 44.1]",,Ground Pass,,23.142385,,,,Niklas Süle,6322.0,,,,,,1,From Kick Off,Philipp Ochs,9720.0,Center Attacking Midfield,2,Hoffenheim,175,['75962e42-644d-4b1a-9cf5-8b4db13ed926'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.525,Pass,
,,,,,,,,,,,,,,,,,,3.190305,,,,,,,,,,,,,,,fe9a73ce-a934-4d65-8d68-5b3dce1fc830,11,,"[37.5, 43.6]",3890544,0,,,,-0.55608857,,Right Foot,,,,"[87.7, 12.4]",,High Pass,,59.105667,,Incomplete,,Kevin Volland,8215.0,,,,,,1,From Kick Off,Niklas Süle,6322.0,Right Center Back,2,Hoffenheim,175,"['16d801fb-16ba-4838-8fc8-7b0ce68b96d0', '5765f91c-f04e-4cf4-a4b9-79de07c3cee0']",3,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:03.576,Pass,
,,,,,,,,,,,,,,,,,,2.263125,,,,,,,,,,,,,,,3ad2c163-ebef-4a60-a103-c2e8d3882a1e,16,,"[71.2, 16.2]",3890544,0,,,True,-0.44199035,,,,,,"[82.4, 10.9]",,High Pass,,12.390722,,Incomplete,,Tobias Strobl,12321.0,,,,,Recovery,1,From Kick Off,Eugen Polanski,8404.0,Left Defensive Midfield,2,Hoffenheim,175,"['0f8a336c-efbe-4b29-be7a-d54d9fd4c765', '216b1901-2f17-4446-b72d-c9a02e01e9e4', '474a9ea5-f702-4451-a91d-07e3b57f5eb3']",9,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:09.562,Pass,True
