50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f46823b0-5110-47b5-9319-09bd6ccd7073,1,,,3890340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 9396, 'name': 'Ermin Bičakčić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8556, 'name': 'Pirmin Schwegler'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 31}, {'player': {'id': 8311, 'name': 'Jonathan Schmid'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8407, 'name': 'Ádám Szalai'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eb9b9fff-0338-4855-898f-b7abe697d4a4,2,,,3890340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 8316, 'name': 'Dennis Diekmeier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40468, 'name': 'Cleber Janderson Pereira Reis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f30bb29f-90c1-4314-b618-b77b5f57d484,3,,,3890340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['fd308994-d3ab-43e2-bd7a-31884564a170'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd308994-d3ab-43e2-bd7a-31884564a170,4,,,3890340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hoffenheim,175,['f30bb29f-90c1-4314-b618-b77b5f57d484'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84ce8ba8-f228-4d82-9cbe-aff3cf38bf7b,1589,,,3890340,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Hamburger SV,171,['9f01688b-0dca-469d-a497-937fb8b33674'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9f01688b-0dca-469d-a497-937fb8b33674,1590,,,3890340,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Hamburger SV,171,['84ce8ba8-f228-4d82-9cbe-aff3cf38bf7b'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.581859,,,,,,,,,,,,,9e74d390-461d-49b9-8a86-0bc495aa0223,5,,"[60.0, 40.0]",3890340,0,,True,,,-0.9600704,,Right Foot,,,,"[62.1, 37.0]",,Ground Pass,,3.6619668,,,,Michael Gregoritsch,8309.0,,,,,,Kick Off,1,From Kick Off,Pierre-Michel Lasogga,8895.0,Center Forward,2,Hamburger SV,171,['642ac07c-a9e4-4781-a0c6-f11b95e89773'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.369,Pass,
,,,,,,,,,,,,,,,1.328616,,,,,,,,,,,,,dac0f68e-ac12-4156-bbe8-816c0e271276,7,,"[62.1, 37.4]",3890340,0,,True,,,3.0389247,,Right Foot,,,,"[45.6, 39.1]",,Low Pass,,16.587345,,,,Lewis Harry Holtby,8891.0,,,,,,,1,From Kick Off,Michael Gregoritsch,8309.0,Center Attacking Midfield,2,Hamburger SV,171,['7925ff80-2c82-4021-9709-8df03fbef88e'],1,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:01.214,Pass,
,,,,,,,,,,,,,,,3.882662,,,,,,,,,,,,,9a0cfca9-93b0-4eb0-b696-4cc17a356818,10,,"[50.2, 41.0]",3890340,0,,,,,2.5005963,,Left Foot,,,,"[24.6, 60.1]",,Ground Pass,,31.9401,,,,Johan Danon Djourou-Gbadjere,6359.0,,,,,,,1,From Kick Off,Lewis Harry Holtby,8891.0,Left Defensive Midfield,2,Hamburger SV,171,['49a2db5c-01a2-4610-a0e2-a8bad977663e'],4,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:04.082,Pass,
,,,,,,,,,,,,,,,0.981198,,,,,,,,,,,,,25cf50cf-b50b-42ee-92ae-0d531036fe4a,14,,"[25.3, 64.1]",3890340,0,,,,,0.21513678,,Right Foot,,,,"[52.3, 70.0]",,High Pass,,27.637114,,Incomplete,,Nicolai Müller,8302.0,,,,,,,1,From Kick Off,Johan Danon Djourou-Gbadjere,6359.0,Right Center Back,2,Hamburger SV,171,"['3293fe3f-622f-40ea-aeb9-23ee1fd4a567', '50bac8fa-cb11-4006-8bb0-13b514535cf5']",8,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:08.026,Pass,
