50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3f837899-a1fc-43ab-89ee-5dc71f5551d4,1,,,,3890396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 40469, 'name': 'Marcel Schäfer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 10281, 'name': 'André Schürrle'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ab50a350-e861-4972-8349-f22fccca370c,2,,,,3890396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 40468, 'name': 'Cleber Janderson Pereira Reis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 8323, 'name': 'Gideon Jung'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,aaf41d62-d6aa-4fa8-b898-df2efb398323,3,,,,3890396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['c0be8518-e96d-45dd-94fb-f63dba38d2c1'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c0be8518-e96d-45dd-94fb-f63dba38d2c1,4,,,,3890396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['aaf41d62-d6aa-4fa8-b898-df2efb398323'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e0b9666d-9639-4822-89c7-5c3481ebb3a5,1912,,,,3890396,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,107,Hamburger SV,171,['6c4b51c0-a2a3-4d9e-81a6-e3db54641d0c'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6c4b51c0-a2a3-4d9e-81a6-e3db54641d0c,1913,,,,3890396,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,107,Hamburger SV,171,['e0b9666d-9639-4822-89c7-5c3481ebb3a5'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.329707,,,,,,,,,,,,557c737b-730f-4eb2-aa9f-c15910ecaa17,5,,,"[60.0, 40.0]",3890396,0,,,,,-1.5707964,,Left Foot,,,,"[60.0, 38.5]",,Ground Pass,1.5,,,,,Pierre-Michel Lasogga,8895.0,,,,,,Kick Off,1,From Kick Off,Michael Gregoritsch,8309.0,Center Attacking Midfield,2,Hamburger SV,171,['28ce0fd8-361a-4b72-93b3-ca3342e496d3'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.374,Pass,
,,,,,,,,,,,,,,,,,,,1.254935,,,,,,,,,,,,b028fa51-7d3c-4126-ad9d-3667ac574b8a,8,,,"[60.1, 39.6]",3890396,0,,,,,-2.836718,,Right Foot,,,,"[45.8, 35.1]",,Ground Pass,14.991331,,,,,Lewis Harry Holtby,8891.0,,,,,,,1,From Kick Off,Pierre-Michel Lasogga,8895.0,Center Forward,2,Hamburger SV,171,['1c88ab66-922f-41a6-a45e-6b6d2a8eb440'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.783,Pass,
,,,,,,,,,,,,,,,,,,,1.50728,,,,,,,,,,,,16056eb4-e890-4f6a-81a7-1bbb2e9e7eca,11,,,"[46.4, 36.4]",3890396,0,,,,,-2.0370548,,Left Foot,,,,"[38.7, 21.1]",,Ground Pass,17.12834,,,,,Emir Spahić,26791.0,,,,,,,1,From Kick Off,Lewis Harry Holtby,8891.0,Left Defensive Midfield,2,Hamburger SV,171,['057f5ab0-fd7e-44b2-bb6d-d0cdf1ca6466'],2,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:02.396,Pass,
,,,,,,,,,,,,,,,,,,,1.570745,,,,,,,,,,,,56f81d5a-4abf-47f2-97ae-6c98e975650d,14,,,"[38.7, 21.1]",3890396,0,,,,,1.866418,,Left Foot,,,,"[32.0, 43.1]",,Ground Pass,22.997608,,,,,Cleber Janderson Pereira Reis,40468.0,,,,,,,1,From Kick Off,Emir Spahić,26791.0,Left Center Back,2,Hamburger SV,171,['b6cab807-8d52-4477-9abb-b91628be0809'],4,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:04.012,Pass,
